date,x,competetion,type,id,teams
2022-10-20,international,T20,male,1298143,Sri Lanka vs Netherlands
2022-10-20,international,T20,male,1298144,United Arab Emirates vs Namibia
2022-10-20,club,WBB,female,1323564,Melbourne Stars vs Perth Scorchers
2022-10-20,club,CTC,male,1334897,Western Province vs Knights
2022-10-20,club,CTC,male,1334898,Warriors vs Boland
2022-10-19,international,T20,male,1298141,Scotland vs Ireland
2022-10-19,international,T20,male,1298142,West Indies vs Zimbabwe
2022-10-19,club,CTC,male,1334895,Titans vs Lions
2022-10-19,club,CTC,male,1334896,Dolphins vs North West
2022-10-18,international,T20,male,1298139,Namibia vs Netherlands
2022-10-18,international,T20,male,1298140,Sri Lanka vs United Arab Emirates
2022-10-18,club,WBB,female,1323562,Brisbane Heat vs Melbourne Renegades
2022-10-18,club,WBB,female,1323563,Hobart Hurricanes vs Sydney Thunder
2022-10-18,club,CTC,male,1334893,Warriors vs Knights
2022-10-18,club,CTC,male,1334894,Western Province vs Boland
2022-10-18,international,T20,male,1336955,Japan vs Indonesia
2022-10-18,international,T20,male,1336956,South Korea vs Indonesia
2022-10-17,international,T20,male,1298137,Scotland vs West Indies
2022-10-17,international,T20,male,1298138,Zimbabwe vs Ireland
2022-10-17,club,SSH,male,1322400,Western Australia vs Victoria
2022-10-17,club,WBB,female,1323561,Hobart Hurricanes vs Perth Scorchers
2022-10-17,club,CTC,male,1334891,Titans vs Dolphins
2022-10-17,club,CTC,male,1334892,Lions vs North West
2022-10-16,international,T20,male,1298135,Namibia vs Sri Lanka
2022-10-16,international,T20,male,1298136,United Arab Emirates vs Netherlands
2022-10-16,club,SSH,male,1322399,South Australia vs Tasmania
2022-10-16,club,WBB,female,1323558,Adelaide Strikers vs Melbourne Renegades
2022-10-16,club,WBB,female,1323559,Sydney Sixers vs Melbourne Stars
2022-10-16,club,WBB,female,1323560,Sydney Thunder vs Perth Scorchers
2022-10-16,international,T20,male,1336953,Indonesia vs Japan
2022-10-15,club,WBB,female,1323556,Sydney Sixers vs Adelaide Strikers
2022-10-15,international,T20,female,1335808,Sri Lanka vs India
2022-10-15,international,T20,male,1336951,Indonesia vs South Korea
2022-10-15,international,T20,male,1336952,Japan vs South Korea
2022-10-14,international,T20,male,1317488,England vs Australia
2022-10-14,international,T20,male,1322340,New Zealand vs Pakistan
2022-10-14,club,WBB,female,1323555,Hobart Hurricanes vs Sydney Thunder
2022-10-13,international,T20,male,1322339,Bangladesh vs Pakistan
2022-10-13,club,WBB,female,1323554,Brisbane Heat vs Sydney Sixers
2022-10-13,international,T20,female,1335806,India vs Thailand
2022-10-13,international,T20,female,1335807,Sri Lanka vs Pakistan
2022-10-12,international,T20,male,1317487,England vs Australia
2022-10-12,international,T20,male,1322338,New Zealand vs Bangladesh
2022-10-11,international,T20,male,1322337,Pakistan vs New Zealand
2022-10-11,international,ODI,male,1327511,South Africa vs India
2022-10-11,international,T20,male,1333932,Japan vs Indonesia
2022-10-11,international,T20,female,1335805,Sri Lanka vs Pakistan
2022-10-10,international,T20,male,1333931,Japan vs Indonesia
2022-10-10,international,T20,female,1335802,Sri Lanka vs Bangladesh
2022-10-10,international,T20,female,1335803,Thailand vs India
2022-10-09,international,T20,male,1317486,England vs Australia
2022-10-09,international,T20,male,1322336,Bangladesh vs New Zealand
2022-10-09,international,ODI,male,1327510,South Africa vs India
2022-10-09,international,T20,female,1335800,Thailand vs Malaysia
2022-10-09,international,T20,female,1335801,Pakistan vs United Arab Emirates
2022-10-08,international,T20,male,1322335,New Zealand vs Pakistan
2022-10-08,international,T20,female,1335798,Sri Lanka vs Malaysia
2022-10-08,international,T20,female,1335799,India vs Bangladesh
2022-10-07,international,T20,male,1317483,Australia vs West Indies
2022-10-07,international,T20,male,1322334,Pakistan vs Bangladesh
2022-10-07,international,T20,female,1335796,Thailand vs United Arab Emirates
2022-10-07,international,T20,female,1335797,Pakistan vs India
2022-10-06,club,SSH,male,1322397,Tasmania vs Queensland
2022-10-06,club,SSH,male,1322398,Victoria vs South Australia
2022-10-06,international,ODI,male,1327509,South Africa vs India
2022-10-06,international,T20,female,1334419,West Indies vs New Zealand
2022-10-06,international,T20,female,1335794,Pakistan vs Thailand
2022-10-06,international,T20,female,1335795,Bangladesh vs Malaysia
2022-10-05,international,T20,male,1317482,West Indies vs Australia
2022-10-05,international,T20,female,1334418,New Zealand vs West Indies
2022-10-05,international,T20,female,1335793,Malaysia vs United Arab Emirates
2022-10-04,international,T20,male,1327508,South Africa vs India
2022-10-04,international,T20,female,1335791,Sri Lanka vs Thailand
2022-10-04,international,T20,female,1335792,India vs United Arab Emirates
2022-10-03,club,SSH,male,1322396,New South Wales vs Western Australia
2022-10-03,international,T20,female,1335789,Bangladesh vs Pakistan
2022-10-03,international,T20,female,1335790,India vs Malaysia
2022-10-02,international,T20,male,1327234,England vs Pakistan
2022-10-02,international,T20,male,1327507,India vs South Africa
2022-10-02,international,T20,female,1334417,West Indies vs New Zealand
2022-10-02,international,T20,female,1335787,Malaysia vs Pakistan
2022-10-02,international,T20,female,1335788,Sri Lanka vs United Arab Emirates
2022-10-01,international,T20,female,1334416,West Indies vs New Zealand
2022-10-01,international,T20,female,1335785,Thailand vs Bangladesh
2022-10-01,international,T20,female,1335786,India vs Sri Lanka
2022-09-30,club,CPL,male,1323177,Barbados Royals vs Jamaica Tallawahs
2022-09-30,international,T20,male,1327233,Pakistan vs England
2022-09-28,club,CPL,male,1323176,Jamaica Tallawahs vs Guyana Amazon Warriors
2022-09-28,international,T20,male,1327232,Pakistan vs England
2022-09-28,international,T20,male,1327506,South Africa vs India
2022-09-28,international,T20,female,1334415,West Indies vs New Zealand
2022-09-27,club,CPL,male,1323174,Barbados Royals vs Guyana Amazon Warriors
2022-09-27,club,CPL,male,1323175,Jamaica Tallawahs vs St Lucia Kings
2022-09-27,international,T20,male,1336032,Bangladesh vs United Arab Emirates
2022-09-26,club,CCH,male,1297785,Somerset vs Kent
2022-09-26,club,CCH,male,1297786,Worcestershire vs Middlesex
2022-09-26,club,CCH,male,1297787,Glamorgan vs Sussex
2022-09-26,club,CCH,male,1297788,Nottinghamshire vs Durham
2022-09-26,club,CCH,male,1297789,Leicestershire vs Derbyshire
2022-09-26,club,CCH,male,1297790,Gloucestershire vs Yorkshire
2022-09-26,club,CCH,male,1297791,Warwickshire vs Hampshire
2022-09-26,club,CCH,male,1297792,Lancashire vs Surrey
2022-09-26,club,CCH,male,1297793,Essex vs Northamptonshire
2022-09-25,club,RHF,female,1297956,Northern Diamonds vs Southern Vipers
2022-09-25,club,CPL,male,1323173,Barbados Royals vs Guyana Amazon Warriors
2022-09-25,international,T20,male,1327231,Pakistan vs England
2022-09-25,international,T20,male,1327505,Australia vs India
2022-09-25,international,T20,female,1331400,Zimbabwe vs Thailand
2022-09-25,international,T20,female,1331401,Bangladesh vs Ireland
2022-09-25,international,T20,female,1331402,United States of America vs United Arab Emirates
2022-09-25,international,T20,female,1331403,Scotland vs Papua New Guinea
2022-09-25,international,ODI,female,1334414,New Zealand vs West Indies
2022-09-25,international,T20,male,1336031,Bangladesh vs United Arab Emirates
2022-09-24,international,ODI,female,1301339,India vs England
2022-09-24,club,CPL,male,1323171,Guyana Amazon Warriors vs Trinbago Knight Riders
2022-09-23,international,T20,male,1327230,England vs Pakistan
2022-09-23,international,T20,male,1327504,Australia vs India
2022-09-23,international,T20,female,1331396,Ireland vs Zimbabwe
2022-09-23,international,T20,female,1331397,Scotland vs United Arab Emirates
2022-09-23,international,T20,female,1331398,Bangladesh vs Thailand
2022-09-23,international,T20,female,1331399,United States of America vs Papua New Guinea
2022-09-22,club,CPL,male,1323169,St Kitts and Nevis Patriots vs Trinbago Knight Riders
2022-09-22,club,CPL,male,1323170,St Lucia Kings vs Guyana Amazon Warriors
2022-09-22,international,T20,male,1327229,England vs Pakistan
2022-09-22,international,T20,male,1332510,Tanzania vs Uganda
2022-09-22,international,ODI,female,1334413,West Indies vs New Zealand
2022-09-21,club,RHF,female,1297955,South East Stars vs Southern Vipers
2022-09-21,international,ODI,female,1301338,India vs England
2022-09-21,club,CPL,male,1323167,Barbados Royals vs St Kitts and Nevis Patriots
2022-09-21,club,CPL,male,1323168,Guyana Amazon Warriors vs Jamaica Tallawahs
2022-09-21,international,ODI,male,1331370,Namibia vs Papua New Guinea
2022-09-21,international,T20,female,1331392,Bangladesh vs United States of America
2022-09-21,international,T20,female,1331394,Ireland vs Scotland
2022-09-21,international,T20,female,1331395,Zimbabwe vs United Arab Emirates
2022-09-21,international,T20,male,1332508,Kenya vs Uganda
2022-09-21,international,T20,male,1332509,Botswana vs Tanzania
2022-09-20,club,CCH,male,1297776,Surrey vs Yorkshire
2022-09-20,club,CCH,male,1297777,Warwickshire vs Gloucestershire
2022-09-20,club,CCH,male,1297778,Somerset vs Northamptonshire
2022-09-20,club,CCH,male,1297779,Sussex vs Durham
2022-09-20,club,CCH,male,1297780,Glamorgan vs Derbyshire
2022-09-20,club,CCH,male,1297781,Middlesex vs Leicestershire
2022-09-20,club,CCH,male,1297782,Worcestershire vs Nottinghamshire
2022-09-20,club,CCH,male,1297783,Lancashire vs Essex
2022-09-20,club,CCH,male,1297784,Kent vs Hampshire
2022-09-20,international,T20,male,1327228,Pakistan vs England
2022-09-20,international,T20,male,1327503,India vs Australia
2022-09-20,international,ODI,male,1331369,Namibia vs Papua New Guinea
