Sno,date,id,teamA,teamB
0,2022-10-20,1298143,Sri Lanka,Netherlands
1,2022-10-20,1298144,United Arab Emirates,Namibia
2,2022-10-20,1323564,Melbourne Stars,Perth Scorchers
3,2022-10-20,1334897,Western Province,Knights
4,2022-10-20,1334898,Warriors,Boland
5,2022-10-19,1298141,Scotland,Ireland
6,2022-10-19,1298142,West Indies,Zimbabwe
7,2022-10-19,1334895,Titans,Lions
8,2022-10-19,1334896,Dolphins,North West
9,2022-10-18,1298139,Namibia,Netherlands
10,2022-10-18,1298140,Sri Lanka,United Arab Emirates
11,2022-10-18,1323562,Brisbane Heat,Melbourne Renegades
12,2022-10-18,1323563,Hobart Hurricanes,Sydney Thunder
13,2022-10-18,1334893,Warriors,Knights
14,2022-10-18,1334894,Western Province,Boland
15,2022-10-18,1336955,Japan,Indonesia
16,2022-10-18,1336956,South Korea,Indonesia
17,2022-10-17,1298137,Scotland,West Indies
18,2022-10-17,1298138,Zimbabwe,Ireland
19,2022-10-17,1322400,Western Australia,Victoria
20,2022-10-17,1323561,Hobart Hurricanes,Perth Scorchers
21,2022-10-17,1334891,Titans,Dolphins
22,2022-10-17,1334892,Lions,North West
23,2022-10-16,1298135,Namibia,Sri Lanka
24,2022-10-16,1298136,United Arab Emirates,Netherlands
25,2022-10-16,1322399,South Australia,Tasmania
26,2022-10-16,1323558,Adelaide Strikers,Melbourne Renegades
27,2022-10-16,1323559,Sydney Sixers,Melbourne Stars
28,2022-10-16,1323560,Sydney Thunder,Perth Scorchers
29,2022-10-16,1336953,Indonesia,Japan
30,2022-10-15,1323556,Sydney Sixers,Adelaide Strikers
31,2022-10-15,1335808,Sri Lanka,India
32,2022-10-15,1336951,Indonesia,South Korea
33,2022-10-15,1336952,Japan,South Korea
34,2022-10-14,1317488,England,Australia
35,2022-10-14,1322340,New Zealand,Pakistan
36,2022-10-14,1323555,Hobart Hurricanes,Sydney Thunder
37,2022-10-13,1322339,Bangladesh,Pakistan
38,2022-10-13,1323554,Brisbane Heat,Sydney Sixers
39,2022-10-13,1335806,India,Thailand
40,2022-10-13,1335807,Sri Lanka,Pakistan
41,2022-10-12,1317487,England,Australia
42,2022-10-12,1322338,New Zealand,Bangladesh
43,2022-10-11,1322337,Pakistan,New Zealand
44,2022-10-11,1327511,South Africa,India
45,2022-10-11,1333932,Japan,Indonesia
46,2022-10-11,1335805,Sri Lanka,Pakistan
47,2022-10-10,1333931,Japan,Indonesia
48,2022-10-10,1335802,Sri Lanka,Bangladesh
49,2022-10-10,1335803,Thailand,India
50,2022-10-09,1317486,England,Australia
51,2022-10-09,1322336,Bangladesh,New Zealand
52,2022-10-09,1327510,South Africa,India
53,2022-10-09,1335800,Thailand,Malaysia
54,2022-10-09,1335801,Pakistan,United Arab Emirates
55,2022-10-08,1322335,New Zealand,Pakistan
56,2022-10-08,1335798,Sri Lanka,Malaysia
57,2022-10-08,1335799,India,Bangladesh
