Ov,T,S,Sv
0.0,"Start of MI Emirates Innings. Hello and welcome to the Qualifier 2 of the International League T20 between Gulf Giants and MI Emirates. Both teams will look forward to entire into the finals, and let's find out who will join Desert Vipers in the finals. Here we go.",,
0.1,"NEW BALL. Colin de Grandhomme to Muhammad Waseem. Back of a length, outside off stump on the back foot cutting, to backward point for no runs, fielded by Kamawal.",Dot ball,0
0.2,"Colin de Grandhomme to Muhammad Waseem. Out-swinging length ball, outside off stump on the back foot Late Cut, to short third man for no runs, fielded by Brathwaite.",Dot ball,0
0.3,"Colin de Grandhomme to Muhammad Waseem. Back of a length, outside off stump on the back foot working, to backward square leg for 1 run, fielded by Lynn.",One run,1
0.4,"Colin de Grandhomme to Andre Fletcher. Out-swinging back of a length, outside off stump on the back foot working, mis-timed to silly mid on for no runs, fielded by Wiese.",Dot ball,0
0.5,"FOUR! Colin de Grandhomme to Andre Fletcher. Out-swinging length ball, outside off stump on the front foot driving, thick edge in the air uncontrolled past third man for 4 runs.",Four runs,4
0.6,"Colin de Grandhomme to Andre Fletcher. Length ball, outside off stump on the front foot pushing, missed for no runs, fielded by Erasmus.",Dot ball,0
1.0,Over 1. Power Play Fielding. 5 runs. Bowler: Colin de Grandhomme. MI Emirates: 5/0(rr 5.00),End of over,
1.1,"Carlos Brathwaite to Muhammad Waseem. Out-swinging length ball, outside off stump on the front foot pushing, missed for no runs, fielded by Erasmus.",Dot ball,0
1.2,"Carlos Brathwaite to Muhammad Waseem. Out-swinging length ball, outside off stump on the front foot driving, to mid off for no runs, fielded by de Grandhomme.",Dot ball,0
1.3,"Carlos Brathwaite to Muhammad Waseem. Out-swinging length ball, outside off stump on the front foot driving, thick edge in the air uncontrolled to third man for 1 run, fielded by Hetmyer.",One run,1
1.4,"OUT! Caught. Carlos Brathwaite to Andre Fletcher. Out-swinging length ball, outside off stump on the front foot driving, outside edge to first slip, caught by Jordan. Stunning catch from Jordan.",Wicket,W
1.5,"Carlos Brathwaite to Lorcan Tucker. Seaming in length ball, outside off stump on the front foot driving, missed for no runs, fielded by Erasmus.",Dot ball,0
1.6,"Carlos Brathwaite to Lorcan Tucker. Length ball, outside off stump on the front foot defending, to silly mid on for no runs, fielded by Wiese.",Dot ball,0
2.0,Over 2. Power Play Fielding. 1 run. Bowler: Carlos Brathwaite. MI Emirates: 6/1(rr 3.00),End of over,
2.1,"Colin de Grandhomme to Muhammad Waseem. Back of a length, outside off stump on the back foot working, leading edge to point for 1 run, fielded by Sharma.",One run,1
2.2,"Colin de Grandhomme to Lorcan Tucker. Back of a length, outside off stump on the back foot driving, in the air under control to deep cover for 2 runs, fielded by Khan.",Two runs,2
2.3,"Colin de Grandhomme to Lorcan Tucker. Back of a length, outside off stump down the track pulling, to mid wicket for 1 run, shy attempt by Wiese.",One run,1
2.4,"Colin de Grandhomme to Muhammad Waseem. Back of a length, outside off stump on the back foot working, to deep backward square leg for 1 run, fielded by Brathwaite.",One run,1
2.5,"Colin de Grandhomme to Lorcan Tucker. Short, outside off stump backing away cutting, bottom edge to silly point for no runs, fielded by Erasmus.",Dot ball,0
2.6,"Colin de Grandhomme to Lorcan Tucker. Short, outside off stump on the back foot pulling, hit helmet in the air uncontrolled to fine leg for 1 run, fielded by Brathwaite.",Leg bye,lb
3.0,Over 3. Power Play Fielding. 6 runs. Bowler: Colin de Grandhomme. MI Emirates: 12/1(rr 4.00),End of over,
3.1,"FOUR! David Wiese to Lorcan Tucker. Half volley, middle stump down the track driving, well timed in the air under control past long on for 4 runs.",Four runs,4
3.2,"David Wiese to Lorcan Tucker. Length ball, outside off stump on the front foot defending, back to bowler for no runs.",Dot ball,0
3.3,"David Wiese to Lorcan Tucker. Length ball, outside off stump on the back foot driving, to deep cover for 2 runs, fielded by Sharma.",Two runs,2
3.4,"FOUR! David Wiese to Lorcan Tucker. Length ball, off stump backing away driving, well timed past deep extra cover for 4 runs.",Four runs,4
3.5,"FOUR! David Wiese to Lorcan Tucker. Off cutter length ball, outside off stump down the track driving, well timed in the air under control past long off for 4 runs.",Four runs,4
3.6,"FOUR! David Wiese to Lorcan Tucker. Back of a length, outside off stump backing away cutting, well timed in the air under control past deep backward point for 4 runs.",Four runs,4
4.0,Over 4. Power Play Fielding. 18 runs. Bowler: David Wiese. MI Emirates: 30/1(rr 7.50),End of over,
4.1,"Chris Jordan to Muhammad Waseem. Length ball, outside off stump on the front foot pushing, to mid off for 1 run, fielded by Vince.",One run,1
4.2,"APPEAL! Chris Jordan to Lorcan Tucker. Back of a length, off stump down the track pulling, hit body for no runs, fielded by Erasmus, appeal made for Caught.  Good decision from the umpire.",Dot ball,0
4.3,"Chris Jordan to Lorcan Tucker. Length ball, outside off stump on the back foot cutting, bottom edge to silly point for no runs.",Dot ball,0
4.4,"Chris Jordan to Lorcan Tucker. Length ball, outside off stump down the track Slog, hit body to short leg for no runs.",Dot ball,0
4.5,"Chris Jordan to Lorcan Tucker. Back of a length, outside off stump moves in front Scoop, Play and Miss (Leg Side) for no runs, fielded by Erasmus.",Dot ball,0
4.6,"OUT! Caught. Chris Jordan to Lorcan Tucker. Back of a length, off stump down the track driving, mis-timed in the air uncontrolled to cover, caught by Khan. Big wicket down for MI Emirates.",Wicket,W
5.0,Over 5. Power Play Fielding. 1 run. Bowler: Chris Jordan. MI Emirates: 31/2(rr 6.20),End of over,
5.1,"Carlos Brathwaite to Muhammad Waseem. Back of a length, outside off stump on the back foot pulling, to short fine leg for 1 run, fielded by Lynn.",One run,1
5.2,"Carlos Brathwaite to Dan Mousley. Back of a length, to leg on the back foot Steer, to backward point for 1 run, fielded by Khan.",One run,1
5.3,"Carlos Brathwaite to Muhammad Waseem. Back of a length, outside off stump on the back foot pushing, mis-timed to short extra cover for 1 run, shy attempt by Sharma.",One run,1
5.4,"Carlos Brathwaite to Dan Mousley. Back of a length, to leg on the back foot pushing, to point for no runs, fielded by Khan.",Dot ball,0
5.5,"Carlos Brathwaite to Dan Mousley. Back of a length, down leg side on the back foot working, to short mid wicket for no runs, fielded by Wiese.",Dot ball,0
5.6,"Carlos Brathwaite to Dan Mousley. Length ball, to leg on the back foot working, back to bowler for no runs.",Dot ball,0
6.0,Over 6. Power Play Fielding. 3 runs. Bowler: Carlos Brathwaite. MI Emirates: 34/2(rr 5.67),End of over,
6.1,"Qais Ahmad to Muhammad Waseem. Leg spinner length ball, outside off stump on the front foot driving, missed for no runs, fielded by Erasmus.",Dot ball,0
6.2,"Qais Ahmad to Muhammad Waseem. Leg spinner length ball, outside off stump on the front foot Steer, to backward point for no runs, fielded by Brathwaite.",Dot ball,0
6.3,"Qais Ahmad to Muhammad Waseem. Leg spinner length ball, down leg side on the front foot slog sweeping, hit pad to short fine leg for no runs, fielded by Lynn.",Dot ball,0
6.4,"Qais Ahmad to Muhammad Waseem. Googly length ball, off stump on the back foot working, to fine leg for 1 run, fielded by Lynn.",One run,1
6.5,"Qais Ahmad to Dan Mousley. Leg spinner back of a length, outside off stump on the back foot cutting, to cover for no runs, shy attempt by Vince.",Dot ball,0
6.6,"APPEAL! Qais Ahmad to Dan Mousley. Leg spinner full toss, outside off stump on the front foot reverse sweeping, hit pad to short third man for no runs, fielded by Lynn, appeal made for L.B.W.  Gulf Giants have lost their reviews.",Dot ball,0
7.0,Over 7. 1 run. Bowler: Qais Ahmad. MI Emirates: 35/2(rr 5.00),End of over,
7.1,"Colin de Grandhomme to Muhammad Waseem. Back of a length, outside off stump on the back foot working, to silly mid on for no runs.",Dot ball,0
7.2,"Colin de Grandhomme to Muhammad Waseem. Length ball, off stump on the back foot glancing, hit pad to short fine leg for 1 run, fielded by Lynn.",Leg bye,lb
7.3,"FOUR! Colin de Grandhomme to Dan Mousley. Length ball, off stump down the track driving, well timed in the air under control past long off for 4 runs.",Four runs,4
7.4,"Colin de Grandhomme to Dan Mousley. Off cutter short, down leg side on the back foot pulling, top edge in the air uncontrolled to fine leg for 1 run, fielded by Erasmus.",One run,1
7.5,"SIX! Colin de Grandhomme to Muhammad Waseem. Back of a length, outside off stump down the track pulling, well timed in the air under control over deep mid wicket for 6 runs.",Six runs,6
7.6,"Colin de Grandhomme to Muhammad Waseem. Length ball, outside off stump on the front foot driving, mis-timed in the air uncontrolled to long off for 1 run, dropped catch by Wiese.",One run,1
8.0,Over 8. 13 runs. Bowler: Colin de Grandhomme. MI Emirates: 48/2(rr 6.00),End of over,
8.1,"Qais Ahmad to Muhammad Waseem. Leg spinner back of a length, off stump on the back foot pulling, in the air under control to deep square leg for 1 run, fielded by de Grandhomme.",One run,1
8.2,"Qais Ahmad to Dan Mousley. Googly length ball, outside off stump down the track driving, to extra cover for no runs, fielded by Vince.",Dot ball,0
8.3,"Qais Ahmad to Dan Mousley. Leg spinner length ball, outside off stump on the front foot sweeping, to short fine leg for 1 run, fielded by Brathwaite.",One run,1
8.4,"SIX! Qais Ahmad to Muhammad Waseem. Leg spinner length ball, outside off stump on the front foot Slog, well timed in the air under control over long on for 6 runs.",Six runs,6
8.5,"SIX! Qais Ahmad to Muhammad Waseem. Flipper back of a length, off stump on the back foot pulling, well timed in the air under control over deep square leg for 6 runs.",Six runs,6
8.6,"Qais Ahmad to Muhammad Waseem. Googly length ball, off stump on the front foot working, to deep mid wicket for 1 run, fielded by Hetmyer.",One run,1
9.0,Over 9. 15 runs. Bowler: Qais Ahmad. MI Emirates: 63/2(rr 7.00),End of over,
9.1,"David Wiese to Muhammad Waseem. Length ball, outside off stump on the front foot flick, to deep mid wicket for 1 run, fielded by Hetmyer.",One run,1
9.2,"OUT! Caught. David Wiese to Dan Mousley. Back of a length, middle stump on the back foot driving, outside edge, caught by Erasmus. Erasmus takes a beauty.",Wicket,W
9.3,"David Wiese to Nicholas Pooran. Length ball, to leg on the front foot defending, missed for no runs, fielded by Erasmus.",Dot ball,0
9.4,"David Wiese to Nicholas Pooran. Length ball, off stump on the front foot driving, to third man for 1 run, fielded by Brathwaite.",One run,1
9.5,"David Wiese to Muhammad Waseem. Back of a length, outside off stump on the back foot pulling, to deep mid wicket for 1 run, fielded by Hetmyer.",One run,1
9.5,"Wide David Wiese to Muhammad Waseem. Slower length ball, down leg side on the front foot glancing, Play and Miss (Leg Side) for 1 run, fielded by Erasmus.",Wide,wd
9.6,"David Wiese to Nicholas Pooran. Length ball, off stump on the front foot driving, missed for no runs, fielded by Erasmus.",Dot ball,0
10.0,Over 10. 4 runs. Bowler: David Wiese. MI Emirates: 67/3(rr 6.70),End of over,
10.1,"OUT! Bowled. Chris Jordan to Muhammad Waseem. Length ball, outside off stump on the front foot driving, inside edge. Another one bites the dust.",Wicket,W
10.2,"Chris Jordan to Kieron Pollard. Length ball, outside off stump on the front foot flick, to fine leg for 2 runs, run save by Brathwaite.",Two runs,2
10.3,"Chris Jordan to Kieron Pollard. Length ball, outside off stump down the track driving, to short extra cover for 1 run, fielded by Vince.",One run,1
10.4,"Chris Jordan to Nicholas Pooran. Half volley, to leg on the front foot flick, to deep backward square leg for 1 run, fielded by Hetmyer.",One run,1
10.5,"Chris Jordan to Kieron Pollard. Back of a length, outside off stump on the back foot driving, to short extra cover for no runs, fielded by Lynn.",Dot ball,0
10.6,"Chris Jordan to Kieron Pollard. Back of a length, outside off stump on the back foot working, hit pad to silly point for no runs.",Dot ball,0
11.0,Over 11. 4 runs. Bowler: Chris Jordan. MI Emirates: 71/4(rr 6.45),End of over,
11.1,"David Wiese to Nicholas Pooran. Slower length ball, down leg side on the front foot Steer, to backward point for no runs, fielded by Khan.",Dot ball,0
11.2,"David Wiese to Nicholas Pooran. Back of a length, middle stump on the back foot cutting, missed for no runs, fielded by Erasmus.",Dot ball,0
11.3,"David Wiese to Nicholas Pooran. Length ball, middle stump on the front foot Steer, to third man for 1 run, fielded by Khan.",One run,1
11.3,"Wide David Wiese to Nicholas Pooran. Length ball, outside off stump no foot movement Leave, Left for 1 run, fielded by Erasmus.",Wide,wd
11.4,"APPEAL! David Wiese to Kieron Pollard. Length ball, outside off stump down the track working, hit pad to short extra cover for no runs, fielded by Vince, appeal made for L.B.W.  Umpire didn't show interest in it.",Dot ball,0
11.5,"David Wiese to Kieron Pollard. Back of a length, outside off stump down the track driving, to deep point for 1 run, fielded by Kamawal.",One run,1
11.6,"David Wiese to Nicholas Pooran. Length ball, middle stump on the back foot Leave, Left for no runs, fielded by Erasmus.",Dot ball,0
12.0,Over 12. 3 runs. Bowler: David Wiese. MI Emirates: 74/4(rr 6.17),End of over,
12.1,"Qais Ahmad to Kieron Pollard. Leg spinner length ball, middle stump on the back foot working, to backward square leg for 1 run, fielded by Lynn.",One run,1
12.2,"Qais Ahmad to Nicholas Pooran. Googly length ball, outside off stump on the back foot driving, outside edge to first slip for no runs, dropped catch by Brathwaite, fielded by Erasmus.",Dot ball,0
12.3,"Qais Ahmad to Nicholas Pooran. Leg spinner length ball, off stump on the front foot slog sweeping, mis-timed in the air uncontrolled to long on for 1 run, dropped catch by Sharma, fielded by Wiese.",One run,1
12.4,"Qais Ahmad to Kieron Pollard. Leg spinner length ball, middle stump on the back foot Steer, to backward point for no runs, fielded by Khan.",Dot ball,0
12.5,"Qais Ahmad to Kieron Pollard. Googly back of a length, middle stump on the back foot working, to deep square leg for 1 run, fielded by de Grandhomme.",One run,1
12.6,"Qais Ahmad to Nicholas Pooran. Googly length ball, middle stump on the back foot pushing, to mid off for no runs, fielded by Vince.",Dot ball,0
13.0,Over 13. 3 runs. Bowler: Qais Ahmad. MI Emirates: 77/4(rr 5.92),End of over,
13.1,"Colin de Grandhomme to Kieron Pollard. Length ball, outside off stump on the back foot glancing, hit pad to square leg for 1 run, fielded by Erasmus.",Leg bye,lb
13.1,"Wide Colin de Grandhomme to Kieron Pollard. Back of a length, middle stump on the back foot glancing, Play and Miss (Leg Side) for 1 run, fielded by Erasmus.",Wide,wd
13.2,"SIX! Colin de Grandhomme to Nicholas Pooran. Length ball, outside off stump on the front foot Slog, well timed in the air under control over deep mid wicket for 6 runs.",Six runs,6
13.3,"Colin de Grandhomme to Nicholas Pooran. Full toss, outside off stump on the front foot Slog, mis-timed to mid on for 1 run, fielded by Wiese.",One run,1
13.4,"Colin de Grandhomme to Kieron Pollard. Slower ball short, outside off stump on the back foot pulling, to deep square leg for 1 run, fielded by Sharma.",One run,1
13.5,"Colin de Grandhomme to Nicholas Pooran. Slower ball half volley, outside off stump on the front foot Slog, well timed in the air under control to long on for 1 run, fielded by Wiese.",One run,1
13.6,"Colin de Grandhomme to Kieron Pollard. Slower length ball, outside off stump on the back foot glancing, hit pad to square leg for 1 run, fielded by Erasmus.",Leg bye,lb
14.0,Over 14. 12 runs. Bowler: Colin de Grandhomme. MI Emirates: 89/4(rr 6.36),End of over,
14.1,"SIX! Qais Ahmad to Kieron Pollard. Leg spinner half volley, down leg side backing away slog sweeping, well timed in the air under control over deep mid wicket for 6 runs.",Six runs,6
14.2,"SIX! Qais Ahmad to Kieron Pollard. Flipper length ball, outside off stump on the front foot slog sweeping, well timed in the air under control over long on for 6 runs.",Six runs,6
14.3,"Qais Ahmad to Kieron Pollard. Leg spinner length ball, outside off stump on the front foot slog sweeping, missed for no runs, fielded by Erasmus.",Dot ball,0
14.4,"Qais Ahmad to Kieron Pollard. Quicker ball short, outside off stump on the back foot pulling, hit body to third man for 3 runs, fielded by Lynn.",Leg bye,lb
14.5,"SIX! Qais Ahmad to Nicholas Pooran. Quicker ball back of a length, middle stump on the back foot pulling, well timed in the air under control over deep square leg for 6 runs.",Six runs,6
14.6,"Qais Ahmad to Nicholas Pooran. Leg spinner half volley, to leg on the front foot working, to deep mid wicket for 1 run, fielded by Sharma.",One run,1
15.0,Over 15. 22 runs. Bowler: Qais Ahmad. MI Emirates: 111/4(rr 7.40),End of over,
15.1,"Carlos Brathwaite to Nicholas Pooran. Back of a length, down leg side on the back foot pulling, top edge in the air uncontrolled to deep square leg for 1 run, dropped catch by de Grandhomme, fielded by Hetmyer.",One run,1
15.2,"FOUR! Carlos Brathwaite to Kieron Pollard. Back of a length, outside off stump on the back foot pulling, well timed past deep mid wicket for 4 runs.",Four runs,4
15.3,"Carlos Brathwaite to Kieron Pollard. Slower length ball, outside off stump on the back foot working, hit pad to point for 1 run, fielded by de Grandhomme.",Leg bye,lb
15.4,"SIX! Carlos Brathwaite to Nicholas Pooran. Short, down leg side on the back foot pulling, well timed in the air under control over deep backward square leg for 6 runs. Pooran crunched it.",Six runs,6
