version,2.1.0
info,balls_per_over,6
info,team,Gibraltar
info,team,Malta
info,gender,male
info,season,2021
info,date,2021/08/20
info,event,Portugal T20 Tri-Series
info,match_number,2
info,venue,Gucherre Cricket Ground
info,city,Albergaria
info,toss_winner,Malta
info,toss_decision,field
info,player_of_match,Washeem Abbas
info,winner,Malta
info,winner_wickets,8
info,players,Gibraltar,E Packard
info,players,Gibraltar,L Bruce
info,players,Gibraltar,CJ Delany
info,players,Gibraltar,JA Fitzgerald
info,players,Gibraltar,K Nestor
info,players,Gibraltar,RJ Hatchman
info,players,Gibraltar,P Hatchman
info,players,Gibraltar,J Marples
info,players,Gibraltar,MD Garratt
info,players,Gibraltar,CV Harrison
info,players,Gibraltar,A Orfila
info,players,Malta,B Arora
info,players,Malta,Zeeshan Khan
info,players,Malta,SSM Stanislaus
info,players,Malta,VP Thamotharam
info,players,Malta,Haroon Mughal
info,players,Malta,Amar Sharma
info,players,Malta,Washeem Abbas
info,players,Malta,M Goonetilleke
info,players,Malta,J Shaju
info,players,Malta,SE Aquilina
info,players,Malta,Bilal Muhammad
info,registry,people,A Orfila,7c6293d1
info,registry,people,Amar Sharma,14e1fdab
info,registry,people,B Arora,39e9f0c9
info,registry,people,Bilal Muhammad,eb5aa5b9
info,registry,people,CJ Delany,3bc56bd6
info,registry,people,CV Harrison,b0b80a99
info,registry,people,E Packard,03b9ec54
info,registry,people,Haroon Mughal,8ac3d7ee
info,registry,people,J Marples,9d75aec7
info,registry,people,J Shaju,d8bee9a1
info,registry,people,JA Fitzgerald,4e6ff836
info,registry,people,K Nestor,b89cde87
info,registry,people,L Bruce,2a03bd2f
info,registry,people,M Goonetilleke,cbc6c352
info,registry,people,MD Garratt,aa4154ad
info,registry,people,P Hatchman,b504e8b8
info,registry,people,RJ Hatchman,01c05b6c
info,registry,people,SE Aquilina,019e740a
info,registry,people,SSM Stanislaus,34dd3fd9
info,registry,people,VP Thamotharam,eb40ed89
info,registry,people,Washeem Abbas,6de4e430
info,registry,people,Zeeshan Khan,3f9b1a96
