,name,team,runs_scored,balls_played,fours,sixes,strike_rate,overs_deliverd,runs_given,wickets,no_balls,wides,economy
RS Williams,RS Williams,Jamaica,0,1,0,0,0.0,0,0.0,0,0,0,0
NY McLean,NY McLean,Jamaica,8,16,1,0,50.0,0,0.0,0,0,0,0
SR Taylor,SR Taylor,Jamaica,18,27,1,0,66.66666666666666,4,17.0,1,0,4,4.25
CN Nation,CN Nation,Jamaica,26,29,4,0,89.65517241379311,0,0.0,0,0,0,0
CA Henry,CA Henry,Jamaica,24,26,1,0,92.3076923076923,4,48.0,0,1,3,12.0
TR Sanford,TR Sanford,Jamaica,2,3,0,0,66.66666666666666,0,0.0,0,0,0,0
VN Watts,VN Watts,Jamaica,0,0,0,0,0,4,10.0,1,0,0,2.5
NA Waisome,NA Waisome,Jamaica,0,0,0,0,0,4,26.0,0,1,1,6.5
C Howell,C Howell,Jamaica,0,0,0,0,0,4,27.0,2,0,0,6.75
JE Walcott,JE Walcott,Jamaica,14,19,1,0,73.68421052631578,0,0.0,0,0,0,0
K Ferron,K Ferron,Jamaica,0,1,0,0,0.0,0,0.0,0,0,0,0
HK Matthews,HK Matthews,Barbados,74,66,9,0,112.12121212121211,4,15.0,0,0,0,3.75
Kycia A Knight,Kycia A Knight,Barbados,14,19,2,0,73.68421052631578,0,0.0,0,0,0,0
Kyshona A Knight,Kyshona A Knight,Barbados,10,17,0,0,58.82352941176471,0,0.0,0,0,0,0
AA Alleyne,AA Alleyne,Barbados,3,5,0,0,60.0,4,20.0,2,0,3,5.0
CO Taitt,CO Taitt,Barbados,8,16,0,0,50.0,0,0.0,0,0,0,0
A Scantlebury,A Scantlebury,Barbados,0,0,0,0,0,0,0.0,0,0,0,0
N Cumberbatch,N Cumberbatch,Barbados,0,0,0,0,0,0,0.0,0,0,0,0
SC Selman,SC Selman,Barbados,1,1,0,0,100.0,4,18.0,2,1,2,4.5
S Carrington,S Carrington,Barbados,0,0,0,0,0,0,0.0,0,0,0,0
A Williams,A Williams,Barbados,0,0,0,0,0,4,31.0,1,0,2,7.75
SJ Bruce,SJ Bruce,Barbados,0,0,0,0,0,4,20.0,1,0,3,5.0
