,name,team,runs_scored,balls_played,fours,sixes,strike_rate,overs_deliverd,runs_given,wickets,no_balls,wides,economy
NJ Ferraby,NJ Ferraby,Jersey,41,33,4,0,124.24242424242425,0,0.0,0,0,0,0
NA Greenwood,NA Greenwood,Jersey,22,18,2,0,122.22222222222223,1,10.0,0,0,0,10.0
BDH Stevens,BDH Stevens,Jersey,0,3,0,0,0.0,1,5.0,0,0,0,5.0
JW Jenner,JW Jenner,Jersey,10,10,1,0,100.0,0,0.0,0,0,0,0
B Ward,B Ward,Jersey,16,19,0,1,84.21052631578947,4,28.0,0,0,0,7.0
C Bisson,C Bisson,Jersey,9,7,1,0,128.57142857142858,0,0.0,0,0,0,0
DG Blampied,DG Blampied,Jersey,19,16,0,0,118.75,4,27.0,4,0,0,6.75
AW Hawkins-Kay,AW Hawkins-Kay,Jersey,13,12,0,0,108.33333333333333,2,14.0,2,0,0,7.0
JE Dunford,JE Dunford,Jersey,4,2,0,0,200.0,0,0.0,0,0,0,0
CW Perchard,CW Perchard,Jersey,0,0,0,0,0,4,20.0,0,0,0,5.0
EJB Miles,EJB Miles,Jersey,0,0,0,0,0,4,22.0,3,0,0,5.5
Jatinder Singh,Jatinder Singh,Oman,29,28,3,0,103.57142857142858,0,0.0,0,0,0,0
Khawar Ali,Khawar Ali,Oman,1,2,0,0,50.0,4,22.0,1,0,1,5.5
Aqib Ilyas,Aqib Ilyas,Oman,4,2,1,0,200.0,0,0.0,0,0,0,0
Aamir Kaleem,Aamir Kaleem,Oman,0,3,0,0,0.0,2,17.0,0,0,0,8.5
Zeeshan Maqsood,Zeeshan Maqsood,Oman,56,47,6,0,119.14893617021276,4,29.0,1,0,0,7.25
Suraj Kumar,Suraj Kumar,Oman,4,10,0,0,40.0,0,0.0,0,0,0,0
Sandeep Goud,Sandeep Goud,Oman,17,16,1,0,106.25,0,0.0,0,0,0,0
Khurram Nawaz,Khurram Nawaz,Oman,1,2,0,0,50.0,0,0.0,0,0,0,0
Kaleemullah,Kaleemullah,Oman,9,6,0,1,150.0,3,28.0,0,0,2,9.333333333333334
Mohammad Nadeem,Mohammad Nadeem,Oman,4,3,0,0,133.33333333333331,4,23.0,4,0,0,5.75
Bilal Khan,Bilal Khan,Oman,1,1,0,0,100.0,3,18.0,1,0,0,6.0
