,name,team,runs_scored,balls_played,fours,sixes,strike_rate,overs_deliverd,runs_given,wickets,no_balls,wides,economy
DR Flynn,DR Flynn,New Zealand,65,156,10,0,41.66666666666667,0,0.0,0,0,0,0
MJ Guptill,MJ Guptill,New Zealand,164,400,21,1,41.0,0,0.0,0,0,0,0
BB McCullum,BB McCullum,New Zealand,109,182,13,0,59.89010989010989,0,0.0,0,0,0,0
LRPL Taylor,LRPL Taylor,New Zealand,66,174,9,0,37.93103448275862,0,0.0,0,0,0,0
N Wagner,N Wagner,New Zealand,17,131,2,0,12.977099236641221,38,144.0,1,0,0,3.789473684210526
KS Williamson,KS Williamson,New Zealand,19,73,2,0,26.027397260273972,23,77.0,2,0,0,3.347826086956522
DG Brownlie,DG Brownlie,New Zealand,28,113,3,0,24.778761061946902,0,0.0,0,0,0,0
CFK van Wyk,CFK van Wyk,New Zealand,41,82,6,0,50.0,0,0.0,0,0,0,0
DL Vettori,DL Vettori,New Zealand,30,55,6,0,54.54545454545454,53,127.0,2,0,0,2.3962264150943398
DAJ Bracewell,DAJ Bracewell,New Zealand,39,35,5,2,111.42857142857143,36,121.0,3,0,0,3.361111111111111
CS Martin,CS Martin,New Zealand,4,16,0,0,25.0,34,146.0,3,3,1,4.294117647058823
CH Gayle,CH Gayle,West Indies,214,255,25,6,83.92156862745098,0,0.0,0,0,0,0
KOA Powell,KOA Powell,West Indies,164,335,27,1,48.95522388059702,0,0.0,0,0,0,0
AB Fudadin,AB Fudadin,West Indies,62,186,8,0,33.33333333333333,5,11.0,0,0,0,2.2
MN Samuels,MN Samuels,West Indies,28,48,4,1,58.333333333333336,9,36.0,0,0,0,4.0
S Chanderpaul,S Chanderpaul,West Indies,0,1,0,0,0.0,0,0.0,0,0,0,0
N Deonarine,N Deonarine,West Indies,79,129,10,1,61.240310077519375,7,11.0,0,0,0,1.5714285714285714
D Ramdin,D Ramdin,West Indies,3,20,0,0,15.0,0,0.0,0,0,0,0
DJG Sammy,DJG Sammy,West Indies,50,80,4,3,62.5,42,101.0,1,0,0,2.4047619047619047
SP Narine,SP Narine,West Indies,4,8,1,0,50.0,84,223.0,8,1,0,2.6547619047619047
KAJ Roach,KAJ Roach,West Indies,6,21,1,0,28.57142857142857,46,115.0,7,9,0,2.5
R Rampaul,R Rampaul,West Indies,1,18,0,0,5.555555555555555,40,96.0,4,0,1,2.4
