,name,team,runs_scored,balls_played,fours,sixes,strike_rate,overs_deliverd,runs_given,wickets,no_balls,wides,economy
AM Rahane,AM Rahane,Rajasthan Royals,2,4,0,0,50.0,0,0.0,0,0,0,0
LS Livingstone,LS Livingstone,Rajasthan Royals,14,13,1,1,107.6923076923077,0,0.0,0,0,0,0
SV Samson,SV Samson,Rajasthan Royals,5,8,0,0,62.5,0,0.0,0,0,0,0
MK Lomror,MK Lomror,Rajasthan Royals,8,3,2,0,266.66666666666663,0,0.0,0,0,0,0
S Gopal,S Gopal,Rajasthan Royals,12,18,0,0,66.66666666666666,4,21.0,2,0,0,5.25
R Parag,R Parag,Rajasthan Royals,50,50,4,2,100.0,1,14.0,0,0,0,14.0
STR Binny,STR Binny,Rajasthan Royals,0,1,0,0,0.0,1,6.0,0,0,0,6.0
K Gowtham,K Gowtham,Rajasthan Royals,6,6,1,0,100.0,4,16.0,0,0,0,4.0
IS Sodhi,IS Sodhi,Rajasthan Royals,6,12,0,0,50.0,4,26.0,3,0,0,6.5
VR Aaron,VR Aaron,Rajasthan Royals,3,7,0,0,42.857142857142854,2,21.0,0,0,1,10.5
O Thomas,O Thomas,Rajasthan Royals,0,0,0,0,0,1,13.0,0,0,0,13.0
PP Shaw,PP Shaw,Delhi Capitals,8,8,1,0,100.0,0,0.0,0,0,0,0
S Dhawan,S Dhawan,Delhi Capitals,16,12,2,0,133.33333333333331,0,0.0,0,0,0,0
SS Iyer,SS Iyer,Delhi Capitals,15,9,0,2,166.66666666666669,0,0.0,0,0,0,0
RR Pant,RR Pant,Delhi Capitals,53,38,2,5,139.4736842105263,0,0.0,0,0,0,0
CA Ingram,CA Ingram,Delhi Capitals,12,23,0,0,52.17391304347826,0,0.0,0,0,0,0
SE Rutherford,SE Rutherford,Delhi Capitals,11,6,0,1,183.33333333333331,1,2.0,0,0,0,2.0
AR Patel,AR Patel,Delhi Capitals,1,1,0,0,100.0,4,16.0,1,0,0,4.0
KMA Paul,KMA Paul,Delhi Capitals,0,0,0,0,0,4,15.0,0,0,1,3.75
A Mishra,A Mishra,Delhi Capitals,0,0,0,0,0,4,17.0,3,0,0,4.25
TA Boult,TA Boult,Delhi Capitals,0,0,0,0,0,4,27.0,2,0,3,6.75
I Sharma,I Sharma,Delhi Capitals,0,0,0,0,0,4,38.0,3,0,2,9.5
