version,2.1.0
info,balls_per_over,6
info,team,Malaysia
info,team,Nepal
info,gender,male
info,season,2019
info,date,2019/07/14
info,event,Nepal tour of Malaysia
info,match_number,2
info,venue,Kinrara Academy Oval
info,city,Kuala Lumpur
info,toss_winner,Nepal
info,toss_decision,bat
info,player_of_match,B Bhandari
info,umpire,N Sivan
info,umpire,V Kalidas
info,reserve_umpire,D Sevakumaran
info,winner,Nepal
info,winner_runs,6
info,player,Nepal,P Khadka
info,player,Nepal,P Sarraf
info,player,Nepal,G Malla
info,player,Nepal,RK Paudel
info,player,Nepal,S Vesawkar
info,player,Nepal,B Bhandari
info,player,Nepal,Karan KC
info,player,Nepal,Sompal Kami
info,player,Nepal,S Lamichhane
info,player,Nepal,A Bohara
info,player,Nepal,LN Rajbanshi
info,player,Malaysia,Virandeep Singh
info,player,Malaysia,Syed Aziz
info,player,Malaysia,Ahmed Faiz Mohammad Noor
info,player,Malaysia,Shafiq Sharif
info,player,Malaysia,Anwar Arudin
info,player,Malaysia,Aminuddin Ramly
info,player,Malaysia,M Syahadat Ramli
info,player,Malaysia,S Muniandy
info,player,Malaysia,Fitri Sham
info,player,Malaysia,Pavandeep Singh
info,player,Malaysia,Anwar Rahman
info,registry,people,A Bohara,64fb6b15
info,registry,people,Ahmed Faiz Mohammad Noor,f6b4f746
info,registry,people,Aminuddin Ramly,8cae5b48
info,registry,people,Anwar Arudin,6d24561a
info,registry,people,Anwar Rahman,28adcce9
info,registry,people,B Bhandari,82342b13
info,registry,people,D Sevakumaran,b235cb97
info,registry,people,Fitri Sham,d2ec068c
info,registry,people,G Malla,b2e1d224
info,registry,people,Karan KC,f53b3e1d
info,registry,people,LN Rajbanshi,6ad2d5f7
info,registry,people,M Syahadat Ramli,5efa8af3
info,registry,people,N Sivan,8f4a0102
info,registry,people,P Khadka,12c3ba4d
info,registry,people,P Sarraf,82294960
info,registry,people,Pavandeep Singh,78fcc740
info,registry,people,RK Paudel,1a3cc554
info,registry,people,S Lamichhane,b410bd3d
info,registry,people,S Muniandy,57fcfd3b
info,registry,people,S Vesawkar,3de06845
info,registry,people,Shafiq Sharif,033ac24e
info,registry,people,Sompal Kami,1adb8ee8
info,registry,people,Syed Aziz,6667067e
info,registry,people,V Kalidas,42d76418
info,registry,people,Virandeep Singh,415d30b6
