,name,team,runs_scored,balls_played,fours,sixes,strike_rate,overs_deliverd,runs_given,wickets,no_balls,wides,economy
XM Marshall,XM Marshall,United States of America,13,27,2,0,48.148148148148145,0,0.0,0,0,0,0
Aaron Jones,Aaron Jones,United States of America,12,29,1,0,41.37931034482759,0,0.0,0,0,0,0
Steven Ryan Taylor,Steven Ryan Taylor,United States of America,4,6,1,0,66.66666666666666,6,34.0,1,0,1,5.666666666666667
MD Patel,MD Patel,United States of America,19,28,3,0,67.85714285714286,0,0.0,0,0,0,0
IG Holland,IG Holland,United States of America,65,78,7,0,83.33333333333334,10,41.0,1,0,0,4.1
Akshay Homraj,Akshay Homraj,United States of America,44,53,3,2,83.01886792452831,0,0.0,0,0,0,0
EH Hutchinson,EH Hutchinson,United States of America,1,3,0,0,33.33333333333333,4,18.0,0,0,0,4.5
TK Patel,TK Patel,United States of America,16,40,0,0,40.0,4,15.0,0,0,0,3.75
K Gore,K Gore,United States of America,6,14,0,0,42.857142857142854,6,19.0,0,0,0,3.1666666666666665
J Theron,J Theron,United States of America,10,13,1,0,76.92307692307693,10,41.0,1,0,3,4.1
SN Netravalkar,SN Netravalkar,United States of America,14,9,1,1,155.55555555555557,10,42.0,1,0,0,4.2
Jatinder Singh,Jatinder Singh,Oman,4,9,0,0,44.44444444444444,0,0.0,0,0,0,0
Khawar Ali,Khawar Ali,Oman,31,51,5,0,60.78431372549019,7,33.0,0,0,0,4.714285714285714
Aqib Ilyas,Aqib Ilyas,Oman,72,110,6,2,65.45454545454545,5,20.0,2,0,1,4.0
Zeeshan Maqsood,Zeeshan Maqsood,Oman,11,7,2,0,157.14285714285714,10,29.0,2,0,0,2.9
Mohammad Nadeem,Mohammad Nadeem,Oman,55,85,2,1,64.70588235294117,8,43.0,3,0,1,5.375
Suraj Kumar,Suraj Kumar,Oman,33,35,2,1,94.28571428571428,0,0.0,0,0,0,0
Sandeep Goud,Sandeep Goud,Oman,0,0,0,0,0,0,0.0,0,0,0,0
Jay Odedra,Jay Odedra,Oman,0,0,0,0,0,3,19.0,0,0,0,6.333333333333333
Naseem Khushi,Naseem Khushi,Oman,0,0,0,0,0,0,0.0,0,0,0,0
Kaleemullah,Kaleemullah,Oman,0,0,0,0,0,8,22.0,1,0,1,2.75
Bilal Khan,Bilal Khan,Oman,0,0,0,0,0,9,41.0,2,0,0,4.555555555555555
