,name,team,runs_scored,balls_played,fours,sixes,strike_rate,overs_deliverd,runs_given,wickets,no_balls,wides,economy
NY McLean,NY McLean,Jamaica,9,8,2,0,112.5,0,0.0,0,0,0,0
RS Williams,RS Williams,Jamaica,29,41,5,0,70.73170731707317,0,0.0,0,0,0,0
SR Taylor,SR Taylor,Jamaica,13,27,2,0,48.148148148148145,6,13.0,3,0,1,2.1666666666666665
CN Nation,CN Nation,Jamaica,3,5,0,0,60.0,0,0.0,0,0,0,0
CA Henry,CA Henry,Jamaica,28,37,1,1,75.67567567567568,7,25.0,2,0,4,3.5714285714285716
TR Sanford,TR Sanford,Jamaica,6,15,1,0,40.0,0,0.0,0,0,0,0
VN Watts,VN Watts,Jamaica,1,4,0,0,25.0,7,24.0,2,0,3,3.4285714285714284
K Ferron,K Ferron,Jamaica,4,5,1,0,80.0,0,0.0,0,0,0,0
NA Waisome,NA Waisome,Jamaica,0,2,0,0,0.0,3,17.0,0,0,1,5.666666666666667
C Howell,C Howell,Jamaica,0,2,0,0,0.0,4,18.0,0,0,1,4.5
J Brown,J Brown,Jamaica,0,7,0,0,0.0,5,20.0,3,1,6,4.0
Kycia A Knight,Kycia A Knight,Barbados,0,3,0,0,0.0,0,0.0,0,0,0,0
HK Matthews,HK Matthews,Barbados,16,20,3,0,80.0,7,16.0,3,0,0,2.2857142857142856
Kyshona A Knight,Kyshona A Knight,Barbados,50,76,6,0,65.78947368421053,0,0.0,0,0,0,0
A Scantlebury,A Scantlebury,Barbados,6,16,1,0,37.5,0,0.0,0,0,0,0
AA Alleyne,AA Alleyne,Barbados,5,13,1,0,38.46153846153847,3,21.0,0,0,3,7.0
N Cumberbatch,N Cumberbatch,Barbados,7,22,0,0,31.818181818181817,0,0.0,0,0,0,0
SC Selman,SC Selman,Barbados,0,3,0,0,0.0,6,25.0,1,0,2,4.166666666666667
A Williams,A Williams,Barbados,5,4,1,0,125.0,7,22.0,4,0,4,3.142857142857143
T Holder,T Holder,Barbados,6,9,1,0,66.66666666666666,0,0.0,0,0,0,0
S Carrington,S Carrington,Barbados,0,16,0,0,0.0,0,0.0,0,0,0,0
SJ Bruce,SJ Bruce,Barbados,1,10,0,0,10.0,3,22.0,1,0,4,7.333333333333333
