,name,team,runs_scored,balls_played,fours,sixes,strike_rate,overs_deliverd,runs_given,wickets,no_balls,wides,economy
ADS Fletcher,ADS Fletcher,Sylhet Sixers,26,17,2,1,152.94117647058823,0,0.0,0,0,0,0
Nurul Hasan,Nurul Hasan,Sylhet Sixers,5,6,1,0,83.33333333333334,0,0.0,0,0,0,0
Nasir Hossain,Nasir Hossain,Sylhet Sixers,4,8,0,0,50.0,0,0.0,0,0,0,0
Babar Azam,Babar Azam,Sylhet Sixers,54,37,4,1,145.94594594594594,0,0.0,0,0,0,0
Sabbir Rahman,Sabbir Rahman,Sylhet Sixers,44,37,5,0,118.91891891891892,0,0.0,0,0,0,0
RA Whiteley,RA Whiteley,Sylhet Sixers,17,11,1,1,154.54545454545453,0,0.0,0,0,0,0
TT Bresnan,TT Bresnan,Sylhet Sixers,16,5,2,1,320.0,4,40.0,1,0,1,10.0
Kamrul Islam Rabbi,Kamrul Islam Rabbi,Sylhet Sixers,0,0,0,0,0,5,32.0,2,0,0,6.4
Nabil Samad,Nabil Samad,Sylhet Sixers,0,0,0,0,0,4,31.0,1,0,0,7.75
Abul Hasan,Abul Hasan,Sylhet Sixers,0,0,0,0,0,4,25.0,1,0,4,6.25
Sohail Tanvir,Sohail Tanvir,Sylhet Sixers,0,0,0,0,0,4,44.0,1,0,1,11.0
CH Gayle,CH Gayle,Rangpur Riders,5,3,1,0,166.66666666666669,0,0.0,0,0,0,0
Ziaur Rahman,Ziaur Rahman,Rangpur Riders,36,18,5,2,200.0,0,0.0,0,0,0,0
BB McCullum,BB McCullum,Rangpur Riders,43,38,4,2,113.1578947368421,0,0.0,0,0,0,0
Mohammad Mithun,Mohammad Mithun,Rangpur Riders,18,17,1,0,105.88235294117648,0,0.0,0,0,0,0
RS Bopara,RS Bopara,Rangpur Riders,33,24,1,1,137.5,2,15.0,0,0,0,7.5
Samiullah Shenwari,Samiullah Shenwari,Rangpur Riders,0,2,0,0,0.0,4,28.0,0,0,0,7.0
Mashrafe Mortaza,Mashrafe Mortaza,Rangpur Riders,17,10,0,2,170.0,4,39.0,2,0,0,9.75
Nahidul Islam,Nahidul Islam,Rangpur Riders,14,7,2,0,200.0,0,0.0,0,0,0,0
Nazmul Islam,Nazmul Islam,Rangpur Riders,0,0,0,0,0,4,18.0,3,0,0,4.5
Rubel Hossain,Rubel Hossain,Rangpur Riders,0,0,0,0,0,2,26.0,0,1,0,13.0
SL Malinga,SL Malinga,Rangpur Riders,0,0,0,0,0,4,45.0,0,0,4,11.25
