,name,team,runs_scored,balls_played,fours,sixes,strike_rate,overs_deliverd,runs_given,wickets,no_balls,wides,economy
EL Lamb,EL Lamb,Thunder,63,82,3,1,76.82926829268293,8,47.0,1,0,0,5.875
S Smale,S Smale,Thunder,0,1,0,0,0.0,0,0.0,0,0,0,0
L Marshall,L Marshall,Thunder,8,17,1,0,47.05882352941176,0,0.0,0,0,0,0
DJS Dottin,DJS Dottin,Thunder,5,5,1,0,100.0,6,36.0,1,0,1,6.0
E Threlkeld,E Threlkeld,Thunder,79,118,9,0,66.94915254237289,0,0.0,0,0,0,0
S Pai,S Pai,Thunder,0,1,0,0,0.0,3,21.0,1,1,0,7.0
L Heap,L Heap,Thunder,12,16,0,0,75.0,0,0.0,0,0,0,0
D Mullan,D Mullan,Thunder,13,18,1,0,72.22222222222221,0,0.0,0,0,0,0
L Jackson,L Jackson,Thunder,4,12,0,0,33.33333333333333,10,27.0,1,1,2,2.7
PC Graham,PC Graham,Thunder,3,12,0,0,25.0,10,32.0,2,0,3,3.2
HE Jones,HE Jones,Thunder,5,10,0,0,50.0,10,38.0,0,0,0,3.8
EM McCaughan,EM McCaughan,Southern Vipers,8,21,0,0,38.095238095238095,0,0.0,0,0,0,0
CE Dean,CE Dean,Southern Vipers,11,30,1,0,36.666666666666664,10,41.0,1,0,3,4.1
GA Elwiss,GA Elwiss,Southern Vipers,6,11,1,0,54.54545454545454,3,7.0,0,0,0,2.3333333333333335
GL Adams,GL Adams,Southern Vipers,20,31,3,0,64.51612903225806,7,33.0,2,0,3,4.714285714285714
PJ Scholfield,PJ Scholfield,Southern Vipers,31,45,2,0,68.88888888888889,9,30.0,2,0,1,3.3333333333333335
E Windsor,E Windsor,Southern Vipers,59,76,7,0,77.63157894736842,0,0.0,0,0,0,0
CAE Hill,CAE Hill,Southern Vipers,43,59,5,0,72.88135593220339,0,0.0,0,0,0,0
TG Norris,TG Norris,Southern Vipers,12,13,2,0,92.3076923076923,10,42.0,4,0,0,4.2
AZ Monaghan,AZ Monaghan,Southern Vipers,0,0,0,0,0,0,0.0,0,0,0,0
CE Rudd,CE Rudd,Southern Vipers,0,0,0,0,0,0,0.0,0,0,0,0
CM Taylor,CM Taylor,Southern Vipers,0,0,0,0,0,10,47.0,1,0,0,4.7
