,name,team,runs_scored,balls_played,fours,sixes,strike_rate,overs_deliverd,runs_given,wickets,no_balls,wides,economy
Muneeba Ali,Muneeba Ali,Pakistan,13,27,2,0,48.148148148148145,0,0.0,0,0,0,0
Javeria Khan,Javeria Khan,Pakistan,38,90,5,0,42.22222222222222,0,0.0,0,0,0,0
Umaima Sohail,Umaima Sohail,Pakistan,7,19,0,0,36.84210526315789,9,19.0,2,0,3,2.111111111111111
Iram Javed,Iram Javed,Pakistan,4,6,1,0,66.66666666666666,0,0.0,0,0,0,0
Nida Dar,Nida Dar,Pakistan,15,36,2,0,41.66666666666667,8,26.0,3,0,2,3.25
Aliya Riaz,Aliya Riaz,Pakistan,49,66,6,1,74.24242424242425,0,0.0,0,0,0,0
Sidra Nawaz,Sidra Nawaz,Pakistan,2,10,0,0,20.0,0,0.0,0,0,0,0
Fatima Sana,Fatima Sana,Pakistan,10,19,1,0,52.63157894736842,4,8.0,2,0,1,2.0
Diana Baig,Diana Baig,Pakistan,1,3,0,0,33.33333333333333,3,12.0,1,0,0,4.0
Nashra Sandhu,Nashra Sandhu,Pakistan,2,7,0,0,28.57142857142857,10,14.0,1,0,1,1.4
Anam Amin,Anam Amin,Pakistan,0,5,0,0,0.0,9,13.0,1,0,0,1.4444444444444444
S Tippoch,S Tippoch,Thailand,13,51,1,0,25.49019607843137,10,19.0,2,0,1,1.9
N Chantam,N Chantam,Thailand,0,2,0,0,0.0,0,0.0,0,0,0,0
W Liengprasert,W Liengprasert,Thailand,0,7,0,0,0.0,0,0.0,0,0,0,0
O Kamchomphu,O Kamchomphu,Thailand,16,15,3,0,106.66666666666667,9,33.0,1,0,0,3.6666666666666665
N Chaiwai,N Chaiwai,Thailand,14,38,0,0,36.84210526315789,0,0.0,0,0,0,0
N Koncharoenkai,N Koncharoenkai,Thailand,9,36,0,0,25.0,0,0.0,0,0,0,0
N Boochatham,N Boochatham,Thailand,18,51,3,0,35.294117647058826,7,18.0,0,0,1,2.5714285714285716
C Sutthiruang,C Sutthiruang,Thailand,2,25,0,0,8.0,2,4.0,0,0,0,2.0
S Laomi,S Laomi,Thailand,4,23,0,0,17.391304347826086,8,35.0,1,0,0,4.375
R Kanoh,R Kanoh,Thailand,1,3,0,0,33.33333333333333,3,16.0,1,0,0,5.333333333333333
T Putthawong,T Putthawong,Thailand,4,7,0,0,57.14285714285714,9,18.0,5,0,0,2.0
