,name,team,runs_scored,balls_played,fours,sixes,strike_rate,overs_deliverd,runs_given,wickets,no_balls,wides,economy
T de Zorzi,T de Zorzi,Cape Cobras,24,26,3,0,92.3076923076923,0,0.0,0,0,0,0
Zubayr Hamza,Zubayr Hamza,Cape Cobras,77,50,10,2,154.0,0,0.0,0,0,0,0
O Nyaku,O Nyaku,Cape Cobras,0,1,0,0,0.0,0,0.0,0,0,0,0
K Verreynne,K Verreynne,Cape Cobras,45,31,5,1,145.16129032258064,0,0.0,0,0,0,0
GF Linde,GF Linde,Cape Cobras,11,9,0,0,122.22222222222223,4,20.0,1,0,2,5.0
C Jonker,C Jonker,Cape Cobras,8,4,0,1,200.0,0,0.0,0,0,0,0
C Bosch,C Bosch,Cape Cobras,0,0,0,0,0,4,41.0,2,0,3,10.25
CP Savage,CP Savage,Cape Cobras,0,0,0,0,0,2,16.0,0,0,3,8.0
I Manack,I Manack,Cape Cobras,0,0,0,0,0,2,11.0,0,0,0,5.5
Siyabonga Mahima,Siyabonga Mahima,Cape Cobras,0,0,0,0,0,4,31.0,2,0,0,7.75
Z Abrahams,Z Abrahams,Cape Cobras,0,0,0,0,0,4,42.0,2,1,2,10.5
PE Kruger,PE Kruger,Knights,18,24,3,0,75.0,1,6.0,0,0,0,6.0
GJ Snyman,GJ Snyman,Knights,12,7,0,1,171.42857142857142,3,27.0,0,0,0,9.0
R van Tonder,R van Tonder,Knights,42,40,2,1,105.0,0,0.0,0,0,0,0
PJ van Biljon,PJ van Biljon,Knights,29,25,0,3,115.99999999999999,0,0.0,0,0,0,0
F Behardien,F Behardien,Knights,9,9,0,0,100.0,0,0.0,0,0,0,0
TG Mokoena,TG Mokoena,Knights,13,9,1,0,144.44444444444443,0,0.0,0,0,0,0
W Makwetu,W Makwetu,Knights,0,1,0,0,0.0,0,0.0,0,0,0,0
M Pretorius,M Pretorius,Knights,19,8,1,2,237.5,4,37.0,1,0,0,9.25
FD Adams,FD Adams,Knights,0,0,0,0,0,4,42.0,0,0,1,10.5
SA Mothoa,SA Mothoa,Knights,0,0,0,0,0,4,32.0,2,0,0,8.0
S von Berg,S von Berg,Knights,0,0,0,0,0,4,23.0,2,0,0,5.75
