,name,team,runs_scored,balls_played,fours,sixes,strike_rate,overs_deliverd,runs_given,wickets,no_balls,wides,economy
SR Taylor,SR Taylor,Jamaica,56,52,5,0,107.6923076923077,3,10.0,0,0,0,3.3333333333333335
RS Williams,RS Williams,Jamaica,6,10,1,0,60.0,0,0.0,0,0,0,0
TR Sanford,TR Sanford,Jamaica,0,0,0,0,0,0,0.0,0,0,0,0
NY McLean,NY McLean,Jamaica,83,55,9,3,150.9090909090909,0,0.0,0,0,0,0
VN Watts,VN Watts,Jamaica,0,0,0,0,0,4,6.0,0,0,0,1.5
NA Waisome,NA Waisome,Jamaica,0,0,0,0,0,4,9.0,1,0,1,2.25
CA Henry,CA Henry,Jamaica,5,3,1,0,166.66666666666669,3,3.0,1,0,1,1.0
JE Walcott,JE Walcott,Jamaica,0,0,0,0,0,2,3.0,0,0,0,1.5
C Howell,C Howell,Jamaica,0,0,0,0,0,4,13.0,1,0,0,3.25
CN Nation,CN Nation,Jamaica,5,5,0,0,100.0,0,0.0,0,0,0,0
K Ferron,K Ferron,Jamaica,0,0,0,0,0,0,0.0,0,0,0,0
S Hector,S Hector,Leeward Islands,17,31,2,0,54.83870967741935,4,23.0,0,0,1,5.75
T McCoy,T McCoy,Leeward Islands,0,0,0,0,0,0,0.0,0,0,0,0
R Dolabaille,R Dolabaille,Leeward Islands,4,23,0,0,17.391304347826086,0,0.0,0,0,0,0
A Edwards,A Edwards,Leeward Islands,4,6,1,0,66.66666666666666,2,11.0,2,0,0,5.5
S Willett,S Willett,Leeward Islands,16,40,3,0,40.0,3,31.0,2,0,2,10.333333333333334
A Freeman,A Freeman,Leeward Islands,0,0,0,0,0,0,0.0,0,0,0,0
T Parker,T Parker,Leeward Islands,0,0,0,0,0,0,0.0,0,0,0,0
R Liburd,R Liburd,Leeward Islands,0,0,0,0,0,4,30.0,1,0,2,7.5
M Clarke,M Clarke,Leeward Islands,1,20,0,0,5.0,3,25.0,0,1,0,8.333333333333334
S Bellot,S Bellot,Leeward Islands,0,0,0,0,0,3,25.0,0,1,0,8.333333333333334
T Martin,T Martin,Leeward Islands,0,0,0,0,0,1,25.0,0,1,2,25.0
