version,2.1.0
info,balls_per_over,6
info,team,Austria
info,team,Germany
info,gender,female
info,season,2020
info,date,2020/08/13
info,event,Germany Women tour of Austria
info,match_number,3
info,venue,Seebarn Cricket Centre
info,city,Lower Austria
info,toss_winner,Austria
info,toss_decision,bat
info,player_of_match,A Bierwisch
info,umpire,Dharminder Pal Rauhia
info,umpire,Rajinder Kumar
info,reserve_umpire,Arsalan Arif
info,winner,Germany
info,winner_wickets,10
info,player,Austria,H Bhullar
info,player,Austria,Busra Uca
info,player,Austria,R Avdylaj
info,player,Austria,AM Zepeda
info,player,Austria,A Nookala
info,player,Austria,JA Stiglitz
info,player,Austria,P Sabu
info,player,Austria,S Kailath
info,player,Austria,H Dhaliwal
info,player,Austria,V Avdylaj
info,player,Austria,SB Chamundaiah
info,player,Germany,S Sadarangani
info,player,Germany,A Doddaballapur
info,player,Germany,JE Ronalds
info,player,Germany,CM Gough
info,player,Germany,A Bierwisch
info,player,Germany,MS Beresford
info,player,Germany,SR McAnanama-Brereton
info,player,Germany,V Stolle
info,player,Germany,A Meyenborg
info,player,Germany,L Skatulla
info,player,Germany,K Qureshi
info,registry,people,A Bierwisch,b51d654f
info,registry,people,A Doddaballapur,fe4f5d2b
info,registry,people,A Meyenborg,edbc9441
info,registry,people,A Nookala,57922f7c
info,registry,people,AM Zepeda,c9f95a16
info,registry,people,Arsalan Arif,cc65e4a4
info,registry,people,Busra Uca,e486ecc0
info,registry,people,CM Gough,f1328a90
info,registry,people,Dharminder Pal Rauhia,d32f938d
info,registry,people,H Bhullar,c9ffb93d
info,registry,people,H Dhaliwal,5be6b836
info,registry,people,JA Stiglitz,7195065a
info,registry,people,JE Ronalds,d4f98302
info,registry,people,K Qureshi,063e8671
info,registry,people,L Skatulla,920bca47
info,registry,people,MS Beresford,26eb73f9
info,registry,people,P Sabu,a38da707
info,registry,people,R Avdylaj,422c0dde
info,registry,people,Rajinder Kumar,20a12a4c
info,registry,people,S Kailath,080bbb6e
info,registry,people,S Sadarangani,acd030a0
info,registry,people,SB Chamundaiah,0159383b
info,registry,people,SR McAnanama-Brereton,bb1be934
info,registry,people,V Avdylaj,cfd2b36f
info,registry,people,V Stolle,0dc4ac6c
