,name,team,runs_scored,balls_played,fours,sixes,strike_rate,overs_deliverd,runs_given,wickets,no_balls,wides,economy
ASS Fletcher,ASS Fletcher,Windward Islands,26,31,1,0,83.87096774193549,4,20.0,1,0,1,5.0
J Glasgow,J Glasgow,Windward Islands,3,5,0,0,60.0,3,16.0,0,0,1,5.333333333333333
M Edward,M Edward,Windward Islands,1,3,0,0,33.33333333333333,0,0.0,0,0,0,0
K Homer,K Homer,Windward Islands,7,21,1,0,33.33333333333333,0,0.0,0,0,0,0
JM Joseph,JM Joseph,Windward Islands,21,18,3,0,116.66666666666667,0,0.0,0,0,0,0
EG Turtin,EG Turtin,Windward Islands,12,9,1,0,133.33333333333331,0,0.0,0,0,0,0
SN Adams,SN Adams,Windward Islands,0,2,0,0,0.0,0,0.0,0,0,0,0
Z James,Z James,Windward Islands,6,28,0,0,21.428571428571427,1,3.0,0,0,0,3.0
PS Etienne,PS Etienne,Windward Islands,0,0,0,0,0,3,10.0,1,0,0,3.3333333333333335
Q Joseph,Q Joseph,Windward Islands,1,5,0,0,20.0,4,17.0,1,0,0,4.25
C Noel,C Noel,Windward Islands,0,0,0,0,0,2,17.0,1,1,3,8.5
SA Campbelle,SA Campbelle,Guyana,29,30,3,0,96.66666666666667,0,0.0,0,0,0,0
S Gajnabi,S Gajnabi,Guyana,2,6,0,0,33.33333333333333,2,11.0,2,1,0,5.5
KK Mentore,KK Mentore,Guyana,0,0,0,0,0,0,0.0,0,0,0,0
SS Grimmond,SS Grimmond,Guyana,11,13,1,0,84.61538461538461,4,14.0,1,0,0,3.5
PO Millington,PO Millington,Guyana,0,0,0,0,0,4,16.0,1,1,1,4.0
K Schultz,K Schultz,Guyana,0,0,0,0,0,4,13.0,3,0,3,3.25
TD Smartt,TD Smartt,Guyana,13,12,2,0,108.33333333333333,4,17.0,0,0,1,4.25
M Mangru,M Mangru,Guyana,3,4,0,0,75.0,0,0.0,0,0,0,0
K Persaud,K Persaud,Guyana,0,0,0,0,0,0,0.0,0,0,0,0
A Munisar,A Munisar,Guyana,0,0,0,0,0,2,13.0,0,0,0,6.5
LCA Toussaint,LCA Toussaint,Guyana,16,36,2,0,44.44444444444444,0,0.0,0,0,0,0
