,name,team,runs_scored,balls_played,fours,sixes,strike_rate,overs_deliverd,runs_given,wickets,no_balls,wides,economy
M Clarke,M Clarke,Leeward Islands,0,4,0,0,0.0,4,23.0,0,0,2,5.75
Jenison Richards,Jenison Richards,Leeward Islands,5,10,0,0,50.0,0,0.0,0,0,0,0
R Dolabaille,R Dolabaille,Leeward Islands,5,16,0,0,31.25,0,0.0,0,0,0,0
S Hector,S Hector,Leeward Islands,1,7,0,0,14.285714285714285,4,21.0,1,1,1,5.25
S Willett,S Willett,Leeward Islands,19,27,3,0,70.37037037037037,0,0.0,0,0,0,0
A Edwards,A Edwards,Leeward Islands,1,3,0,0,33.33333333333333,4,25.0,2,0,4,6.25
T Thorpe,T Thorpe,Leeward Islands,5,10,0,0,50.0,4,29.0,0,0,4,7.25
T Parker,T Parker,Leeward Islands,0,2,0,0,0.0,0,0.0,0,0,0,0
R Liburd,R Liburd,Leeward Islands,1,1,0,0,100.0,4,23.0,1,1,1,5.75
D Claxton,D Claxton,Leeward Islands,5,7,0,0,71.42857142857143,0,0.0,0,0,0,0
S Bellot,S Bellot,Leeward Islands,0,1,0,0,0.0,0,0.0,0,0,0,0
SA Campbelle,SA Campbelle,Guyana,36,30,4,0,120.0,0,0.0,0,0,0,0
S Gajnabi,S Gajnabi,Guyana,32,24,3,0,133.33333333333331,0,0.0,0,0,0,0
KK Mentore,KK Mentore,Guyana,11,11,2,0,100.0,0,0.0,0,0,0,0
S Campbelle,S Campbelle,Guyana,0,0,0,0,0,0,0.0,0,0,0,0
SS Grimmond,SS Grimmond,Guyana,12,22,0,0,54.54545454545454,4,19.0,1,0,1,4.75
PO Millington,PO Millington,Guyana,0,0,0,0,0,3,5.0,3,0,0,1.6666666666666667
K Schultz,K Schultz,Guyana,0,0,0,0,0,4,14.0,4,0,3,3.5
TD Smartt,TD Smartt,Guyana,0,0,0,0,0,3,6.0,0,0,0,2.0
M Mangru,M Mangru,Guyana,0,0,0,0,0,0,0.0,0,0,0,0
A Munisar,A Munisar,Guyana,0,0,0,0,0,1,2.0,2,0,0,2.0
LCA Toussaint,LCA Toussaint,Guyana,12,38,1,0,31.57894736842105,0,0.0,0,0,0,0
