,name,team,runs_scored,balls_played,fours,sixes,strike_rate,overs_deliverd,runs_given,wickets,no_balls,wides,economy
CT Bancroft,CT Bancroft,Western Australia,56,118,8,0,47.45762711864407,0,0.0,0,0,0,0
SM Whiteman,SM Whiteman,Western Australia,68,188,12,0,36.17021276595745,0,0.0,0,0,0,0
DJM Short,DJM Short,Western Australia,20,62,3,0,32.25806451612903,0,0.0,0,0,0,0
MR Marsh,MR Marsh,Western Australia,107,170,14,0,62.94117647058823,12,56.0,1,1,0,4.666666666666667
HWR Cartwright,HWR Cartwright,Western Australia,57,95,10,0,60.0,2,5.0,0,0,0,2.5
JR Philippe,JR Philippe,Western Australia,53,131,6,0,40.458015267175576,0,0.0,0,0,0,0
JP Inglis,JP Inglis,Western Australia,31,66,5,0,46.96969696969697,0,0.0,0,0,0,0
AM Hardie,AM Hardie,Western Australia,31,53,5,0,58.490566037735846,25,62.0,8,0,0,2.48
JS Paris,JS Paris,Western Australia,12,65,1,0,18.461538461538463,29,68.0,5,1,0,2.3448275862068964
M Kelly,M Kelly,Western Australia,11,19,1,0,57.89473684210527,27,81.0,3,0,1,3.0
L Guthrie,L Guthrie,Western Australia,11,21,2,0,52.38095238095239,17,66.0,3,0,2,3.8823529411764706
MT Renshaw,MT Renshaw,Queensland,74,138,11,0,53.62318840579711,0,0.0,0,0,0,0
JA Burns,JA Burns,Queensland,34,53,3,0,64.15094339622641,0,0.0,0,0,0,0
M Labuschagne,M Labuschagne,Queensland,28,38,5,0,73.68421052631578,13,25.0,1,0,0,1.9230769230769231
CR Hemphrey,CR Hemphrey,Queensland,5,19,1,0,26.31578947368421,0,0.0,0,0,0,0
SD Heazlett,SD Heazlett,Queensland,71,157,6,3,45.22292993630573,0,0.0,0,0,0,0
JJ Peirson,JJ Peirson,Queensland,31,86,3,0,36.04651162790697,0,0.0,0,0,0,0
MG Neser,MG Neser,Queensland,52,113,9,0,46.017699115044245,36,76.0,8,0,0,2.111111111111111
MT Steketee,MT Steketee,Queensland,7,14,1,0,50.0,34,89.0,5,1,9,2.6176470588235294
MJ Swepson,MJ Swepson,Queensland,15,20,3,0,75.0,12,61.0,1,0,0,5.083333333333333
LW Feldman,LW Feldman,Queensland,8,32,1,0,25.0,43,140.0,3,0,2,3.255813953488372
B Stanlake,B Stanlake,Queensland,0,2,0,0,0.0,27,83.0,2,0,1,3.074074074074074
