,name,team,runs_scored,balls_played,fours,sixes,strike_rate,overs_deliverd,runs_given,wickets,no_balls,wides,economy
AZ Lees,AZ Lees,Durham,105,269,10,0,39.03345724907063,0,0.0,0,0,0,0
SR Dickson,SR Dickson,Durham,21,45,3,0,46.666666666666664,0,0.0,0,0,0,0
KD Petersen,KD Petersen,Durham,83,143,6,1,58.04195804195804,0,0.0,0,0,0,0
SG Borthwick,SG Borthwick,Durham,107,146,14,0,73.28767123287672,3,19.0,0,0,0,6.333333333333333
DG Bedingham,DG Bedingham,Durham,17,54,1,0,31.48148148148148,0,0.0,0,0,0,0
BA Stokes,BA Stokes,Durham,108,156,10,2,69.23076923076923,12,69.0,0,0,0,5.75
EJH Eckersley,EJH Eckersley,Durham,29,52,4,0,55.769230769230774,0,0.0,0,0,0,0
BA Raine,BA Raine,Durham,41,84,6,0,48.80952380952381,35,96.0,5,1,0,2.742857142857143
BA Carse,BA Carse,Durham,16,41,1,0,39.02439024390244,20,92.0,2,4,0,4.6
MJ Potts,MJ Potts,Durham,3,20,0,0,15.0,39,101.0,11,0,0,2.58974358974359
C Rushworth,C Rushworth,Durham,16,15,3,0,106.66666666666667,34,109.0,2,2,0,3.2058823529411766
DL Lloyd,DL Lloyd,Glamorgan,9,38,1,0,23.684210526315788,8,43.0,2,0,0,5.375
AG Salter,AG Salter,Glamorgan,15,37,2,0,40.54054054054054,33,86.0,2,0,0,2.606060606060606
AW Gorvin,AW Gorvin,Glamorgan,4,19,1,0,21.052631578947366,29,86.0,1,0,0,2.9655172413793105
M Labuschagne,M Labuschagne,Glamorgan,48,98,8,0,48.97959183673469,23,77.0,3,0,0,3.347826086956522
SA Northeast,SA Northeast,Glamorgan,77,125,10,0,61.6,0,0.0,0,0,0,0
KS Carlson,KS Carlson,Glamorgan,53,49,8,0,108.16326530612245,0,0.0,0,0,0,0
CB Cooke,CB Cooke,Glamorgan,38,104,2,0,36.53846153846153,0,0.0,0,0,0,0
WT Root,WT Root,Glamorgan,98,179,10,0,54.7486033519553,0,0.0,0,0,0,0
MG Neser,MG Neser,Glamorgan,80,121,12,0,66.11570247933885,38,93.0,6,0,0,2.4473684210526314
T van der Gugten,T van der Gugten,Glamorgan,44,84,6,0,52.38095238095239,10,38.0,0,0,0,3.8
MG Hogan,MG Hogan,Glamorgan,6,10,1,0,60.0,32,123.0,6,0,0,3.84375
