,name,team,runs_scored,balls_played,fours,sixes,strike_rate,overs_deliverd,runs_given,wickets,no_balls,wides,economy
SJ Mullaney,SJ Mullaney,Nottinghamshire,141,199,14,4,70.85427135678391,0,0.0,0,0,0,0
JD Libby,JD Libby,Nottinghamshire,54,134,6,0,40.298507462686565,0,0.0,0,0,0,0
CD Nash,CD Nash,Nottinghamshire,26,36,4,0,72.22222222222221,2,5.0,0,0,0,2.5
LRPL Taylor,LRPL Taylor,Nottinghamshire,130,122,17,2,106.55737704918033,0,0.0,0,0,0,0
SR Patel,SR Patel,Nottinghamshire,109,141,16,1,77.30496453900709,38,48.0,4,0,0,1.263157894736842
MH Wessels,MH Wessels,Nottinghamshire,68,117,8,1,58.119658119658126,0,0.0,0,0,0,0
TJ Moores,TJ Moores,Nottinghamshire,63,54,9,3,116.66666666666667,0,0.0,0,0,0,0
SCJ Broad,SCJ Broad,Nottinghamshire,34,44,6,0,77.27272727272727,42,102.0,6,0,0,2.4285714285714284
LJ Fletcher,LJ Fletcher,Nottinghamshire,14,21,3,0,66.66666666666666,28,58.0,2,5,0,2.0714285714285716
JT Ball,JT Ball,Nottinghamshire,12,27,2,0,44.44444444444444,46,133.0,4,0,0,2.891304347826087
HF Gurney,HF Gurney,Nottinghamshire,16,38,2,0,42.10526315789473,39,107.0,4,0,0,2.7435897435897436
JJ Weatherley,JJ Weatherley,Hampshire,68,159,9,0,42.76729559748428,3,17.0,1,0,0,5.666666666666667
JHK Adams,JHK Adams,Hampshire,17,92,2,0,18.478260869565215,0,0.0,0,0,0,0
JM Vince,JM Vince,Hampshire,10,46,1,0,21.73913043478261,0,0.0,0,0,0,0
HM Amla,HM Amla,Hampshire,181,325,26,0,55.69230769230769,0,0.0,0,0,0,0
RR Rossouw,RR Rossouw,Hampshire,33,107,5,0,30.8411214953271,0,0.0,0,0,0,0
LA Dawson,LA Dawson,Hampshire,18,64,1,0,28.125,32,140.0,3,0,0,4.375
LD McManus,LD McManus,Hampshire,68,196,7,1,34.69387755102041,0,0.0,0,0,0,0
KJ Abbott,KJ Abbott,Hampshire,24,85,5,0,28.235294117647058,25,120.0,1,0,0,4.8
CP Wood,CP Wood,Hampshire,18,41,3,0,43.90243902439025,25,121.0,3,2,0,4.84
BTJ Wheal,BTJ Wheal,Hampshire,5,51,0,0,9.803921568627452,33,131.0,4,0,0,3.9696969696969697
FH Edwards,FH Edwards,Hampshire,1,9,0,0,11.11111111111111,38,144.0,7,1,0,3.789473684210526
