,name,team,runs_scored,balls_played,fours,sixes,strike_rate,overs_deliverd,runs_given,wickets,no_balls,wides,economy
ASS Fletcher,ASS Fletcher,Windward Islands,15,30,2,0,50.0,0,0.0,0,0,0,0
J Glasgow,J Glasgow,Windward Islands,22,41,2,0,53.65853658536586,6,25.0,3,0,2,4.166666666666667
M Edward,M Edward,Windward Islands,0,7,0,0,0.0,0,0.0,0,0,0,0
K Homer,K Homer,Windward Islands,28,60,3,1,46.666666666666664,0,0.0,0,0,0,0
JM Joseph,JM Joseph,Windward Islands,0,1,0,0,0.0,0,0.0,0,0,0,0
Z James,Z James,Windward Islands,10,22,0,0,45.45454545454545,0,0.0,0,0,0,0
PS Etienne,PS Etienne,Windward Islands,0,0,0,0,0,6,20.0,2,0,1,3.3333333333333335
A Edward,A Edward,Windward Islands,10,25,2,0,40.0,0,0.0,0,0,0,0
Q Joseph,Q Joseph,Windward Islands,30,39,4,0,76.92307692307693,2,0.0,2,0,0,0.0
C Noel,C Noel,Windward Islands,72,62,9,0,116.12903225806453,3,12.0,0,0,0,4.0
T Byron,T Byron,Windward Islands,3,19,0,0,15.789473684210526,5,32.0,3,1,5,6.4
M Clarke,M Clarke,Leeward Islands,0,4,0,0,0.0,5,20.0,0,0,5,4.0
R Dolabaille,R Dolabaille,Leeward Islands,3,12,0,0,25.0,0,0.0,0,0,0,0
T Parker,T Parker,Leeward Islands,3,20,0,0,15.0,0,0.0,0,0,0,0
S Hector,S Hector,Leeward Islands,24,20,3,1,120.0,7,35.0,0,0,4,5.0
S Willett,S Willett,Leeward Islands,10,13,2,0,76.92307692307693,3,33.0,0,0,3,11.0
A Edwards,A Edwards,Leeward Islands,0,0,0,0,0,10,30.0,3,0,5,3.0
T Thorpe,T Thorpe,Leeward Islands,20,27,3,0,74.07407407407408,10,47.0,2,0,3,4.7
R Liburd,R Liburd,Leeward Islands,0,2,0,0,0.0,10,34.0,3,0,5,3.4
T McCoy,T McCoy,Leeward Islands,1,2,0,0,50.0,0,0.0,0,0,0,0
D Claxton,D Claxton,Leeward Islands,15,10,3,0,150.0,2,15.0,0,0,8,7.5
T Martin,T Martin,Leeward Islands,0,6,0,0,0.0,4,23.0,0,0,7,5.75
A Freeman,A Freeman,Leeward Islands,4,16,0,0,25.0,0,0.0,0,0,0,0
