match_id,season,start_date,venue,innings,ball,batting_team,bowling_team,striker,non_striker,bowler,runs_off_bat,extras,wides,noballs,byes,legbyes,penalty,wicket_type,player_dismissed,other_wicket_type,other_player_dismissed
1216497,2020/21,2020-10-24,Sheikh Zayed Stadium,1,0.1,Kolkata Knight Riders,Delhi Capitals,Shubman Gill,N Rana,TU Deshpande,0,0,,,,,,,,,
1216497,2020/21,2020-10-24,Sheikh Zayed Stadium,1,0.2,Kolkata Knight Riders,Delhi Capitals,Shubman Gill,N Rana,TU Deshpande,4,0,,,,,,,,,
1216497,2020/21,2020-10-24,Sheikh Zayed Stadium,1,0.3,Kolkata Knight Riders,Delhi Capitals,Shubman Gill,N Rana,TU Deshpande,0,0,,,,,,,,,
1216497,2020/21,2020-10-24,Sheikh Zayed Stadium,1,0.4,Kolkata Knight Riders,Delhi Capitals,Shubman Gill,N Rana,TU Deshpande,0,0,,,,,,,,,
1216497,2020/21,2020-10-24,Sheikh Zayed Stadium,1,0.5,Kolkata Knight Riders,Delhi Capitals,Shubman Gill,N Rana,TU Deshpande,4,0,,,,,,,,,
1216497,2020/21,2020-10-24,Sheikh Zayed Stadium,1,0.6,Kolkata Knight Riders,Delhi Capitals,Shubman Gill,N Rana,TU Deshpande,0,0,,,,,,,,,
1216497,2020/21,2020-10-24,Sheikh Zayed Stadium,1,1.1,Kolkata Knight Riders,Delhi Capitals,N Rana,Shubman Gill,A Nortje,0,0,,,,,,,,,
1216497,2020/21,2020-10-24,Sheikh Zayed Stadium,1,1.2,Kolkata Knight Riders,Delhi Capitals,N Rana,Shubman Gill,A Nortje,1,0,,,,,,,,,
1216497,2020/21,2020-10-24,Sheikh Zayed Stadium,1,1.3,Kolkata Knight Riders,Delhi Capitals,Shubman Gill,N Rana,A Nortje,1,0,,,,,,,,,
1216497,2020/21,2020-10-24,Sheikh Zayed Stadium,1,1.4,Kolkata Knight Riders,Delhi Capitals,N Rana,Shubman Gill,A Nortje,1,0,,,,,,,,,
1216497,2020/21,2020-10-24,Sheikh Zayed Stadium,1,1.5,Kolkata Knight Riders,Delhi Capitals,Shubman Gill,N Rana,A Nortje,0,0,,,,,,caught,Shubman Gill,,
1216497,2020/21,2020-10-24,Sheikh Zayed Stadium,1,1.6,Kolkata Knight Riders,Delhi Capitals,RA Tripathi,N Rana,A Nortje,0,0,,,,,,,,,
1216497,2020/21,2020-10-24,Sheikh Zayed Stadium,1,2.1,Kolkata Knight Riders,Delhi Capitals,N Rana,RA Tripathi,TU Deshpande,0,0,,,,,,,,,
1216497,2020/21,2020-10-24,Sheikh Zayed Stadium,1,2.2,Kolkata Knight Riders,Delhi Capitals,N Rana,RA Tripathi,TU Deshpande,4,0,,,,,,,,,
1216497,2020/21,2020-10-24,Sheikh Zayed Stadium,1,2.3,Kolkata Knight Riders,Delhi Capitals,N Rana,RA Tripathi,TU Deshpande,0,0,,,,,,,,,
1216497,2020/21,2020-10-24,Sheikh Zayed Stadium,1,2.4,Kolkata Knight Riders,Delhi Capitals,N Rana,RA Tripathi,TU Deshpande,0,0,,,,,,,,,
1216497,2020/21,2020-10-24,Sheikh Zayed Stadium,1,2.5,Kolkata Knight Riders,Delhi Capitals,N Rana,RA Tripathi,TU Deshpande,1,0,,,,,,,,,
1216497,2020/21,2020-10-24,Sheikh Zayed Stadium,1,2.6,Kolkata Knight Riders,Delhi Capitals,RA Tripathi,N Rana,TU Deshpande,0,0,,,,,,,,,
1216497,2020/21,2020-10-24,Sheikh Zayed Stadium,1,3.1,Kolkata Knight Riders,Delhi Capitals,N Rana,RA Tripathi,K Rabada,0,0,,,,,,,,,
1216497,2020/21,2020-10-24,Sheikh Zayed Stadium,1,3.2,Kolkata Knight Riders,Delhi Capitals,N Rana,RA Tripathi,K Rabada,0,0,,,,,,,,,
1216497,2020/21,2020-10-24,Sheikh Zayed Stadium,1,3.3,Kolkata Knight Riders,Delhi Capitals,N Rana,RA Tripathi,K Rabada,1,0,,,,,,,,,
1216497,2020/21,2020-10-24,Sheikh Zayed Stadium,1,3.4,Kolkata Knight Riders,Delhi Capitals,RA Tripathi,N Rana,K Rabada,2,0,,,,,,,,,
1216497,2020/21,2020-10-24,Sheikh Zayed Stadium,1,3.5,Kolkata Knight Riders,Delhi Capitals,RA Tripathi,N Rana,K Rabada,2,0,,,,,,,,,
1216497,2020/21,2020-10-24,Sheikh Zayed Stadium,1,3.6,Kolkata Knight Riders,Delhi Capitals,RA Tripathi,N Rana,K Rabada,1,0,,,,,,,,,
1216497,2020/21,2020-10-24,Sheikh Zayed Stadium,1,4.1,Kolkata Knight Riders,Delhi Capitals,RA Tripathi,N Rana,AR Patel,2,0,,,,,,,,,
1216497,2020/21,2020-10-24,Sheikh Zayed Stadium,1,4.2,Kolkata Knight Riders,Delhi Capitals,RA Tripathi,N Rana,AR Patel,0,0,,,,,,,,,
1216497,2020/21,2020-10-24,Sheikh Zayed Stadium,1,4.3,Kolkata Knight Riders,Delhi Capitals,RA Tripathi,N Rana,AR Patel,0,0,,,,,,,,,
1216497,2020/21,2020-10-24,Sheikh Zayed Stadium,1,4.4,Kolkata Knight Riders,Delhi Capitals,RA Tripathi,N Rana,AR Patel,1,0,,,,,,,,,
1216497,2020/21,2020-10-24,Sheikh Zayed Stadium,1,4.5,Kolkata Knight Riders,Delhi Capitals,N Rana,RA Tripathi,AR Patel,4,0,,,,,,,,,
1216497,2020/21,2020-10-24,Sheikh Zayed Stadium,1,4.6,Kolkata Knight Riders,Delhi Capitals,N Rana,RA Tripathi,AR Patel,0,0,,,,,,,,,
