match_id,season,start_date,venue,innings,ball,batting_team,bowling_team,striker,non_striker,bowler,runs_off_bat,extras,wides,noballs,byes,legbyes,penalty,wicket_type,player_dismissed,other_wicket_type,other_player_dismissed
1250208,2021,2021-08-06,"County Ground, New Road, Worcester",1,0.1,Worcestershire,Sussex,JA Haynes,BL D'Oliveira,JP Sarro,0,0,,,,,,,,,
1250208,2021,2021-08-06,"County Ground, New Road, Worcester",1,0.2,Worcestershire,Sussex,JA Haynes,BL D'Oliveira,JP Sarro,0,0,,,,,,,,,
1250208,2021,2021-08-06,"County Ground, New Road, Worcester",1,0.3,Worcestershire,Sussex,JA Haynes,BL D'Oliveira,JP Sarro,0,0,,,,,,,,,
1250208,2021,2021-08-06,"County Ground, New Road, Worcester",1,0.4,Worcestershire,Sussex,JA Haynes,BL D'Oliveira,JP Sarro,4,0,,,,,,,,,
1250208,2021,2021-08-06,"County Ground, New Road, Worcester",1,0.5,Worcestershire,Sussex,JA Haynes,BL D'Oliveira,JP Sarro,0,2,2,,,,,,,,
1250208,2021,2021-08-06,"County Ground, New Road, Worcester",1,0.6,Worcestershire,Sussex,BL D'Oliveira,JA Haynes,JP Sarro,0,0,,,,,,,,,
1250208,2021,2021-08-06,"County Ground, New Road, Worcester",1,0.7,Worcestershire,Sussex,BL D'Oliveira,JA Haynes,JP Sarro,1,0,,,,,,,,,
1250208,2021,2021-08-06,"County Ground, New Road, Worcester",1,1.1,Worcestershire,Sussex,BL D'Oliveira,JA Haynes,HT Crocombe,1,0,,,,,,,,,
1250208,2021,2021-08-06,"County Ground, New Road, Worcester",1,1.2,Worcestershire,Sussex,JA Haynes,BL D'Oliveira,HT Crocombe,0,2,,2,,,,,,,
1250208,2021,2021-08-06,"County Ground, New Road, Worcester",1,1.3,Worcestershire,Sussex,JA Haynes,BL D'Oliveira,HT Crocombe,0,0,,,,,,,,,
1250208,2021,2021-08-06,"County Ground, New Road, Worcester",1,1.4,Worcestershire,Sussex,JA Haynes,BL D'Oliveira,HT Crocombe,4,0,,,,,,,,,
1250208,2021,2021-08-06,"County Ground, New Road, Worcester",1,1.5,Worcestershire,Sussex,JA Haynes,BL D'Oliveira,HT Crocombe,1,0,,,,,,,,,
1250208,2021,2021-08-06,"County Ground, New Road, Worcester",1,1.6,Worcestershire,Sussex,BL D'Oliveira,JA Haynes,HT Crocombe,1,0,,,,,,,,,
1250208,2021,2021-08-06,"County Ground, New Road, Worcester",1,1.7,Worcestershire,Sussex,JA Haynes,BL D'Oliveira,HT Crocombe,1,0,,,,,,,,,
1250208,2021,2021-08-06,"County Ground, New Road, Worcester",1,2.1,Worcestershire,Sussex,JA Haynes,BL D'Oliveira,JP Sarro,0,1,1,,,,,,,,
1250208,2021,2021-08-06,"County Ground, New Road, Worcester",1,2.2,Worcestershire,Sussex,JA Haynes,BL D'Oliveira,JP Sarro,0,0,,,,,,,,,
1250208,2021,2021-08-06,"County Ground, New Road, Worcester",1,2.3,Worcestershire,Sussex,JA Haynes,BL D'Oliveira,JP Sarro,0,0,,,,,,,,,
1250208,2021,2021-08-06,"County Ground, New Road, Worcester",1,2.4,Worcestershire,Sussex,JA Haynes,BL D'Oliveira,JP Sarro,0,0,,,,,,,,,
1250208,2021,2021-08-06,"County Ground, New Road, Worcester",1,2.5,Worcestershire,Sussex,JA Haynes,BL D'Oliveira,JP Sarro,0,0,,,,,,,,,
1250208,2021,2021-08-06,"County Ground, New Road, Worcester",1,2.6,Worcestershire,Sussex,JA Haynes,BL D'Oliveira,JP Sarro,2,0,,,,,,,,,
1250208,2021,2021-08-06,"County Ground, New Road, Worcester",1,2.7,Worcestershire,Sussex,JA Haynes,BL D'Oliveira,JP Sarro,0,0,,,,,,,,,
1250208,2021,2021-08-06,"County Ground, New Road, Worcester",1,3.1,Worcestershire,Sussex,BL D'Oliveira,JA Haynes,HT Crocombe,1,0,,,,,,,,,
1250208,2021,2021-08-06,"County Ground, New Road, Worcester",1,3.2,Worcestershire,Sussex,JA Haynes,BL D'Oliveira,HT Crocombe,0,0,,,,,,,,,
1250208,2021,2021-08-06,"County Ground, New Road, Worcester",1,3.3,Worcestershire,Sussex,JA Haynes,BL D'Oliveira,HT Crocombe,1,0,,,,,,,,,
1250208,2021,2021-08-06,"County Ground, New Road, Worcester",1,3.4,Worcestershire,Sussex,BL D'Oliveira,JA Haynes,HT Crocombe,0,0,,,,,,,,,
1250208,2021,2021-08-06,"County Ground, New Road, Worcester",1,3.5,Worcestershire,Sussex,BL D'Oliveira,JA Haynes,HT Crocombe,1,0,,,,,,,,,
1250208,2021,2021-08-06,"County Ground, New Road, Worcester",1,3.6,Worcestershire,Sussex,JA Haynes,BL D'Oliveira,HT Crocombe,1,0,,,,,,,,,
1250208,2021,2021-08-06,"County Ground, New Road, Worcester",1,4.1,Worcestershire,Sussex,JA Haynes,BL D'Oliveira,JP Sarro,0,0,,,,,,,,,
1250208,2021,2021-08-06,"County Ground, New Road, Worcester",1,4.2,Worcestershire,Sussex,JA Haynes,BL D'Oliveira,JP Sarro,0,0,,,,,,,,,
1250208,2021,2021-08-06,"County Ground, New Road, Worcester",1,4.3,Worcestershire,Sussex,JA Haynes,BL D'Oliveira,JP Sarro,0,0,,,,,,,,,
1250208,2021,2021-08-06,"County Ground, New Road, Worcester",1,4.4,Worcestershire,Sussex,JA Haynes,BL D'Oliveira,JP Sarro,0,0,,,,,,,,,
1250208,2021,2021-08-06,"County Ground, New Road, Worcester",1,4.5,Worcestershire,Sussex,JA Haynes,BL D'Oliveira,JP Sarro,1,0,,,,,,,,,
1250208,2021,2021-08-06,"County Ground, New Road, Worcester",1,4.6,Worcestershire,Sussex,BL D'Oliveira,JA Haynes,JP Sarro,0,1,1,,,,,,,,
1250208,2021,2021-08-06,"County Ground, New Road, Worcester",1,4.7,Worcestershire,Sussex,BL D'Oliveira,JA Haynes,JP Sarro,0,0,,,,,,,,,
1250208,2021,2021-08-06,"County Ground, New Road, Worcester",1,5.1,Worcestershire,Sussex,JA Haynes,BL D'Oliveira,HT Crocombe,1,0,,,,,,,,,
1250208,2021,2021-08-06,"County Ground, New Road, Worcester",1,5.2,Worcestershire,Sussex,BL D'Oliveira,JA Haynes,HT Crocombe,4,0,,,,,,,,,
1250208,2021,2021-08-06,"County Ground, New Road, Worcester",1,5.3,Worcestershire,Sussex,BL D'Oliveira,JA Haynes,HT Crocombe,0,0,,,,,,,,,
1250208,2021,2021-08-06,"County Ground, New Road, Worcester",1,5.4,Worcestershire,Sussex,BL D'Oliveira,JA Haynes,HT Crocombe,0,0,,,,,,,,,
1250208,2021,2021-08-06,"County Ground, New Road, Worcester",1,5.5,Worcestershire,Sussex,BL D'Oliveira,JA Haynes,HT Crocombe,2,0,,,,,,,,,
1250208,2021,2021-08-06,"County Ground, New Road, Worcester",1,5.6,Worcestershire,Sussex,BL D'Oliveira,JA Haynes,HT Crocombe,0,0,,,,,,run out,BL D'Oliveira,,
1250208,2021,2021-08-06,"County Ground, New Road, Worcester",1,6.1,Worcestershire,Sussex,TC Fell,JA Haynes,JP Sarro,4,0,,,,,,,,,
1250208,2021,2021-08-06,"County Ground, New Road, Worcester",1,6.2,Worcestershire,Sussex,TC Fell,JA Haynes,JP Sarro,2,0,,,,,,,,,
1250208,2021,2021-08-06,"County Ground, New Road, Worcester",1,6.3,Worcestershire,Sussex,TC Fell,JA Haynes,JP Sarro,0,0,,,,,,,,,
1250208,2021,2021-08-06,"County Ground, New Road, Worcester",1,6.4,Worcestershire,Sussex,TC Fell,JA Haynes,JP Sarro,0,0,,,,,,,,,
1250208,2021,2021-08-06,"County Ground, New Road, Worcester",1,6.5,Worcestershire,Sussex,TC Fell,JA Haynes,JP Sarro,0,0,,,,,,,,,
