,name,team,runs_scored,balls_played,fours,sixes,strike_rate,overs_deliverd,runs_given,wickets,no_balls,wides,economy
WTS Porterfield,WTS Porterfield,Ireland,1,9,0,0,11.11111111111111,0,0.0,0,0,0,0
PR Stirling,PR Stirling,Ireland,89,150,6,3,59.333333333333336,2,8.0,0,0,1,4.0
A Balbirnie,A Balbirnie,Ireland,2,20,0,0,10.0,0,0.0,0,0,0,0
JA McCollum,JA McCollum,Ireland,0,1,0,0,0.0,0,0.0,0,0,0,0
KJ O'Brien,KJ O'Brien,Ireland,10,14,1,0,71.42857142857143,0,0.0,0,0,0,0
Simi Singh,Simi Singh,Ireland,8,32,0,0,25.0,10,19.0,1,0,0,1.9
SW Poynter,SW Poynter,Ireland,7,16,0,0,43.75,0,0.0,0,0,0,0
GH Dockrell,GH Dockrell,Ireland,37,47,3,1,78.72340425531915,5,31.0,1,0,0,6.2
BJ McCarthy,BJ McCarthy,Ireland,0,4,0,0,0.0,8,33.0,1,0,0,4.125
TJ Murtagh,TJ Murtagh,Ireland,0,2,0,0,0.0,8,26.0,0,0,0,3.25
WB Rankin,WB Rankin,Ireland,4,3,1,0,133.33333333333331,9,48.0,2,0,0,5.333333333333333
Mohammad Shahzad,Mohammad Shahzad,Afghanistan,43,53,6,0,81.13207547169812,0,0.0,0,0,0,0
Hazratullah,Hazratullah,Afghanistan,25,42,3,1,59.523809523809526,0,0.0,0,0,0,0
Rahmat Shah,Rahmat Shah,Afghanistan,22,46,3,0,47.82608695652174,2,10.0,0,0,0,5.0
Hashmatullah Shahidi,Hashmatullah Shahidi,Afghanistan,9,29,1,0,31.03448275862069,0,0.0,0,0,0,0
Gulbadin Naib,Gulbadin Naib,Afghanistan,46,61,6,1,75.40983606557377,8,20.0,2,0,1,2.5
Asghar Stanikzai,Asghar Stanikzai,Afghanistan,7,17,0,0,41.17647058823529,0,0.0,0,0,0,0
Najibullah Zadran,Najibullah Zadran,Afghanistan,12,3,0,2,400.0,0,0.0,0,0,0,0
Mohammad Nabi,Mohammad Nabi,Afghanistan,0,0,0,0,0,10,52.0,1,1,0,5.2
Rashid Khan,Rashid Khan,Afghanistan,0,0,0,0,0,10,30.0,1,0,0,3.0
Mujeeb Ur Rahman,Mujeeb Ur Rahman,Afghanistan,0,0,0,0,0,10,14.0,3,0,0,1.4
Dawlat Zadran,Dawlat Zadran,Afghanistan,0,0,0,0,0,10,35.0,3,1,0,3.5
