,name,team,runs_scored,balls_played,fours,sixes,strike_rate,overs_deliverd,runs_given,wickets,no_balls,wides,economy
GA Elwiss,GA Elwiss,Loughborough Lightning,4,5,1,0,80.0,3,26.0,1,0,0,8.666666666666666
D van Niekerk,D van Niekerk,Loughborough Lightning,18,15,4,0,120.0,4,28.0,1,0,0,7.0
SFM Devine,SFM Devine,Loughborough Lightning,1,9,0,0,11.11111111111111,3,26.0,0,0,1,8.666666666666666
EA Perry,EA Perry,Loughborough Lightning,44,37,6,0,118.91891891891892,3,24.0,0,0,0,8.0
AE Jones,AE Jones,Loughborough Lightning,46,30,7,0,153.33333333333334,0,0.0,0,0,0,0
PJ Scholfield,PJ Scholfield,Loughborough Lightning,5,2,1,0,250.0,0,0.0,0,0,0,0
SB Odedra,SB Odedra,Loughborough Lightning,5,9,0,0,55.55555555555556,4,20.0,2,0,1,5.0
E Jones,E Jones,Loughborough Lightning,25,14,4,1,178.57142857142858,0,0.0,0,0,0,0
TF Brookes,TF Brookes,Loughborough Lightning,0,0,0,0,0,0,0.0,0,0,0,0
RL Grundy,RL Grundy,Loughborough Lightning,0,0,0,0,0,2,18.0,1,0,0,9.0
BA Langston,BA Langston,Loughborough Lightning,0,0,0,0,0,1,7.0,0,0,0,7.0
SR Taylor,SR Taylor,Western Storm,9,12,1,0,75.0,4,35.0,2,0,1,8.75
RH Priest,RH Priest,Western Storm,13,18,2,0,72.22222222222221,0,0.0,0,0,0,0
HC Knight,HC Knight,Western Storm,74,46,9,1,160.8695652173913,4,17.0,1,0,1,4.25
FC Wilson,FC Wilson,Western Storm,21,24,1,0,87.5,0,0.0,0,0,0,0
L Lee,L Lee,Western Storm,0,2,0,0,0.0,0,0.0,0,0,0,0
GM Hennessy,GM Hennessy,Western Storm,20,16,3,0,125.0,3,27.0,0,0,0,9.0
SN Luff,SN Luff,Western Storm,6,3,1,0,200.0,0,0.0,0,0,0,0
A Shrubsole,A Shrubsole,Western Storm,0,0,0,0,0,4,26.0,4,0,0,6.5
JM Dibble,JM Dibble,Western Storm,0,0,0,0,0,2,17.0,0,0,1,8.5
C O'Keefe,C O'Keefe,Western Storm,0,0,0,0,0,0,0.0,0,0,0,0
FR Davies,FR Davies,Western Storm,0,0,0,0,0,3,34.0,1,0,1,11.333333333333334
