version,2.1.0
info,balls_per_over,6
info,team,Spain
info,team,Germany
info,gender,male
info,season,2019/20
info,date,2020/03/08
info,event,Germany tour of Spain
info,match_number,2
info,venue,Desert Springs Cricket Ground
info,city,Almeria
info,toss_winner,Spain
info,toss_decision,field
info,winner,Germany
info,winner_runs,58
info,player,Germany,VB Chikkannaiah
info,player,Germany,Abdul-Shakoor Rahimzei
info,player,Germany,MJ Richardson
info,player,Germany,H Singh
info,player,Germany,D Klein
info,player,Germany,Ahmed Wardak
info,player,Germany,Asad Mohammad
info,player,Germany,Izatullah Dawlatzai
info,player,Germany,V Ganesan
info,player,Germany,Muslim Yar
info,player,Germany,SVE Bharathi
info,player,Spain,Kuldeep Lal
info,player,Spain,Awais Ahmed
info,player,Spain,Yasir Ali
info,player,Spain,Vinod Kumar
info,player,Spain,R Panchal
info,player,Spain,J Perman
info,player,Spain,Tauqeer Hussain
info,player,Spain,C Munoz-Mills
info,player,Spain,PD Hennessy
info,player,Spain,TC Vine
info,player,Spain,Raja Adeel
info,registry,people,Abdul-Shakoor Rahimzei,e45810ed
info,registry,people,Ahmed Wardak,3daaabaa
info,registry,people,Asad Mohammad,89b7e368
info,registry,people,Awais Ahmed,f9f857dc
info,registry,people,C Munoz-Mills,17bc032c
info,registry,people,D Klein,aeab0d4f
info,registry,people,H Singh,8209da53
info,registry,people,Izatullah Dawlatzai,f96933f0
info,registry,people,J Perman,125bba96
info,registry,people,Kuldeep Lal,8a1d0222
info,registry,people,MJ Richardson,22176fe7
info,registry,people,Muslim Yar,37d8d19a
info,registry,people,PD Hennessy,a3b9191a
info,registry,people,R Panchal,91cd337c
info,registry,people,Raja Adeel,7ee25c46
info,registry,people,SVE Bharathi,6a63c29c
info,registry,people,TC Vine,ab8ef1e9
info,registry,people,Tauqeer Hussain,84d0b84c
info,registry,people,V Ganesan,baa7dd37
info,registry,people,VB Chikkannaiah,8e81b773
info,registry,people,Vinod Kumar,8f77af6b
info,registry,people,Yasir Ali,79209272
