version,2.1.0
info,balls_per_over,6
info,team,Spain
info,team,Portugal
info,gender,male
info,season,2019/20
info,date,2019/10/25
info,event,Iberia Cup
info,match_number,1
info,venue,La Manga Club Bottom Ground
info,city,Murcia
info,toss_winner,Spain
info,toss_decision,field
info,winner,Spain
info,winner_wickets,8
info,player,Portugal,Tariq Aziz
info,player,Portugal,Arslan Ahmed
info,player,Portugal,Zohaib Sarwar
info,player,Portugal,Aamer Ikram
info,player,Portugal,Mian Mehmood
info,player,Portugal,P Buccimazza
info,player,Portugal,Najjam Shahzad
info,player,Portugal,F Stoman
info,player,Portugal,Imran Khan (4)
info,player,Portugal,Fakhrul Mohon
info,player,Portugal,Ali Naqi
info,player,Spain,Farzan Afzal
info,player,Spain,PD Hennessy
info,player,Spain,Yasir Ali
info,player,Spain,R Panchal
info,player,Spain,Kuldeep Lal
info,player,Spain,Atif Mehmood
info,player,Spain,C Munoz-Mills
info,player,Spain,Awais Ahmed
info,player,Spain,Raja Adeel
info,player,Spain,Mukhtiar Singh
info,player,Spain,TC Vine
info,registry,people,Aamer Ikram,161641cd
info,registry,people,Ali Naqi,7db29f25
info,registry,people,Arslan Ahmed,f70c0c66
info,registry,people,Atif Mehmood,7fcc57bf
info,registry,people,Awais Ahmed,f9f857dc
info,registry,people,C Munoz-Mills,17bc032c
info,registry,people,F Stoman,69e53eb3
info,registry,people,Fakhrul Mohon,33328ec7
info,registry,people,Farzan Afzal,6ebf4d4e
info,registry,people,Imran Khan (4),a0a32dd1
info,registry,people,Kuldeep Lal,8a1d0222
info,registry,people,Mian Mehmood,4a4991c1
info,registry,people,Mukhtiar Singh,d03efd83
info,registry,people,Najjam Shahzad,58aa33cd
info,registry,people,P Buccimazza,ddc7e056
info,registry,people,PD Hennessy,a3b9191a
info,registry,people,R Panchal,91cd337c
info,registry,people,Raja Adeel,7ee25c46
info,registry,people,TC Vine,ab8ef1e9
info,registry,people,Tariq Aziz,a049c39b
info,registry,people,Yasir Ali,79209272
info,registry,people,Zohaib Sarwar,bd3cecc6
