,name,team,runs_scored,balls_played,fours,sixes,strike_rate,overs_deliverd,runs_given,wickets,no_balls,wides,economy
RS Bopara,RS Bopara,Kings XI Punjab,0,2,0,0,0.0,2,18.0,0,0,0,9.0
Yuvraj Singh,Yuvraj Singh,Kings XI Punjab,24,16,3,1,150.0,0,0.0,0,0,0,0
MS Bisla,MS Bisla,Kings XI Punjab,22,24,3,0,91.66666666666666,0,0.0,0,0,0,0
KC Sangakkara,KC Sangakkara,Kings XI Punjab,30,27,3,0,111.11111111111111,0,0.0,0,0,0,0
DPMD Jayawardene,DPMD Jayawardene,Kings XI Punjab,16,15,1,0,106.66666666666667,0,0.0,0,0,0,0
IK Pathan,IK Pathan,Kings XI Punjab,22,14,1,1,157.14285714285714,4,42.0,2,0,2,10.5
K Goel,K Goel,Kings XI Punjab,17,17,1,1,100.0,0,0.0,0,0,0,0
B Lee,B Lee,Kings XI Punjab,7,5,1,0,140.0,4,39.0,0,1,0,9.75
PP Chawla,PP Chawla,Kings XI Punjab,0,0,0,0,0,4,35.0,1,0,1,8.75
SJ Srivastava,SJ Srivastava,Kings XI Punjab,0,0,0,0,0,3,23.0,2,0,4,7.666666666666667
VS Malik,VS Malik,Kings XI Punjab,0,0,0,0,0,3,18.0,0,1,1,6.0
CH Gayle,CH Gayle,Kolkata Knight Riders,14,12,3,0,116.66666666666667,3,23.0,1,0,2,7.666666666666667
SC Ganguly,SC Ganguly,Kolkata Knight Riders,50,40,6,1,125.0,0,0.0,0,0,0,0
Mandeep Singh,Mandeep Singh,Kolkata Knight Riders,4,7,1,0,57.14285714285714,0,0.0,0,0,0,0
MK Tiwary,MK Tiwary,Kolkata Knight Riders,75,47,8,2,159.5744680851064,0,0.0,0,0,0,0
DJ Hussey,DJ Hussey,Kolkata Knight Riders,3,5,0,0,60.0,1,7.0,0,0,0,7.0
AD Mathews,AD Mathews,Kolkata Knight Riders,19,11,2,0,172.72727272727272,4,26.0,1,0,0,6.5
WP Saha,WP Saha,Kolkata Knight Riders,0,0,0,0,0,0,0.0,0,0,0,0
SE Bond,SE Bond,Kolkata Knight Riders,0,0,0,0,0,4,24.0,2,0,1,6.0
AB Agarkar,AB Agarkar,Kolkata Knight Riders,0,0,0,0,0,4,32.0,2,0,0,8.0
AB Dinda,AB Dinda,Kolkata Knight Riders,0,0,0,0,0,2,19.0,0,0,2,9.5
Iqbal Abdulla,Iqbal Abdulla,Kolkata Knight Riders,0,0,0,0,0,2,12.0,0,0,0,6.0
