,name,team,runs_scored,balls_played,fours,sixes,strike_rate,overs_deliverd,runs_given,wickets,no_balls,wides,economy
SACA King,SACA King,Trinidad and Tobago,25,17,3,0,147.05882352941177,1,9.0,0,0,0,9.0
LAGL Kirby,LAGL Kirby,Trinidad and Tobago,5,6,0,0,83.33333333333334,0,0.0,0,0,0,0
B Cooper,B Cooper,Trinidad and Tobago,20,18,1,1,111.11111111111111,0,0.0,0,0,0,0
R Vincent,R Vincent,Trinidad and Tobago,1,2,0,0,50.0,0,0.0,0,0,0,0
R Boyce,R Boyce,Trinidad and Tobago,6,4,1,0,150.0,0,0.0,0,0,0,0
MR Aguilleira,MR Aguilleira,Trinidad and Tobago,0,0,0,0,0,0,0.0,0,0,0,0
C Isaac,C Isaac,Trinidad and Tobago,0,0,0,0,0,2,12.0,0,0,0,6.0
A Mohammed,A Mohammed,Trinidad and Tobago,0,0,0,0,0,2,9.0,1,0,0,4.5
L Ramdeen,L Ramdeen,Trinidad and Tobago,0,0,0,0,0,1,5.0,0,0,0,5.0
K Ramharack,K Ramharack,Trinidad and Tobago,0,0,0,0,0,1,9.0,0,0,0,9.0
F Walters,F Walters,Trinidad and Tobago,0,0,0,0,0,3,15.0,2,0,0,5.0
CP Jack,CP Jack,Windward Islands,12,14,2,0,85.71428571428571,2,14.0,1,0,0,7.0
SN Adams,SN Adams,Windward Islands,14,14,1,0,100.0,0,0.0,0,0,0,0
JB Nero,JB Nero,Windward Islands,19,20,2,0,95.0,0,0.0,0,0,0,0
ASS Fletcher,ASS Fletcher,Windward Islands,13,9,2,0,144.44444444444443,2,10.0,1,0,0,5.0
AK Peters,AK Peters,Windward Islands,1,1,0,0,100.0,2,18.0,0,0,1,9.0
NK Crafton,NK Crafton,Windward Islands,0,0,0,0,0,0,0.0,0,0,0,0
PS Etienne,PS Etienne,Windward Islands,0,0,0,0,0,1,12.0,0,0,0,12.0
K Homer,K Homer,Windward Islands,0,0,0,0,0,0,0.0,0,0,0,0
Q Joseph,Q Joseph,Windward Islands,0,0,0,0,0,1,4.0,1,0,0,4.0
C Noel,C Noel,Windward Islands,0,0,0,0,0,0,0.0,0,0,0,0
EG Turtin,EG Turtin,Windward Islands,0,0,0,0,0,0,0.0,0,0,0,0
