,name,team,runs_scored,balls_played,fours,sixes,strike_rate,overs_deliverd,runs_given,wickets,no_balls,wides,economy
A Edwards,A Edwards,Leeward Islands,0,0,0,0,0,0,0.0,0,0,0,0
T Parker,T Parker,Leeward Islands,2,3,0,0,66.66666666666666,0,0.0,0,0,0,0
Jenison Richards,Jenison Richards,Leeward Islands,24,32,2,0,75.0,3,20.0,1,2,1,6.666666666666667
T Martin,T Martin,Leeward Islands,0,0,0,0,0,2,15.0,0,0,5,7.5
A Freeman,A Freeman,Leeward Islands,2,11,0,0,18.181818181818183,0,0.0,0,0,0,0
S Willett,S Willett,Leeward Islands,19,38,2,0,50.0,3,26.0,1,0,0,8.666666666666666
R Liburd,R Liburd,Leeward Islands,8,23,0,0,34.78260869565217,4,14.0,2,0,0,3.5
M Clarke,M Clarke,Leeward Islands,3,12,0,0,25.0,4,21.0,1,0,2,5.25
T McCoy,T McCoy,Leeward Islands,0,0,0,0,0,0,0.0,0,0,0,0
T Thorpe,T Thorpe,Leeward Islands,0,2,0,0,0.0,4,10.0,2,0,3,2.5
R Dolabaille,R Dolabaille,Leeward Islands,0,1,0,0,0.0,0,0.0,0,0,0,0
A Mohammed,A Mohammed,Trinidad and Tobago,14,8,2,0,175.0,2,7.0,0,0,0,3.5
LAGL Kirby,LAGL Kirby,Trinidad and Tobago,26,25,3,0,104.0,4,16.0,1,0,0,4.0
AM Pereira,AM Pereira,Trinidad and Tobago,0,0,0,0,0,0,0.0,0,0,0,0
B Cooper,B Cooper,Trinidad and Tobago,3,6,0,0,50.0,0,0.0,0,0,0,0
D Joseph,D Joseph,Trinidad and Tobago,23,46,2,0,50.0,2,16.0,0,1,1,8.0
K Ragoobar,K Ragoobar,Trinidad and Tobago,0,0,0,0,0,4,5.0,0,0,0,1.25
K Ramharack,K Ramharack,Trinidad and Tobago,2,5,0,0,40.0,4,4.0,3,0,0,1.0
R Vincent,R Vincent,Trinidad and Tobago,0,2,0,0,0.0,0,0.0,0,0,0,0
R Boyce,R Boyce,Trinidad and Tobago,5,9,1,0,55.55555555555556,0,0.0,0,0,0,0
S Lord,S Lord,Trinidad and Tobago,17,18,3,0,94.44444444444444,0,0.0,0,0,0,0
S Soogrim,S Soogrim,Trinidad and Tobago,3,3,0,0,100.0,4,17.0,2,0,1,4.25
