,name,team,runs_scored,balls_played,fours,sixes,strike_rate,overs_deliverd,runs_given,wickets,no_balls,wides,economy
RJ Burns,RJ Burns,England,21,61,2,0,34.42622950819672,0,0.0,0,0,0,0
KK Jennings,KK Jennings,England,14,36,1,0,38.88888888888889,0,0.0,0,0,0,0
JM Bairstow,JM Bairstow,England,125,217,10,1,57.6036866359447,0,0.0,0,0,0,0
JE Root,JE Root,England,53,88,4,0,60.22727272727273,2,4.0,0,0,0,2.0
BA Stokes,BA Stokes,England,99,151,9,2,65.56291390728477,18,55.0,5,1,3,3.0555555555555554
JC Buttler,JC Buttler,England,80,105,5,0,76.19047619047619,0,0.0,0,0,0,0
MM Ali,MM Ali,England,55,108,5,0,50.92592592592593,39,147.0,4,0,0,3.769230769230769
BT Foakes,BT Foakes,England,49,108,3,0,45.370370370370374,0,0.0,0,0,0,0
AU Rashid,AU Rashid,England,45,79,3,0,56.9620253164557,33,122.0,6,1,0,3.696969696969697
SCJ Broad,SCJ Broad,England,1,7,0,0,14.285714285714285,14,50.0,0,0,3,3.5714285714285716
MJ Leach,MJ Leach,England,2,20,0,0,10.0,47,131.0,5,0,0,2.7872340425531914
MD Gunathilaka,MD Gunathilaka,Sri Lanka,24,61,3,0,39.34426229508197,2,5.0,0,0,0,2.5
FDM Karunaratne,FDM Karunaratne,Sri Lanka,106,161,12,0,65.83850931677019,0,0.0,0,0,0,0
DM de Silva,DM de Silva,Sri Lanka,73,136,8,0,53.67647058823529,14,40.0,0,0,0,2.857142857142857
BKG Mendis,BKG Mendis,Sri Lanka,113,165,12,1,68.48484848484848,0,0.0,0,0,0,0
AD Mathews,AD Mathews,Sri Lanka,10,16,1,0,62.5,0,0.0,0,0,0,0
PADLR Sandakan,PADLR Sandakan,Sri Lanka,9,45,1,0,20.0,38,171.0,7,2,0,4.5
ARS Silva,ARS Silva,Sri Lanka,68,170,4,0,40.0,0,0.0,0,0,0,0
N Dickwella,N Dickwella,Sri Lanka,24,35,2,0,68.57142857142857,0,0.0,0,0,0,0
MDK Perera,MDK Perera,Sri Lanka,5,27,1,0,18.51851851851852,62,201.0,8,0,0,3.2419354838709675
RAS Lakmal,RAS Lakmal,Sri Lanka,14,47,1,0,29.78723404255319,14,40.0,0,2,1,2.857142857142857
PM Pushpakumara,PM Pushpakumara,Sri Lanka,55,54,9,1,101.85185185185186,32,92.0,5,0,0,2.875
