,name,team,runs_scored,balls_played,fours,sixes,strike_rate,overs_deliverd,runs_given,wickets,no_balls,wides,economy
SS Grimmond,SS Grimmond,Guyana,4,3,1,0,133.33333333333331,4,16.0,1,0,0,4.0
TD Smartt,TD Smartt,Guyana,40,43,5,0,93.02325581395348,0,0.0,0,0,0,0
SA Campbelle,SA Campbelle,Guyana,28,33,2,0,84.84848484848484,0,0.0,0,0,0,0
S Gajnabi,S Gajnabi,Guyana,4,6,0,0,66.66666666666666,0,0.0,0,0,0,0
EM Giddings,EM Giddings,Guyana,0,2,0,0,0.0,4,16.0,3,0,2,4.0
AP Thompson,AP Thompson,Guyana,1,3,0,0,33.33333333333333,4,7.0,2,0,0,1.75
CS Fraser,CS Fraser,Guyana,18,20,2,0,90.0,0,0.0,0,0,0,0
MC Henry,MC Henry,Guyana,4,9,0,0,44.44444444444444,0,0.0,0,0,0,0
PO Millington,PO Millington,Guyana,1,2,0,0,50.0,4,15.0,0,0,0,3.75
K Schultz,K Schultz,Guyana,0,0,0,0,0,0,0.0,0,0,0,0
M Mangru,M Mangru,Guyana,0,0,0,0,0,4,26.0,2,0,0,6.5
SN Adams,SN Adams,Windward Islands,17,27,2,0,62.96296296296296,2,12.0,0,0,0,6.0
NK Crafton,NK Crafton,Windward Islands,22,22,4,0,100.0,4,22.0,1,0,0,5.5
ASS Fletcher,ASS Fletcher,Windward Islands,6,5,1,0,120.0,4,20.0,1,1,0,5.0
JB Nero,JB Nero,Windward Islands,0,1,0,0,0.0,0,0.0,0,0,0,0
EG Turtin,EG Turtin,Windward Islands,4,9,0,0,44.44444444444444,0,0.0,0,0,0,0
ST Williams,ST Williams,Windward Islands,10,25,0,0,40.0,4,21.0,3,0,0,5.25
Q Joseph,Q Joseph,Windward Islands,0,3,0,0,0.0,4,19.0,2,0,0,4.75
C Noel,C Noel,Windward Islands,15,18,1,0,83.33333333333334,0,0.0,0,0,0,0
AK Peters,AK Peters,Windward Islands,1,4,0,0,25.0,2,9.0,1,0,2,4.5
K Homer,K Homer,Windward Islands,3,6,0,0,50.0,0,0.0,0,0,0,0
Z James,Z James,Windward Islands,0,0,0,0,0,0,0.0,0,0,0,0
