,name,team,runs_scored,balls_played,fours,sixes,strike_rate,overs_deliverd,runs_given,wickets,no_balls,wides,economy
R Boyce,R Boyce,Trinidad and Tobago,35,57,4,0,61.40350877192983,0,0.0,0,0,0,0
D Joseph,D Joseph,Trinidad and Tobago,15,47,2,0,31.914893617021278,0,0.0,0,0,0,0
B Cooper,B Cooper,Trinidad and Tobago,0,0,0,0,0,0,0.0,0,0,0,0
S Lord,S Lord,Trinidad and Tobago,30,54,5,0,55.55555555555556,0,0.0,0,0,0,0
A Mohammed,A Mohammed,Trinidad and Tobago,20,55,2,0,36.36363636363637,10,26.0,2,0,2,2.6
LAGL Kirby,LAGL Kirby,Trinidad and Tobago,0,0,0,0,0,6,17.0,1,0,1,2.8333333333333335
K Ragoobar,K Ragoobar,Trinidad and Tobago,0,0,0,0,0,5,16.0,0,0,0,3.2
KN Alexander,KN Alexander,Trinidad and Tobago,0,0,0,0,0,10,20.0,3,0,3,2.0
K Ramharack,K Ramharack,Trinidad and Tobago,0,0,0,0,0,10,21.0,1,0,0,2.1
L Ramdeen,L Ramdeen,Trinidad and Tobago,0,0,0,0,0,2,7.0,0,0,0,3.5
C Isaac,C Isaac,Trinidad and Tobago,0,0,0,0,0,7,21.0,1,0,3,3.0
M Clarke,M Clarke,Leeward Islands,1,23,0,0,4.3478260869565215,3,13.0,0,0,2,4.333333333333333
R Dolabaille,R Dolabaille,Leeward Islands,2,27,0,0,7.4074074074074066,0,0.0,0,0,0,0
T Thorpe,T Thorpe,Leeward Islands,2,11,0,0,18.181818181818183,8,25.0,0,0,5,3.125
S Hector,S Hector,Leeward Islands,46,60,7,0,76.66666666666667,7,21.0,1,0,7,3.0
S Willett,S Willett,Leeward Islands,1,5,0,0,20.0,1,13.0,0,0,4,13.0
A Freeman,A Freeman,Leeward Islands,3,64,0,0,4.6875,0,0.0,0,0,0,0
T Parker,T Parker,Leeward Islands,4,30,0,0,13.333333333333334,0,0.0,0,0,0,0
A Edwards,A Edwards,Leeward Islands,29,41,4,0,70.73170731707317,10,37.0,1,0,4,3.7
R Liburd,R Liburd,Leeward Islands,31,39,3,0,79.48717948717949,6,23.0,0,0,3,3.8333333333333335
T McCoy,T McCoy,Leeward Islands,0,0,0,0,0,0,0.0,0,0,0,0
T Martin,T Martin,Leeward Islands,0,0,0,0,0,0,0.0,0,0,0,0
