,name,team,runs_scored,balls_played,fours,sixes,strike_rate,overs_deliverd,runs_given,wickets,no_balls,wides,economy
F Baleri,F Baleri,Ghana,20,28,1,2,71.42857142857143,0,0.0,0,0,0,0
S Ateak,S Ateak,Ghana,6,7,0,0,85.71428571428571,0,0.0,0,0,0,0
PK Ananya,PK Ananya,Ghana,0,3,0,0,0.0,0,0.0,0,0,0,0
SK Awiah,SK Awiah,Ghana,2,3,0,0,66.66666666666666,0,0.0,0,0,0,0
MK Anafie,MK Anafie,Ghana,3,18,0,0,16.666666666666664,0,0.0,0,0,0,0
JH Mensah,JH Mensah,Ghana,0,8,0,0,0.0,0,0.0,0,0,0,0
IKO Aboagye,IKO Aboagye,Ghana,11,12,0,1,91.66666666666666,5,12.0,1,0,0,2.4
DNA Ankrah,DNA Ankrah,Ghana,2,5,0,0,40.0,6,8.0,3,0,3,1.3333333333333333
G Bakiweyem,G Bakiweyem,Ghana,0,0,0,0,0,8,17.0,4,0,1,2.125
V Ateak,V Ateak,Ghana,0,0,0,0,0,10,11.0,2,0,0,1.1
M Aboagye,M Aboagye,Ghana,0,0,0,0,0,0,0.0,0,0,0,0
AJ Ayannaike,AJ Ayannaike,Nigeria,6,32,0,0,18.75,0,0.0,0,0,0,0
O Olaleye,O Olaleye,Nigeria,3,25,0,0,12.0,0,0.0,0,0,0,0
U Friday,U Friday,Nigeria,0,9,0,0,0.0,0,0.0,0,0,0,0
Azeez Salako,Azeez Salako,Nigeria,8,21,0,0,38.095238095238095,0,0.0,0,0,0,0
OJ Bejide,OJ Bejide,Nigeria,0,3,0,0,0.0,0,0.0,0,0,0,0
CN Onwuzulike,CN Onwuzulike,Nigeria,7,8,1,0,87.5,0,0.0,0,0,0,0
JO Adedeji,JO Adedeji,Nigeria,6,31,0,0,19.35483870967742,0,0.0,0,0,0,0
OA Olympio,OA Olympio,Nigeria,6,19,1,0,31.57894736842105,0,0.0,0,0,0,0
IO Okpe,IO Okpe,Nigeria,4,10,0,0,40.0,5,20.0,1,1,1,4.0
A Mene-Ejegi,A Mene-Ejegi,Nigeria,3,7,0,0,42.857142857142854,7,21.0,4,0,0,3.0
AS Abioye,AS Abioye,Nigeria,1,6,0,0,16.666666666666664,2,7.0,1,0,2,3.5
