,name,team,runs_scored,balls_played,fours,sixes,strike_rate,overs_deliverd,runs_given,wickets,no_balls,wides,economy
AJ Healy,AJ Healy,Australia,97,75,14,2,129.33333333333331,0,0.0,0,0,0,0
NE Bolton,NE Bolton,Australia,0,1,0,0,0.0,2,18.0,0,0,0,9.0
MM Lanning,MM Lanning,Australia,14,25,2,0,56.00000000000001,0,0.0,0,0,0,0
EA Perry,EA Perry,Australia,32,65,0,1,49.23076923076923,7,31.0,0,1,1,4.428571428571429
RL Haynes,RL Haynes,Australia,30,37,4,0,81.08108108108108,0,0.0,0,0,0,0
BL Mooney,BL Mooney,Australia,38,36,6,0,105.55555555555556,0,0.0,0,0,0,0
A Gardner,A Gardner,Australia,62,37,6,3,167.56756756756758,10,44.0,3,0,1,4.4
S Molineux,S Molineux,Australia,26,25,1,1,104.0,10,16.0,1,0,2,1.6
NJ Carey,NJ Carey,Australia,5,2,1,0,250.0,5,23.0,1,0,0,4.6
G Wareham,G Wareham,Australia,0,0,0,0,0,7,48.0,0,0,3,6.857142857142857
TJ Vlaeminck,TJ Vlaeminck,Australia,0,0,0,0,0,9,49.0,2,0,8,5.444444444444445
Nahida Khan,Nahida Khan,Pakistan,37,58,7,0,63.793103448275865,0,0.0,0,0,0,0
Muneeba Ali,Muneeba Ali,Pakistan,15,24,3,0,62.5,0,0.0,0,0,0,0
Sidra Ameen,Sidra Ameen,Pakistan,41,74,5,0,55.4054054054054,0,0.0,0,0,0,0
Javeria Khan,Javeria Khan,Pakistan,6,13,1,0,46.15384615384615,0,0.0,0,0,0,0
Nida Dar,Nida Dar,Pakistan,30,37,4,0,81.08108108108108,7,38.0,0,0,3,5.428571428571429
Aliya Riaz,Aliya Riaz,Pakistan,51,69,7,2,73.91304347826086,7,48.0,1,2,3,6.857142857142857
Sana Mir,Sana Mir,Pakistan,26,24,4,0,108.33333333333333,10,53.0,3,0,1,5.3
Sidra Nawaz,Sidra Nawaz,Pakistan,1,3,0,0,33.33333333333333,0,0.0,0,0,0,0
Diana Baig,Diana Baig,Pakistan,1,1,0,0,100.0,8,68.0,1,0,0,8.5
Nashra Sandhu,Nashra Sandhu,Pakistan,0,0,0,0,0,8,45.0,0,0,0,5.625
Anam Amin,Anam Amin,Pakistan,0,0,0,0,0,10,63.0,2,0,1,6.3
