,name,team,runs_scored,balls_played,fours,sixes,strike_rate,overs_deliverd,runs_given,wickets,no_balls,wides,economy
L Ronchi,L Ronchi,Leicestershire,46,23,6,3,200.0,0,0.0,0,0,0,0
CS Delport,CS Delport,Leicestershire,37,30,3,0,123.33333333333334,3,14.0,1,0,0,4.666666666666667
MJ Cosgrove,MJ Cosgrove,Leicestershire,3,6,0,0,50.0,0,0.0,0,0,0,0
CN Ackermann,CN Ackermann,Leicestershire,2,7,0,0,28.57142857142857,4,21.0,3,0,0,5.25
EJH Eckersley,EJH Eckersley,Leicestershire,12,18,0,0,66.66666666666666,0,0.0,0,0,0,0
LJ Hill,LJ Hill,Leicestershire,1,2,0,0,50.0,0,0.0,0,0,0,0
TJ Wells,TJ Wells,Leicestershire,17,15,0,1,113.33333333333333,0,0.0,0,0,0,0
MW Pillans,MW Pillans,Leicestershire,15,14,1,0,107.14285714285714,4,23.0,1,0,2,5.75
CJ McKay,CJ McKay,Leicestershire,2,4,0,0,50.0,4,35.0,2,0,1,8.75
CF Parkinson,CF Parkinson,Leicestershire,0,1,0,0,0.0,4,32.0,1,0,1,8.0
GT Griffiths,GT Griffiths,Leicestershire,0,0,0,0,0,1,9.0,0,0,0,9.0
SR Hain,SR Hain,Warwickshire,15,19,2,0,78.94736842105263,0,0.0,0,0,0,0
IR Bell,IR Bell,Warwickshire,10,12,2,0,83.33333333333334,0,0.0,0,0,0,0
WTS Porterfield,WTS Porterfield,Warwickshire,30,23,3,0,130.43478260869566,0,0.0,0,0,0,0
TR Ambrose,TR Ambrose,Warwickshire,15,19,1,0,78.94736842105263,0,0.0,0,0,0,0
GD Elliott,GD Elliott,Warwickshire,18,18,0,1,100.0,3,10.0,2,0,0,3.3333333333333335
AD Thomason,AD Thomason,Warwickshire,4,8,0,0,50.0,0,0.0,0,0,0,0
C de Grandhomme,C de Grandhomme,Warwickshire,24,14,4,0,171.42857142857142,1,7.0,0,0,1,7.0
JS Patel,JS Patel,Warwickshire,10,8,1,0,125.0,4,35.0,1,0,0,8.75
WB Rankin,WB Rankin,Warwickshire,0,0,0,0,0,4,26.0,3,0,1,6.5
JE Poysden,JE Poysden,Warwickshire,0,0,0,0,0,4,28.0,1,0,0,7.0
OJ Hannon-Dalby,OJ Hannon-Dalby,Warwickshire,0,0,0,0,0,4,31.0,2,0,0,7.75
