match_id,season,start_date,venue,innings,ball,batting_team,bowling_team,striker,non_striker,bowler,runs_off_bat,extras,wides,noballs,byes,legbyes,penalty,wicket_type,player_dismissed,other_wicket_type,other_player_dismissed
1334415,2022,2022-09-28,"Sir Vivian Richards Stadium, North Sound, Antigua",1,0.1,West Indies,New Zealand,HK Matthews,NY McLean,FC Jonas,1,0,,,,,,,,,
1334415,2022,2022-09-28,"Sir Vivian Richards Stadium, North Sound, Antigua",1,0.2,West Indies,New Zealand,NY McLean,HK Matthews,FC Jonas,0,0,,,,,,lbw,NY McLean,,
1334415,2022,2022-09-28,"Sir Vivian Richards Stadium, North Sound, Antigua",1,0.3,West Indies,New Zealand,AA Alleyne,HK Matthews,FC Jonas,0,0,,,,,,,,,
1334415,2022,2022-09-28,"Sir Vivian Richards Stadium, North Sound, Antigua",1,0.4,West Indies,New Zealand,AA Alleyne,HK Matthews,FC Jonas,0,0,,,,,,,,,
1334415,2022,2022-09-28,"Sir Vivian Richards Stadium, North Sound, Antigua",1,0.5,West Indies,New Zealand,AA Alleyne,HK Matthews,FC Jonas,0,0,,,,,,,,,
1334415,2022,2022-09-28,"Sir Vivian Richards Stadium, North Sound, Antigua",1,0.6,West Indies,New Zealand,AA Alleyne,HK Matthews,FC Jonas,0,0,,,,,,,,,
1334415,2022,2022-09-28,"Sir Vivian Richards Stadium, North Sound, Antigua",1,1.1,West Indies,New Zealand,HK Matthews,AA Alleyne,HNK Jensen,0,0,,,,,,,,,
1334415,2022,2022-09-28,"Sir Vivian Richards Stadium, North Sound, Antigua",1,1.2,West Indies,New Zealand,HK Matthews,AA Alleyne,HNK Jensen,0,0,,,,,,,,,
1334415,2022,2022-09-28,"Sir Vivian Richards Stadium, North Sound, Antigua",1,1.3,West Indies,New Zealand,HK Matthews,AA Alleyne,HNK Jensen,0,0,,,,,,,,,
1334415,2022,2022-09-28,"Sir Vivian Richards Stadium, North Sound, Antigua",1,1.4,West Indies,New Zealand,HK Matthews,AA Alleyne,HNK Jensen,1,0,,,,,,,,,
1334415,2022,2022-09-28,"Sir Vivian Richards Stadium, North Sound, Antigua",1,1.5,West Indies,New Zealand,AA Alleyne,HK Matthews,HNK Jensen,0,0,,,,,,,,,
1334415,2022,2022-09-28,"Sir Vivian Richards Stadium, North Sound, Antigua",1,1.6,West Indies,New Zealand,AA Alleyne,HK Matthews,HNK Jensen,3,0,,,,,,,,,
1334415,2022,2022-09-28,"Sir Vivian Richards Stadium, North Sound, Antigua",1,2.1,West Indies,New Zealand,AA Alleyne,HK Matthews,FC Jonas,0,0,,,,,,,,,
1334415,2022,2022-09-28,"Sir Vivian Richards Stadium, North Sound, Antigua",1,2.2,West Indies,New Zealand,AA Alleyne,HK Matthews,FC Jonas,1,0,,,,,,,,,
1334415,2022,2022-09-28,"Sir Vivian Richards Stadium, North Sound, Antigua",1,2.3,West Indies,New Zealand,HK Matthews,AA Alleyne,FC Jonas,1,0,,,,,,,,,
1334415,2022,2022-09-28,"Sir Vivian Richards Stadium, North Sound, Antigua",1,2.4,West Indies,New Zealand,AA Alleyne,HK Matthews,FC Jonas,0,0,,,,,,,,,
1334415,2022,2022-09-28,"Sir Vivian Richards Stadium, North Sound, Antigua",1,2.5,West Indies,New Zealand,AA Alleyne,HK Matthews,FC Jonas,1,0,,,,,,,,,
1334415,2022,2022-09-28,"Sir Vivian Richards Stadium, North Sound, Antigua",1,2.6,West Indies,New Zealand,HK Matthews,AA Alleyne,FC Jonas,1,0,,,,,,,,,
1334415,2022,2022-09-28,"Sir Vivian Richards Stadium, North Sound, Antigua",1,3.1,West Indies,New Zealand,HK Matthews,AA Alleyne,HNK Jensen,1,0,,,,,,,,,
