,name,team,runs_scored,balls_played,fours,sixes,strike_rate,overs_deliverd,runs_given,wickets,no_balls,wides,economy
GH Worker,GH Worker,Auckland,13,17,2,0,76.47058823529412,0,0.0,0,0,0,0
WT O'Donnell,WT O'Donnell,Auckland,6,8,0,0,75.0,0,0.0,0,0,0,0
MS Chapman,MS Chapman,Auckland,7,8,0,0,87.5,0,0.0,0,0,0,0
GD Phillips,GD Phillips,Auckland,39,31,2,2,125.80645161290323,0,0.0,0,0,0,0
RR O'Donnell,RR O'Donnell,Auckland,10,11,1,0,90.9090909090909,0,0.0,0,0,0,0
BJ Horne,BJ Horne,Auckland,27,29,2,1,93.10344827586206,0,0.0,0,0,0,0
SM Solia,SM Solia,Auckland,0,3,0,0,0.0,1,17.0,0,0,0,17.0
WER Somerville,WER Somerville,Auckland,0,2,0,0,0.0,4,20.0,1,0,0,5.0
LH Ferguson,LH Ferguson,Auckland,9,8,0,1,112.5,4,35.0,1,0,1,8.75
A Ashok,A Ashok,Auckland,1,2,0,0,50.0,3,18.0,0,0,1,6.0
BG Lister,BG Lister,Auckland,1,1,0,0,100.0,3,31.0,0,1,0,10.333333333333334
FH Allen,FH Allen,Wellington,16,12,3,0,133.33333333333331,0,0.0,0,0,0,0
DP Conway,DP Conway,Wellington,7,5,1,0,140.0,0,0.0,0,0,0,0
MG Bracewell,MG Bracewell,Wellington,54,44,5,1,122.72727272727273,0,0.0,0,0,0,0
TA Blundell,TA Blundell,Wellington,41,25,1,3,164.0,0,0.0,0,0,0,0
JDS Neesham,JDS Neesham,Wellington,0,0,0,0,0,2,19.0,1,0,0,9.5
R Ravindra,R Ravindra,Wellington,0,0,0,0,0,4,29.0,0,0,0,7.25
NG Smith,NG Smith,Wellington,0,0,0,0,0,1,4.0,1,0,0,4.0
LV van Beek,LV van Beek,Wellington,0,0,0,0,0,4,26.0,2,0,4,6.5
PF Younghusband,PF Younghusband,Wellington,0,0,0,0,0,1,10.0,0,0,0,10.0
BV Sears,BV Sears,Wellington,0,0,0,0,0,4,15.0,2,0,1,3.75
HK Bennett,HK Bennett,Wellington,0,0,0,0,0,4,15.0,3,0,0,3.75
