,name,team,runs_scored,balls_played,fours,sixes,strike_rate,overs_deliverd,runs_given,wickets,no_balls,wides,economy
G Gambhir,G Gambhir,India,67,67,11,0,100.0,0,0.0,0,0,0,0
V Sehwag,V Sehwag,India,219,150,25,7,146.0,0,0.0,0,0,0,0
SK Raina,SK Raina,India,55,44,6,0,125.0,7,17.0,2,0,0,2.4285714285714284
RA Jadeja,RA Jadeja,India,10,10,0,0,100.0,10,34.0,3,0,0,3.4
RG Sharma,RG Sharma,India,27,16,3,0,168.75,5,39.0,0,0,0,7.8
V Kohli,V Kohli,India,23,11,3,0,209.0909090909091,0,0.0,0,0,0,0
PA Patel,PA Patel,India,3,3,0,0,100.0,0,0.0,0,0,0,0
R Ashwin,R Ashwin,India,0,0,0,0,0,10,59.0,2,0,1,5.9
R Vinay Kumar,R Vinay Kumar,India,0,0,0,0,0,4,34.0,0,0,0,8.5
A Mithun,A Mithun,India,0,0,0,0,0,4,37.0,0,0,1,9.25
R Sharma,R Sharma,India,0,0,0,0,0,10,43.0,3,0,0,4.3
LMP Simmons,LMP Simmons,West Indies,36,35,6,1,102.85714285714285,0,0.0,0,0,0,0
KOA Powell,KOA Powell,West Indies,7,5,1,0,140.0,0,0.0,0,0,0,0
MN Samuels,MN Samuels,West Indies,33,26,4,2,126.92307692307692,8,59.0,0,0,0,7.375
DP Hyatt,DP Hyatt,West Indies,11,17,2,0,64.70588235294117,0,0.0,0,0,0,0
D Ramdin,D Ramdin,West Indies,96,96,12,0,100.0,0,0.0,0,0,0,0
KA Pollard,KA Pollard,West Indies,3,4,0,0,75.0,7,65.0,2,0,2,9.285714285714286
AD Russell,AD Russell,West Indies,29,24,1,3,120.83333333333333,7,63.0,1,0,1,9.0
DJG Sammy,DJG Sammy,West Indies,2,6,0,0,33.33333333333333,3,30.0,0,0,1,10.0
R Rampaul,R Rampaul,West Indies,10,31,1,0,32.25806451612903,9,66.0,0,0,3,7.333333333333333
KAJ Roach,KAJ Roach,West Indies,7,19,1,0,36.84210526315789,10,88.0,2,0,0,8.8
SP Narine,SP Narine,West Indies,27,33,3,1,81.81818181818183,6,46.0,0,0,2,7.666666666666667
