,name,team,runs_scored,balls_played,fours,sixes,strike_rate,overs_deliverd,runs_given,wickets,no_balls,wides,economy
HK Matthews,HK Matthews,Barbados,41,35,4,0,117.14285714285715,4,18.0,0,0,0,4.5
SC Selman,SC Selman,Barbados,0,0,0,0,0,0,0.0,0,0,0,0
A Williams,A Williams,Barbados,0,0,0,0,0,4,23.0,0,0,4,5.75
AA Alleyne,AA Alleyne,Barbados,0,0,0,0,0,4,6.0,3,0,1,1.5
CO Taitt,CO Taitt,Barbados,0,0,0,0,0,0,0.0,0,0,0,0
Kycia A Knight,Kycia A Knight,Barbados,32,38,2,1,84.21052631578947,0,0.0,0,0,0,0
Kyshona A Knight,Kyshona A Knight,Barbados,0,0,0,0,0,0,0.0,0,0,0,0
N Cumberbatch,N Cumberbatch,Barbados,0,0,0,0,0,0,0.0,0,0,0,0
S Carrington,S Carrington,Barbados,0,0,0,0,0,4,21.0,0,1,3,5.25
SJ Bruce,SJ Bruce,Barbados,0,0,0,0,0,4,13.0,3,1,4,3.25
Shai Carrington,Shai Carrington,Barbados,0,0,0,0,0,0,0.0,0,0,0,0
ASS Fletcher,ASS Fletcher,Windward Islands,30,47,1,0,63.829787234042556,4,28.0,0,0,2,7.0
AK Peters,AK Peters,Windward Islands,0,2,0,0,0.0,0,0.0,0,0,0,0
A Edward,A Edward,Windward Islands,0,0,0,0,0,0,0.0,0,0,0,0
C Noel,C Noel,Windward Islands,0,0,0,0,0,0,0.0,0,0,0,0
J Glasgow,J Glasgow,Windward Islands,3,4,0,0,75.0,2,19.0,0,0,2,9.5
JM Joseph,JM Joseph,Windward Islands,2,15,0,0,13.333333333333334,0,0.0,0,0,0,0
M Edward,M Edward,Windward Islands,0,0,0,0,0,0,0.0,0,0,0,0
PS Etienne,PS Etienne,Windward Islands,0,3,0,0,0.0,2,24.0,0,1,1,12.0
Q Joseph,Q Joseph,Windward Islands,1,12,0,0,8.333333333333332,4,18.0,0,0,1,4.5
T Byron,T Byron,Windward Islands,0,0,0,0,0,0,0.0,0,0,0,0
Z James,Z James,Windward Islands,23,41,2,0,56.09756097560976,0,0.0,0,0,0,0
