,name,team,runs_scored,balls_played,fours,sixes,strike_rate,overs_deliverd,runs_given,wickets,no_balls,wides,economy
HK Matthews,HK Matthews,Barbados,35,44,2,0,79.54545454545455,4,7.0,1,0,0,1.75
SC Selman,SC Selman,Barbados,5,4,1,0,125.0,4,26.0,3,0,0,6.5
AA Alleyne,AA Alleyne,Barbados,0,1,0,0,0.0,4,18.0,4,0,0,4.5
SJ Bruce,SJ Bruce,Barbados,0,1,0,0,0.0,4,15.0,2,1,5,3.75
S Carrington,S Carrington,Barbados,0,5,0,0,0.0,0,0.0,0,0,0,0
SS Connell,SS Connell,Barbados,2,4,0,0,50.0,4,12.0,0,0,1,3.0
N Cumberbatch,N Cumberbatch,Barbados,7,22,0,0,31.818181818181817,0,0.0,0,0,0,0
Kycia A Knight,Kycia A Knight,Barbados,5,6,1,0,83.33333333333334,0,0.0,0,0,0,0
Kyshona A Knight,Kyshona A Knight,Barbados,17,22,2,0,77.27272727272727,0,0.0,0,0,0,0
CO Taitt,CO Taitt,Barbados,0,2,0,0,0.0,0,0.0,0,0,0,0
A Williams,A Williams,Barbados,3,6,0,0,50.0,0,0.0,0,0,0,0
SA Campbelle,SA Campbelle,Guyana,33,38,5,0,86.8421052631579,0,0.0,0,0,0,0
S Gajnabi,S Gajnabi,Guyana,14,31,1,0,45.16129032258064,0,0.0,0,0,0,0
CS Fraser,CS Fraser,Guyana,0,3,0,0,0.0,4,11.0,3,0,1,2.75
KK Mentore,KK Mentore,Guyana,4,17,0,0,23.52941176470588,0,0.0,0,0,0,0
SS Grimmond,SS Grimmond,Guyana,0,4,0,0,0.0,3,8.0,1,0,1,2.6666666666666665
K Schultz,K Schultz,Guyana,1,2,0,0,50.0,2,7.0,2,0,1,3.5
TD Smartt,TD Smartt,Guyana,13,12,2,0,108.33333333333333,3,18.0,0,0,0,6.0
EM Giddings,EM Giddings,Guyana,5,5,0,0,100.0,1,9.0,0,1,1,9.0
M Mangru,M Mangru,Guyana,0,5,0,0,0.0,3,13.0,2,0,3,4.333333333333333
A Munisar,A Munisar,Guyana,1,2,0,0,50.0,4,17.0,2,0,1,4.25
LCA Toussaint,LCA Toussaint,Guyana,0,2,0,0,0.0,0,0.0,0,0,0,0
