,name,team,runs_scored,balls_played,fours,sixes,strike_rate,overs_deliverd,runs_given,wickets,no_balls,wides,economy
HG Munsey,HG Munsey,Scotland,1,2,0,0,50.0,0,0.0,0,0,0,0
KJ Coetzer,KJ Coetzer,Scotland,2,3,0,0,66.66666666666666,0,0.0,0,0,0,0
OJ Hairs,OJ Hairs,Scotland,5,3,1,0,166.66666666666669,2,19.0,1,0,1,9.5
RD Berrington,RD Berrington,Scotland,82,61,7,3,134.4262295081967,0,0.0,0,0,0,0
CS MacLeod,CS MacLeod,Scotland,6,12,1,0,50.0,0,0.0,0,0,0,0
MH Cross,MH Cross,Scotland,14,18,1,0,77.77777777777779,0,0.0,0,0,0,0
MA Leask,MA Leask,Scotland,11,13,0,0,84.61538461538461,4,25.0,0,0,0,6.25
SM Sharif,SM Sharif,Scotland,9,8,1,0,112.5,4,24.0,5,0,2,6.0
MRJ Watt,MRJ Watt,Scotland,0,0,0,0,0,2,17.0,1,0,0,8.5
AC Evans,AC Evans,Scotland,0,0,0,0,0,4,21.0,1,0,0,5.25
CB Sole,CB Sole,Scotland,0,0,0,0,0,4,24.0,1,0,3,6.0
W Madhevere,W Madhevere,Zimbabwe,0,1,0,0,0.0,1,7.0,0,0,0,7.0
T Marumani,T Marumani,Zimbabwe,3,9,0,0,33.33333333333333,0,0.0,0,0,0,0
RW Chakabva,RW Chakabva,Zimbabwe,17,17,2,0,100.0,0,0.0,0,0,0,0
CR Ervine,CR Ervine,Zimbabwe,26,27,2,1,96.29629629629629,0,0.0,0,0,0,0
SC Williams,SC Williams,Zimbabwe,28,28,2,1,100.0,2,14.0,0,0,0,7.0
M Shumba,M Shumba,Zimbabwe,45,31,5,1,145.16129032258064,0,0.0,0,0,0,0
RP Burl,RP Burl,Zimbabwe,1,2,0,0,50.0,3,19.0,0,0,0,6.333333333333333
LM Jongwe,LM Jongwe,Zimbabwe,2,3,0,0,66.66666666666666,4,28.0,2,0,1,7.0
WP Masakadza,WP Masakadza,Zimbabwe,1,2,0,0,50.0,2,21.0,1,0,1,10.5
TL Chatara,TL Chatara,Zimbabwe,0,1,0,0,0.0,4,23.0,2,0,0,5.75
R Ngarava,R Ngarava,Zimbabwe,0,0,0,0,0,4,20.0,1,0,0,5.0
