,name,team,runs_scored,balls_played,fours,sixes,strike_rate,overs_deliverd,runs_given,wickets,no_balls,wides,economy
AB de Villiers,AB de Villiers,South Africa,16,60,1,0,26.666666666666668,1,12.0,0,0,0,12.0
HH Gibbs,HH Gibbs,South Africa,69,131,8,1,52.67175572519084,0,0.0,0,0,0,0
HH Dippenaar,HH Dippenaar,South Africa,52,90,11,0,57.77777777777777,0,0.0,0,0,0,0
JH Kallis,JH Kallis,South Africa,64,174,10,0,36.7816091954023,28,87.0,2,0,0,3.107142857142857
AG Prince,AG Prince,South Africa,102,200,12,0,51.0,0,0.0,0,0,0,0
SM Pollock,SM Pollock,South Africa,52,64,8,0,81.25,40,137.0,2,1,0,3.425
JA Rudolph,JA Rudolph,South Africa,25,47,4,0,53.191489361702125,0,0.0,0,0,0,0
MV Boucher,MV Boucher,South Africa,87,145,11,0,60.0,0,0.0,0,0,0,0
N Boje,N Boje,South Africa,47,60,10,0,78.33333333333333,23,75.0,2,0,0,3.260869565217391
A Nel,A Nel,South Africa,18,49,3,0,36.734693877551024,16,46.0,1,0,1,2.875
M Ntini,M Ntini,South Africa,0,7,0,0,0.0,44,178.0,11,0,1,4.045454545454546
ML Hayden,ML Hayden,Australia,3,14,0,0,21.428571428571427,0,0.0,0,0,0,0
MEK Hussey,MEK Hussey,Australia,162,350,23,0,46.285714285714285,0,0.0,0,0,0,0
RT Ponting,RT Ponting,Australia,54,72,6,2,75.0,2,7.0,0,0,1,3.5
DR Martyn,DR Martyn,Australia,122,231,15,2,52.81385281385281,0,0.0,0,0,0,0
A Symonds,A Symonds,Australia,33,37,4,1,89.1891891891892,13,44.0,1,2,0,3.3846153846153846
AC Gilchrist,AC Gilchrist,Australia,12,25,3,0,48.0,0,0.0,0,0,0,0
SK Warne,SK Warne,Australia,39,41,7,0,95.1219512195122,39,139.0,4,1,0,3.5641025641025643
B Lee,B Lee,Australia,88,114,10,2,77.19298245614034,42,114.0,6,6,0,2.7142857142857144
SR Clark,SR Clark,Australia,10,13,2,0,76.92307692307693,46,145.0,7,0,0,3.152173913043478
MS Kasprowicz,MS Kasprowicz,Australia,9,30,1,0,30.0,27,98.0,2,5,0,3.6296296296296298
JL Langer,JL Langer,Australia,0,1,0,0,0.0,0,0.0,0,0,0,0
