,name,team,runs_scored,balls_played,fours,sixes,strike_rate,overs_deliverd,runs_given,wickets,no_balls,wides,economy
PS Masvaure,PS Masvaure,Zimbabwe,11,30,2,0,36.666666666666664,0,0.0,0,0,0,0
KT Kasuza,KT Kasuza,Zimbabwe,28,60,3,0,46.666666666666664,0,0.0,0,0,0,0
TK Musakanda,TK Musakanda,Zimbabwe,57,125,6,1,45.6,0,0.0,0,0,0,0
BRM Taylor,BRM Taylor,Zimbabwe,34,62,2,1,54.83870967741935,0,0.0,0,0,0,0
M Shumba,M Shumba,Zimbabwe,31,72,6,0,43.05555555555556,9,29.0,0,0,0,3.2222222222222223
R Kaia,R Kaia,Zimbabwe,48,98,7,0,48.97959183673469,7,38.0,0,0,0,5.428571428571429
RW Chakabva,RW Chakabva,Zimbabwe,33,82,4,0,40.243902439024396,0,0.0,0,0,0,0
DT Tiripano,DT Tiripano,Zimbabwe,30,58,4,0,51.724137931034484,23,89.0,3,5,1,3.869565217391304
TS Chisoro,TS Chisoro,Zimbabwe,9,14,2,0,64.28571428571429,34,89.0,1,0,0,2.6176470588235294
B Muzarabani,B Muzarabani,Zimbabwe,16,17,3,0,94.11764705882352,31,73.0,4,0,0,2.3548387096774195
R Ngarava,R Ngarava,Zimbabwe,6,15,1,0,40.0,29,104.0,2,3,0,3.586206896551724
Imran Butt (2),Imran Butt (2),Pakistan,91,236,7,0,38.559322033898304,0,0.0,0,0,0,0
Abid Ali,Abid Ali,Pakistan,60,140,10,0,42.857142857142854,0,0.0,0,0,0,0
Azhar Ali,Azhar Ali,Pakistan,36,70,5,0,51.42857142857142,0,0.0,0,0,0,0
Babar Azam,Babar Azam,Pakistan,0,1,0,0,0.0,0,0.0,0,0,0,0
Fawad Alam,Fawad Alam,Pakistan,140,204,20,0,68.62745098039215,0,0.0,0,0,0,0
Mohammad Rizwan,Mohammad Rizwan,Pakistan,45,106,5,0,42.45283018867924,0,0.0,0,0,0,0
Faheem Ashraf,Faheem Ashraf,Pakistan,0,2,0,0,0.0,17,36.0,1,0,0,2.1176470588235294
Hasan Ali,Hasan Ali,Pakistan,30,26,3,2,115.38461538461537,28,89.0,9,0,0,3.1785714285714284
Nauman Ali,Nauman Ali,Pakistan,0,1,0,0,0.0,20,56.0,4,0,0,2.8
Sajid Khan,Sajid Khan,Pakistan,7,12,1,0,58.333333333333336,15,44.0,1,0,0,2.933333333333333
Shaheen Shah Afridi,Shaheen Shah Afridi,Pakistan,4,8,1,0,50.0,26,78.0,4,0,0,3.0
