,name,team,runs_scored,balls_played,fours,sixes,strike_rate,overs_deliverd,runs_given,wickets,no_balls,wides,economy
AJ Finch,AJ Finch,Gujarat Lions,50,37,7,2,135.13513513513513,0,0.0,0,0,0,0
BB McCullum,BB McCullum,Gujarat Lions,49,31,3,3,158.06451612903226,0,0.0,0,0,0,0
SK Raina,SK Raina,Gujarat Lions,24,25,1,0,96.0,0,0.0,0,0,0,0
DJ Bravo,DJ Bravo,Gujarat Lions,22,10,3,1,220.00000000000003,4,43.0,1,0,0,10.75
RA Jadeja,RA Jadeja,Gujarat Lions,4,8,0,0,50.0,4,18.0,2,0,0,4.5
KD Karthik,KD Karthik,Gujarat Lions,0,0,0,0,0,0,0.0,0,0,0,0
AD Nath,AD Nath,Gujarat Lions,0,0,0,0,0,0,0.0,0,0,0,0
JP Faulkner,JP Faulkner,Gujarat Lions,0,0,0,0,0,2,15.0,0,0,0,7.5
P Kumar,P Kumar,Gujarat Lions,0,0,0,0,0,2,12.0,0,0,0,6.0
SB Jakati,SB Jakati,Gujarat Lions,0,0,0,0,0,4,40.0,0,0,0,10.0
PV Tambe,PV Tambe,Gujarat Lions,0,0,0,0,0,4,33.0,2,0,0,8.25
AM Rahane,AM Rahane,Rising Pune Supergiants,21,17,4,0,123.52941176470588,0,0.0,0,0,0,0
F du Plessis,F du Plessis,Rising Pune Supergiants,69,43,5,4,160.46511627906978,0,0.0,0,0,0,0
KP Pietersen,KP Pietersen,Rising Pune Supergiants,37,31,2,1,119.35483870967742,0,0.0,0,0,0,0
SPD Smith,SPD Smith,Rising Pune Supergiants,5,6,0,0,83.33333333333334,0,0.0,0,0,0,0
MS Dhoni,MS Dhoni,Rising Pune Supergiants,22,10,2,1,220.00000000000003,0,0.0,0,0,0,0
MR Marsh,MR Marsh,Rising Pune Supergiants,7,11,0,0,63.63636363636363,1,10.0,0,0,0,10.0
R Bhatia,R Bhatia,Rising Pune Supergiants,0,2,0,0,0.0,3,30.0,0,1,0,10.0
R Ashwin,R Ashwin,Rising Pune Supergiants,0,0,0,0,0,4,26.0,0,0,1,6.5
I Sharma,I Sharma,Rising Pune Supergiants,0,0,0,0,0,4,39.0,1,0,0,9.75
RP Singh,RP Singh,Rising Pune Supergiants,0,0,0,0,0,2,21.0,0,0,1,10.5
M Ashwin,M Ashwin,Rising Pune Supergiants,0,0,0,0,0,4,31.0,2,0,2,7.75
