,name,team,runs_scored,balls_played,fours,sixes,strike_rate,overs_deliverd,runs_given,wickets,no_balls,wides,economy
K Bhurtel,K Bhurtel,Nepal,0,1,0,0,0.0,1,7.0,0,0,0,7.0
AK Sah,AK Sah,Nepal,1,2,0,0,50.0,0,0.0,0,0,0,0
D Khanal,D Khanal,Nepal,72,86,4,3,83.72093023255815,0,0.0,0,0,0,0
DS Airee,DS Airee,Nepal,105,140,7,0,75.0,10,43.0,0,0,0,4.3
RK Paudel,RK Paudel,Nepal,35,36,3,0,97.22222222222221,0,0.0,0,0,0,0
B Sharki,B Sharki,Nepal,26,19,1,1,136.8421052631579,1,8.0,0,0,0,8.0
P Sarraf,P Sarraf,Nepal,0,1,0,0,0.0,9,45.0,2,0,0,5.0
Aarif Sheikh,Aarif Sheikh,Nepal,4,4,1,0,100.0,8,63.0,1,0,2,7.875
Sompal Kami,Sompal Kami,Nepal,3,2,0,0,150.0,9,38.0,3,1,1,4.222222222222222
S Lamichhane,S Lamichhane,Nepal,24,9,2,1,266.66666666666663,10,54.0,1,0,1,5.4
Gulsan Jha,Gulsan Jha,Nepal,0,0,0,0,0,1,20.0,0,0,3,20.0
TP Ura,TP Ura,Papua New Guinea,9,7,2,0,128.57142857142858,0,0.0,0,0,0,0
L Siaka,L Siaka,Papua New Guinea,90,104,12,1,86.53846153846155,0,0.0,0,0,0,0
A Vala,A Vala,Papua New Guinea,0,1,0,0,0.0,4,29.0,0,0,0,7.25
CJA Amini,CJA Amini,Papua New Guinea,35,31,7,0,112.90322580645163,10,49.0,1,0,0,4.9
S Bau,S Bau,Papua New Guinea,38,69,2,0,55.072463768115945,0,0.0,0,0,0,0
R Hekure,R Hekure,Papua New Guinea,48,45,3,2,106.66666666666667,7,40.0,0,0,0,5.714285714285714
H Hiri,H Hiri,Papua New Guinea,13,22,0,0,59.09090909090909,0,0.0,0,0,0,0
N Vanua,N Vanua,Papua New Guinea,11,5,1,1,220.00000000000003,10,64.0,3,0,3,6.4
CA Soper,CA Soper,Papua New Guinea,16,12,1,1,133.33333333333331,10,45.0,1,0,1,4.5
SK Atai,SK Atai,Papua New Guinea,0,0,0,0,0,0,0.0,0,0,0,0
A Nao,A Nao,Papua New Guinea,0,0,0,0,0,9,48.0,3,0,1,5.333333333333333
