,name,team,runs_scored,balls_played,fours,sixes,strike_rate,overs_deliverd,runs_given,wickets,no_balls,wides,economy
CT Bancroft,CT Bancroft,Australia,53,137,6,0,38.68613138686132,0,0.0,0,0,0,0
DA Warner,DA Warner,Australia,189,378,21,1,50.0,0,0.0,0,0,0,0
UT Khawaja,UT Khawaja,Australia,28,79,3,1,35.44303797468354,0,0.0,0,0,0,0
SPD Smith,SPD Smith,Australia,178,431,14,0,41.29930394431555,1,11.0,0,0,0,11.0
SE Marsh,SE Marsh,Australia,65,170,9,0,38.23529411764706,0,0.0,0,0,0,0
MR Marsh,MR Marsh,Australia,38,184,4,0,20.652173913043477,12,42.0,0,0,0,3.5
TD Paine,TD Paine,Australia,24,36,4,0,66.66666666666666,0,0.0,0,0,0,0
PJ Cummins,PJ Cummins,Australia,4,18,0,0,22.22222222222222,30,117.0,4,0,0,3.9
JR Hazlewood,JR Hazlewood,Australia,1,12,0,0,8.333333333333332,30,95.0,3,0,0,3.1666666666666665
NM Lyon,NM Lyon,Australia,0,10,0,0,0.0,42,109.0,3,0,0,2.5952380952380953
JM Bird,JM Bird,Australia,4,6,1,0,66.66666666666666,30,108.0,0,3,0,3.6
AN Cook,AN Cook,England,244,409,27,0,59.65770171149144,0,0.0,0,0,0,0
MD Stoneman,MD Stoneman,England,15,37,1,0,40.54054054054054,0,0.0,0,0,0,0
JM Vince,JM Vince,England,17,37,3,0,45.94594594594595,0,0.0,0,0,0,0
JE Root,JE Root,England,61,133,7,0,45.86466165413533,3,1.0,1,0,0,0.3333333333333333
DJ Malan,DJ Malan,England,14,43,3,0,32.55813953488372,15,41.0,0,0,0,2.7333333333333334
JM Bairstow,JM Bairstow,England,22,39,3,0,56.41025641025641,0,0.0,0,0,0,0
MM Ali,MM Ali,England,20,14,2,1,142.85714285714286,26,89.0,0,0,0,3.423076923076923
CR Woakes,CR Woakes,England,26,62,3,0,41.935483870967744,48,134.0,3,0,0,2.7916666666666665
TK Curran,TK Curran,England,4,15,1,0,26.666666666666668,41,118.0,1,1,0,2.8780487804878048
SCJ Broad,SCJ Broad,England,56,63,8,1,88.88888888888889,52,95.0,5,0,0,1.8269230769230769
JM Anderson,JM Anderson,England,0,16,0,0,0.0,59,107.0,4,0,0,1.8135593220338984
