,name,team,runs_scored,balls_played,fours,sixes,strike_rate,overs_deliverd,runs_given,wickets,no_balls,wides,economy
SR Taylor,SR Taylor,Jamaica,14,16,2,0,87.5,1,4.0,1,0,0,4.0
RS Williams,RS Williams,Jamaica,10,10,1,0,100.0,0,0.0,0,0,0,0
TR Sanford,TR Sanford,Jamaica,0,0,0,0,0,0,0.0,0,0,0,0
NY McLean,NY McLean,Jamaica,30,27,5,0,111.11111111111111,0,0.0,0,0,0,0
JN Morgan,JN Morgan,Jamaica,2,4,0,0,50.0,0,0.0,0,0,0,0
VN Watts,VN Watts,Jamaica,0,0,0,0,0,2,7.0,1,0,0,3.5
NA Waisome,NA Waisome,Jamaica,0,0,0,0,0,4,8.0,5,0,0,2.0
CA Henry,CA Henry,Jamaica,52,39,7,0,133.33333333333331,3,20.0,2,0,3,6.666666666666667
JE Walcott,JE Walcott,Jamaica,1,3,0,0,33.33333333333333,0,0.0,0,0,0,0
C Howell,C Howell,Jamaica,0,0,0,0,0,4,16.0,1,0,3,4.0
CN Nation,CN Nation,Jamaica,11,24,0,0,45.83333333333333,0,0.0,0,0,0,0
A Mohammed,A Mohammed,Trinidad and Tobago,8,12,1,0,66.66666666666666,4,20.0,1,0,2,5.0
LAGL Kirby,LAGL Kirby,Trinidad and Tobago,2,9,0,0,22.22222222222222,1,9.0,1,0,0,9.0
B Cooper,B Cooper,Trinidad and Tobago,8,5,2,0,160.0,0,0.0,0,0,0,0
C Isaac,C Isaac,Trinidad and Tobago,0,11,0,0,0.0,4,21.0,2,1,0,5.25
K Ragoobar,K Ragoobar,Trinidad and Tobago,0,1,0,0,0.0,2,20.0,0,0,0,10.0
K Ramharack,K Ramharack,Trinidad and Tobago,1,3,0,0,33.33333333333333,4,31.0,1,0,1,7.75
KN Alexander,KN Alexander,Trinidad and Tobago,12,11,2,0,109.09090909090908,1,9.0,0,0,0,9.0
R Vincent,R Vincent,Trinidad and Tobago,3,4,0,0,75.0,0,0.0,0,0,0,0
R Boyce,R Boyce,Trinidad and Tobago,9,12,1,0,75.0,0,0.0,0,0,0,0
S Lord,S Lord,Trinidad and Tobago,2,9,0,0,22.22222222222222,0,0.0,0,0,0,0
S Soogrim,S Soogrim,Trinidad and Tobago,0,5,0,0,0.0,4,22.0,1,0,0,5.5
