,name,team,runs_scored,balls_played,fours,sixes,strike_rate,overs_deliverd,runs_given,wickets,no_balls,wides,economy
SR Taylor,SR Taylor,Jamaica,18,22,3,0,81.81818181818183,4,17.0,2,0,3,4.25
RS Williams,RS Williams,Jamaica,25,42,1,0,59.523809523809526,0,0.0,0,0,0,0
NY McLean,NY McLean,Jamaica,9,12,2,0,75.0,0,0.0,0,0,0,0
CN Nation,CN Nation,Jamaica,10,12,0,0,83.33333333333334,0,0.0,0,0,0,0
CA Henry,CA Henry,Jamaica,12,11,1,0,109.09090909090908,3,7.0,0,0,1,2.3333333333333335
TR Sanford,TR Sanford,Jamaica,2,2,0,0,100.0,0,0.0,0,0,0,0
JN Morgan,JN Morgan,Jamaica,3,3,0,0,100.0,3,15.0,4,0,2,5.0
VN Watts,VN Watts,Jamaica,0,1,0,0,0.0,3,5.0,2,0,1,1.6666666666666667
JE Walcott,JE Walcott,Jamaica,0,2,0,0,0.0,0,0.0,0,0,0,0
C Howell,C Howell,Jamaica,0,4,0,0,0.0,3,9.0,1,0,2,3.0
NA Waisome,NA Waisome,Jamaica,1,8,0,0,12.5,1,8.0,1,1,0,8.0
ASS Fletcher,ASS Fletcher,Windward Islands,20,24,1,0,83.33333333333334,4,20.0,3,1,0,5.0
J Glasgow,J Glasgow,Windward Islands,0,2,0,0,0.0,4,21.0,4,1,1,5.25
M Edward,M Edward,Windward Islands,0,3,0,0,0.0,0,0.0,0,0,0,0
K Homer,K Homer,Windward Islands,1,8,0,0,12.5,0,0.0,0,0,0,0
JM Joseph,JM Joseph,Windward Islands,1,5,0,0,20.0,0,0.0,0,0,0,0
AK Peters,AK Peters,Windward Islands,11,21,1,0,52.38095238095239,3,17.0,0,1,0,5.666666666666667
EG Turtin,EG Turtin,Windward Islands,2,7,0,0,28.57142857142857,0,0.0,0,0,0,0
PS Etienne,PS Etienne,Windward Islands,9,9,1,0,100.0,3,10.0,2,0,0,3.3333333333333335
Q Joseph,Q Joseph,Windward Islands,2,14,0,0,14.285714285714285,3,6.0,1,0,0,2.0
C Noel,C Noel,Windward Islands,4,8,0,0,50.0,1,5.0,0,0,3,5.0
T Byron,T Byron,Windward Islands,0,1,0,0,0.0,2,10.0,0,0,2,5.0
