,name,team,runs_scored,balls_played,fours,sixes,strike_rate,overs_deliverd,runs_given,wickets,no_balls,wides,economy
S Hector,S Hector,Leeward Islands,9,13,1,0,69.23076923076923,4,9.0,0,0,1,2.25
A Edwards,A Edwards,Leeward Islands,4,13,0,0,30.76923076923077,0,0.0,0,0,0,0
T Parker,T Parker,Leeward Islands,2,17,0,0,11.76470588235294,0,0.0,0,0,0,0
Jenison Richards,Jenison Richards,Leeward Islands,0,3,0,0,0.0,4,7.0,3,1,0,1.75
T Martin,T Martin,Leeward Islands,0,0,0,0,0,0,0.0,0,0,0,0
S Willett,S Willett,Leeward Islands,9,15,0,0,60.0,1,1.0,0,0,1,1.0
R Liburd,R Liburd,Leeward Islands,0,0,0,0,0,4,9.0,2,0,3,2.25
T McCoy,T McCoy,Leeward Islands,1,8,0,0,12.5,0,0.0,0,0,0,0
D Claxton,D Claxton,Leeward Islands,0,0,0,0,0,1,16.0,0,2,1,16.0
T Thorpe,T Thorpe,Leeward Islands,1,4,0,0,25.0,4,12.0,1,0,4,3.0
R Dolabaille,R Dolabaille,Leeward Islands,21,46,1,0,45.65217391304348,0,0.0,0,0,0,0
ASS Fletcher,ASS Fletcher,Windward Islands,3,7,0,0,42.857142857142854,2,4.0,1,0,0,2.0
J Glasgow,J Glasgow,Windward Islands,1,6,0,0,16.666666666666664,4,6.0,2,0,1,1.5
M Edward,M Edward,Windward Islands,1,11,0,0,9.090909090909092,0,0.0,0,0,0,0
K Homer,K Homer,Windward Islands,11,29,2,0,37.93103448275862,0,0.0,0,0,0,0
JM Joseph,JM Joseph,Windward Islands,10,31,1,0,32.25806451612903,0,0.0,0,0,0,0
AK Peters,AK Peters,Windward Islands,2,6,0,0,33.33333333333333,2,6.0,1,0,0,3.0
EG Turtin,EG Turtin,Windward Islands,4,6,0,0,66.66666666666666,0,0.0,0,0,0,0
SN Adams,SN Adams,Windward Islands,0,0,0,0,0,0,0.0,0,0,0,0
PS Etienne,PS Etienne,Windward Islands,0,0,0,0,0,4,8.0,2,0,0,2.0
Q Joseph,Q Joseph,Windward Islands,9,10,1,0,90.0,4,16.0,0,0,0,4.0
C Noel,C Noel,Windward Islands,0,0,0,0,0,4,14.0,1,0,6,3.5
