,name,team,runs_scored,balls_played,fours,sixes,strike_rate,overs_deliverd,runs_given,wickets,no_balls,wides,economy
C Munro,C Munro,Trinbago Knight Riders,28,29,1,1,96.55172413793103,0,0.0,0,0,0,0
CA Lynn,CA Lynn,Trinbago Knight Riders,29,10,4,2,290.0,0,0.0,0,0,0,0
D Ramdin,D Ramdin,Trinbago Knight Riders,51,31,5,2,164.51612903225808,0,0.0,0,0,0,0
DM Bravo,DM Bravo,Trinbago Knight Riders,20,25,1,0,80.0,0,0.0,0,0,0,0
BB McCullum,BB McCullum,Trinbago Knight Riders,4,6,0,0,66.66666666666666,0,0.0,0,0,0,0
DJ Bravo,DJ Bravo,Trinbago Knight Riders,33,20,3,2,165.0,3,37.0,0,0,2,12.333333333333334
SP Narine,SP Narine,Trinbago Knight Riders,2,3,0,0,66.66666666666666,4,27.0,0,0,3,6.75
T Hinds,T Hinds,Trinbago Knight Riders,0,0,0,0,0,2,21.0,0,0,3,10.5
Fawad Ahmed,Fawad Ahmed,Trinbago Knight Riders,0,0,0,0,0,4,28.0,3,0,0,7.0
K Pierre,K Pierre,Trinbago Knight Riders,0,0,0,0,0,3,14.0,0,0,1,4.666666666666667
Ali Khan,Ali Khan,Trinbago Knight Riders,0,0,0,0,0,4,39.0,2,1,1,9.75
S Sohal,S Sohal,Barbados Tridents,22,20,1,2,110.00000000000001,0,0.0,0,0,0,0
T Webster,T Webster,Barbados Tridents,16,16,2,0,100.0,0,0.0,0,0,0,0
SD Hope,SD Hope,Barbados Tridents,26,22,3,0,118.18181818181819,0,0.0,0,0,0,0
N Pooran,N Pooran,Barbados Tridents,44,32,2,4,137.5,0,0.0,0,0,0,0
JO Holder,JO Holder,Barbados Tridents,21,16,1,1,131.25,1,12.0,0,0,0,12.0
RL Chase,RL Chase,Barbados Tridents,14,7,2,0,200.0,3,29.0,0,0,0,9.666666666666666
SK Springer,SK Springer,Barbados Tridents,12,8,0,1,150.0,1,15.0,0,1,1,15.0
DC Drakes,DC Drakes,Barbados Tridents,0,0,0,0,0,3,28.0,0,1,2,9.333333333333334
I Khan (2),I Khan (2),Barbados Tridents,0,0,0,0,0,4,25.0,2,0,0,6.25
CK Holder,CK Holder,Barbados Tridents,0,0,0,0,0,4,42.0,2,1,5,10.5
Mohammad Irfan,Mohammad Irfan,Barbados Tridents,0,0,0,0,0,4,28.0,1,0,0,7.0
