,name,team,runs_scored,balls_played,fours,sixes,strike_rate,overs_deliverd,runs_given,wickets,no_balls,wides,economy
HK Matthews,HK Matthews,Barbados,58,40,8,2,145.0,4,25.0,4,0,0,6.25
DGK Small,DGK Small,Barbados,13,19,2,0,68.42105263157895,0,0.0,0,0,0,0
DJS Dottin,DJS Dottin,Barbados,22,11,2,1,200.0,2,16.0,1,0,2,8.0
Kycia A Knight,Kycia A Knight,Barbados,0,0,0,0,0,0,0.0,0,0,0,0
AA Alleyne,AA Alleyne,Barbados,0,0,0,0,0,0,0.0,0,0,0,0
SJ Bruce,SJ Bruce,Barbados,0,0,0,0,0,4,16.0,4,0,5,4.0
SS Connell,SS Connell,Barbados,0,0,0,0,0,4,16.0,0,0,5,4.0
Kyshona A Knight,Kyshona A Knight,Barbados,0,0,0,0,0,0,0.0,0,0,0,0
SC Selman,SC Selman,Barbados,0,0,0,0,0,4,14.0,1,0,0,3.5
CO Taitt,CO Taitt,Barbados,0,0,0,0,0,0,0.0,0,0,0,0
S Carrington,S Carrington,Barbados,0,0,0,0,0,0,0.0,0,0,0,0
NY McLean,NY McLean,Jamaica,6,8,1,0,75.0,0,0.0,0,0,0,0
JN Morgan,JN Morgan,Jamaica,2,7,0,0,28.57142857142857,0,0.0,0,0,0,0
SR Taylor,SR Taylor,Jamaica,6,15,0,0,40.0,3,19.0,1,0,0,6.333333333333333
CN Nation,CN Nation,Jamaica,1,7,0,0,14.285714285714285,3,27.0,0,0,1,9.0
CA Henry,CA Henry,Jamaica,4,5,1,0,80.0,2,32.0,0,1,0,16.0
RS Williams,RS Williams,Jamaica,28,32,1,0,87.5,0,0.0,0,0,0,0
KA Cohen,KA Cohen,Jamaica,3,6,0,0,50.0,1,9.0,0,0,1,9.0
JE Walcott,JE Walcott,Jamaica,6,11,1,0,54.54545454545454,0,0.0,0,0,0,0
TR Sanford,TR Sanford,Jamaica,4,3,1,0,133.33333333333331,0,0.0,0,0,0,0
C Howell,C Howell,Jamaica,9,5,0,1,180.0,0,0.0,0,0,0,0
VN Watts,VN Watts,Jamaica,6,5,1,0,120.0,3,9.0,0,0,0,3.0
