,name,team,runs_scored,balls_played,fours,sixes,strike_rate,overs_deliverd,runs_given,wickets,no_balls,wides,economy
SR Taylor,SR Taylor,Jamaica,10,11,2,0,90.9090909090909,4,24.0,1,0,1,6.0
TR Sanford,TR Sanford,Jamaica,0,0,0,0,0,0,0.0,0,0,0,0
NY McLean,NY McLean,Jamaica,0,4,0,0,0.0,0,0.0,0,0,0,0
VN Watts,VN Watts,Jamaica,0,0,0,0,0,4,13.0,0,0,0,3.25
NA Waisome,NA Waisome,Jamaica,0,0,0,0,0,2,7.0,0,0,1,3.5
CA Henry,CA Henry,Jamaica,4,1,1,0,400.0,4,12.0,3,0,1,3.0
JE Walcott,JE Walcott,Jamaica,0,0,0,0,0,0,0.0,0,0,0,0
C Howell,C Howell,Jamaica,0,0,0,0,0,4,19.0,2,0,2,4.75
CN Nation,CN Nation,Jamaica,32,39,4,0,82.05128205128204,0,0.0,0,0,0,0
J Brown,J Brown,Jamaica,0,0,0,0,0,2,14.0,1,0,2,7.0
RS Williams,RS Williams,Jamaica,41,53,6,0,77.35849056603774,0,0.0,0,0,0,0
SA Campbelle,SA Campbelle,Guyana,10,11,1,0,90.9090909090909,0,0.0,0,0,0,0
S Gajnabi,S Gajnabi,Guyana,26,30,1,0,86.66666666666667,4,26.0,1,0,1,6.5
CS Fraser,CS Fraser,Guyana,20,28,1,0,71.42857142857143,0,0.0,0,0,0,0
KK Mentore,KK Mentore,Guyana,0,3,0,0,0.0,0,0.0,0,0,0,0
S Campbelle,S Campbelle,Guyana,3,11,0,0,27.27272727272727,0,0.0,0,0,0,0
SS Grimmond,SS Grimmond,Guyana,0,6,0,0,0.0,3,16.0,0,0,0,5.333333333333333
K Schultz,K Schultz,Guyana,0,0,0,0,0,4,21.0,0,0,0,5.25
TD Smartt,TD Smartt,Guyana,1,2,0,0,50.0,4,12.0,2,0,0,3.0
M Mangru,M Mangru,Guyana,7,5,0,0,140.0,0,0.0,0,0,0,0
LCA Toussaint,LCA Toussaint,Guyana,11,25,0,0,44.0,0,0.0,0,0,0,0
A Munisar,A Munisar,Guyana,0,0,0,0,0,3,16.0,0,0,2,5.333333333333333
