,name,team,runs_scored,balls_played,fours,sixes,strike_rate,overs_deliverd,runs_given,wickets,no_balls,wides,economy
ASS Fletcher,ASS Fletcher,Windward Islands,16,19,2,0,84.21052631578947,4,11.0,1,0,0,2.75
J Glasgow,J Glasgow,Windward Islands,1,3,0,0,33.33333333333333,4,17.0,1,0,1,4.25
M Edward,M Edward,Windward Islands,0,0,0,0,0,0,0.0,0,0,0,0
K Homer,K Homer,Windward Islands,7,9,1,0,77.77777777777779,0,0.0,0,0,0,0
EG Turtin,EG Turtin,Windward Islands,2,5,0,0,40.0,0,0.0,0,0,0,0
SN Adams,SN Adams,Windward Islands,12,33,0,0,36.36363636363637,0,0.0,0,0,0,0
Z James,Z James,Windward Islands,28,35,3,0,80.0,4,31.0,0,0,0,7.75
PS Etienne,PS Etienne,Windward Islands,0,2,0,0,0.0,4,17.0,3,0,0,4.25
A Edward,A Edward,Windward Islands,0,0,0,0,0,0,0.0,0,0,0,0
Q Joseph,Q Joseph,Windward Islands,13,14,1,0,92.85714285714286,4,10.0,3,0,1,2.5
C Noel,C Noel,Windward Islands,2,3,0,0,66.66666666666666,0,0.0,0,0,0,0
R Boyce,R Boyce,Trinidad and Tobago,9,21,1,0,42.857142857142854,0,0.0,0,0,0,0
D Joseph,D Joseph,Trinidad and Tobago,0,14,0,0,0.0,0,0.0,0,0,0,0
B Cooper,B Cooper,Trinidad and Tobago,47,41,5,0,114.6341463414634,0,0.0,0,0,0,0
S Lord,S Lord,Trinidad and Tobago,4,3,1,0,133.33333333333331,0,0.0,0,0,0,0
LAGL Kirby,LAGL Kirby,Trinidad and Tobago,1,6,0,0,16.666666666666664,1,9.0,0,2,0,9.0
A Mohammed,A Mohammed,Trinidad and Tobago,19,24,3,0,79.16666666666666,4,16.0,3,0,2,4.0
KN Alexander,KN Alexander,Trinidad and Tobago,1,4,0,0,25.0,2,7.0,1,0,0,3.5
K Ramharack,K Ramharack,Trinidad and Tobago,0,3,0,0,0.0,4,12.0,1,0,0,3.0
K Ragoobar,K Ragoobar,Trinidad and Tobago,0,0,0,0,0,4,16.0,1,0,0,4.0
S Soogrim,S Soogrim,Trinidad and Tobago,3,4,0,0,75.0,2,10.0,0,1,1,5.0
L Ramdeen,L Ramdeen,Trinidad and Tobago,0,0,0,0,0,3,17.0,1,0,0,5.666666666666667
