,name,team,runs_scored,balls_played,fours,sixes,strike_rate,overs_deliverd,runs_given,wickets,no_balls,wides,economy
Anjar Tadarus,Anjar Tadarus,Indonesia,0,6,0,0,0.0,1,8.0,0,1,0,8.0
Muhaddis Muhaddis,Muhaddis Muhaddis,Indonesia,18,29,3,0,62.06896551724138,0,0.0,0,0,0,0
VC Bhammar,VC Bhammar,Indonesia,13,57,0,0,22.807017543859647,0,0.0,0,0,0,0
RT Rubbi,RT Rubbi,Indonesia,7,33,0,0,21.21212121212121,0,0.0,0,0,0,0
IK Gamantika,IK Gamantika,Indonesia,12,53,1,0,22.641509433962266,0,0.0,0,0,0,0
IDGP Kisawa,IDGP Kisawa,Indonesia,0,12,0,0,0.0,4,31.0,0,0,1,7.75
Ahmad Ramdoni,Ahmad Ramdoni,Indonesia,9,15,0,1,60.0,0,0.0,0,0,0,0
AH Kapadia,AH Kapadia,Indonesia,1,11,0,0,9.090909090909092,0,0.0,0,0,0,0
Gaurav Tiwari,Gaurav Tiwari,Indonesia,5,15,1,0,33.33333333333333,4,33.0,0,2,3,8.25
F Shony,F Shony,Indonesia,2,7,0,0,28.57142857142857,0,0.0,0,0,0,0
IW Budiarta,IW Budiarta,Indonesia,0,5,0,0,0.0,1,11.0,0,0,0,11.0
J Dunn,J Dunn,Vanuatu,24,22,2,1,109.09090909090908,0,0.0,0,0,0,0
J Rasu,J Rasu,Vanuatu,52,36,8,2,144.44444444444443,0,0.0,0,0,0,0
PK Matautaava,PK Matautaava,Vanuatu,0,0,0,0,0,8,24.0,1,0,3,3.0
T Langa,T Langa,Vanuatu,0,0,0,0,0,0,0.0,0,0,0,0
W Viraliliu,W Viraliliu,Vanuatu,0,0,0,0,0,4,8.0,0,0,1,2.0
N Nipiko,N Nipiko,Vanuatu,0,0,0,0,0,5,12.0,1,0,3,2.4
JW Chilia,JW Chilia,Vanuatu,0,0,0,0,0,10,10.0,3,0,0,1.0
A Mansale,A Mansale,Vanuatu,0,0,0,0,0,5,8.0,2,0,0,1.6
R Tari,R Tari,Vanuatu,0,0,0,0,0,0,0.0,0,0,0,0
W Nalisa,W Nalisa,Vanuatu,0,0,0,0,0,2,7.0,2,0,3,3.5
AL Stephen,AL Stephen,Vanuatu,0,0,0,0,0,7,12.0,1,0,3,1.7142857142857142
