,name,team,runs_scored,balls_played,fours,sixes,strike_rate,overs_deliverd,runs_given,wickets,no_balls,wides,economy
JJ Roy,JJ Roy,Gujarat Lions,31,21,5,0,147.61904761904762,0,0.0,0,0,0,0
BB McCullum,BB McCullum,Gujarat Lions,5,10,0,0,50.0,0,0.0,0,0,0,0
SK Raina,SK Raina,Gujarat Lions,5,8,0,0,62.5,2,24.0,0,0,0,12.0
AJ Finch,AJ Finch,Gujarat Lions,3,5,0,0,60.0,0,0.0,0,0,0,0
KD Karthik,KD Karthik,Gujarat Lions,30,32,2,0,93.75,0,0.0,0,0,0,0
DR Smith,DR Smith,Gujarat Lions,37,27,4,1,137.03703703703704,0,0.0,0,0,0,0
DS Kulkarni,DS Kulkarni,Gujarat Lions,1,2,0,0,50.0,2,17.0,0,0,0,8.5
P Kumar,P Kumar,Gujarat Lions,7,7,0,0,100.0,2,16.0,1,0,0,8.0
Basil Thampi,Basil Thampi,Gujarat Lions,13,8,0,1,162.5,2,21.0,0,0,2,10.5
Tejas Baroka,Tejas Baroka,Gujarat Lions,0,0,0,0,0,4,33.0,0,0,0,8.25
S Kaushik,S Kaushik,Gujarat Lions,0,0,0,0,0,4,29.0,0,0,1,7.25
DA Warner,DA Warner,Sunrisers Hyderabad,76,45,6,4,168.88888888888889,0,0.0,0,0,0,0
S Dhawan,S Dhawan,Sunrisers Hyderabad,9,9,0,1,100.0,0,0.0,0,0,0,0
MC Henriques,MC Henriques,Sunrisers Hyderabad,52,39,6,0,133.33333333333331,1,12.0,0,0,0,12.0
Yuvraj Singh,Yuvraj Singh,Sunrisers Hyderabad,0,0,0,0,0,0,0.0,0,0,0,0
DJ Hooda,DJ Hooda,Sunrisers Hyderabad,0,0,0,0,0,0,0.0,0,0,0,0
BCJ Cutting,BCJ Cutting,Sunrisers Hyderabad,0,0,0,0,0,3,29.0,0,0,0,9.666666666666666
NV Ojha,NV Ojha,Sunrisers Hyderabad,0,0,0,0,0,0,0.0,0,0,0,0
Bipul Sharma,Bipul Sharma,Sunrisers Hyderabad,0,0,0,0,0,4,24.0,0,0,0,6.0
B Kumar,B Kumar,Sunrisers Hyderabad,0,0,0,0,0,4,21.0,2,0,0,5.25
A Nehra,A Nehra,Sunrisers Hyderabad,0,0,0,0,0,4,27.0,2,0,0,6.75
Rashid Khan,Rashid Khan,Sunrisers Hyderabad,0,0,0,0,0,4,19.0,3,0,0,4.75
