version,2.1.0
info,balls_per_over,6
info,team,Czech Republic
info,team,Austria
info,gender,male
info,season,2021
info,date,2021/05/23
info,event,Central Europe Cup
info,match_number,6
info,venue,"Scott Page Field, Vinor"
info,city,Prague
info,toss_winner,Czech Republic
info,toss_decision,bat
info,umpire,J Foster
info,umpire,S Tripp
info,reserve_umpire,P Vincent
info,winner,Austria
info,winner_wickets,4
info,method,D/L
info,player,Czech Republic,S Davizi
info,player,Czech Republic,EB Knowles
info,player,Czech Republic,A Ashokan
info,player,Czech Republic,S Wickramasekara
info,player,Czech Republic,K Mendon
info,player,Czech Republic,S Grover
info,player,Czech Republic,P Taylor
info,player,Czech Republic,Naveed Ahmed
info,player,Czech Republic,Ali Waqar
info,player,Czech Republic,SJ Patel
info,player,Czech Republic,SMK Waththage
info,player,Austria,Bilal Zalmai
info,player,Austria,M Simpson-Parker
info,player,Austria,Razmal Shigiwal
info,player,Austria,I Asif
info,player,Austria,N Wijesekera
info,player,Austria,Mirza Ahsan
info,player,Austria,Aqib Iqbal
info,player,Austria,LP Kasturiarachchige
info,player,Austria,Sahel Zadran
info,player,Austria,Rayhaan Ahmed
info,player,Austria,Umair Tariq
info,registry,people,A Ashokan,9244df4b
info,registry,people,Ali Waqar,89e17934
info,registry,people,Aqib Iqbal,14157abf
info,registry,people,Bilal Zalmai,33b67317
info,registry,people,EB Knowles,e141fddd
info,registry,people,I Asif,663ad386
info,registry,people,J Foster,2a1bc1b0
info,registry,people,K Mendon,015dc0cd
info,registry,people,LP Kasturiarachchige,82af7861
info,registry,people,M Simpson-Parker,fecd828e
info,registry,people,Mirza Ahsan,6b74c13b
info,registry,people,N Wijesekera,85dcc96d
info,registry,people,Naveed Ahmed,87609cbb
info,registry,people,P Taylor,d3016d75
info,registry,people,P Vincent,afb1787b
info,registry,people,Rayhaan Ahmed,d9de31d4
info,registry,people,Razmal Shigiwal,60cc80ac
info,registry,people,S Davizi,5787be00
info,registry,people,S Grover,c2a6e61f
info,registry,people,S Tripp,6626e257
info,registry,people,S Wickramasekara,a9a09cb8
info,registry,people,SJ Patel,6a091f62
info,registry,people,SMK Waththage,0fc88c2a
info,registry,people,Sahel Zadran,dae28050
info,registry,people,Umair Tariq,67ec2b09
