,name,team,runs_scored,balls_played,fours,sixes,strike_rate,overs_deliverd,runs_given,wickets,no_balls,wides,economy
NY McLean,NY McLean,Jamaica,8,13,1,0,61.53846153846154,0,0.0,0,0,0,0
RS Williams,RS Williams,Jamaica,43,70,5,0,61.42857142857143,0,0.0,0,0,0,0
SR Taylor,SR Taylor,Jamaica,36,50,6,0,72.0,7,22.0,4,0,2,3.142857142857143
CN Nation,CN Nation,Jamaica,0,0,0,0,0,0,0.0,0,0,0,0
CA Henry,CA Henry,Jamaica,0,0,0,0,0,7,19.0,1,0,2,2.7142857142857144
J Brown,J Brown,Jamaica,0,0,0,0,0,1,12.0,0,0,2,12.0
CN Whyte,CN Whyte,Jamaica,0,0,0,0,0,5,19.0,0,0,3,3.8
TR Sanford,TR Sanford,Jamaica,0,0,0,0,0,0,0.0,0,0,0,0
NA Waisome,NA Waisome,Jamaica,0,0,0,0,0,5,16.0,2,0,0,3.2
K Ferron,K Ferron,Jamaica,1,8,0,0,12.5,0,0.0,0,0,0,0
VN Watts,VN Watts,Jamaica,0,0,0,0,0,8,10.0,2,0,0,1.25
Z James,Z James,Windward Islands,3,18,0,0,16.666666666666664,3,16.0,0,0,1,5.333333333333333
Q Joseph,Q Joseph,Windward Islands,11,12,2,0,91.66666666666666,5,14.0,0,0,1,2.8
JM Joseph,JM Joseph,Windward Islands,23,57,1,0,40.35087719298245,0,0.0,0,0,0,0
ASS Fletcher,ASS Fletcher,Windward Islands,11,27,1,0,40.74074074074074,4,14.0,0,0,0,3.5
M Edward,M Edward,Windward Islands,11,15,1,0,73.33333333333333,0,0.0,0,0,0,0
SN Adams,SN Adams,Windward Islands,1,10,0,0,10.0,0,0.0,0,0,0,0
C Noel,C Noel,Windward Islands,21,34,1,0,61.76470588235294,1,10.0,0,0,1,10.0
A Edward,A Edward,Windward Islands,4,21,0,0,19.047619047619047,0,0.0,0,0,0,0
EG Turtin,EG Turtin,Windward Islands,0,2,0,0,0.0,0,0.0,0,0,0,0
J Glasgow,J Glasgow,Windward Islands,2,2,0,0,100.0,6,29.0,0,0,2,4.833333333333333
PS Etienne,PS Etienne,Windward Islands,0,1,0,0,0.0,5,15.0,2,0,1,3.0
