version,2.2.0
info,balls_per_over,6
info,team,Denmark
info,team,Jersey
info,gender,male
info,season,2021/22
info,date,2021/10/21
info,event,ICC Men's T20 World Cup Europe Region Qualifier
info,match_number,12
info,venue,"Desert Springs Cricket Ground, Almeria"
info,city,Almeria
info,toss_winner,Denmark
info,toss_decision,bat
info,player_of_match,JW Jenner
info,umpire,HE Kearns
info,umpire,N Bathi
info,reserve_umpire,DA Haggo
info,match_referee,G McCrea
info,winner,Jersey
info,winner_wickets,4
info,player,Denmark,Zameer Khan
info,player,Denmark,SA Ahmad
info,player,Denmark,S Thanikaithasan
info,player,Denmark,Lucky Ali
info,player,Denmark,Surya Anand
info,player,Denmark,Anique Uddin
info,player,Denmark,Delawar Khan
info,player,Denmark,Absar Khan
info,player,Denmark,Bilal Aftab
info,player,Denmark,Shakerullah Safi
info,player,Denmark,Bashir Shah
info,player,Jersey,H Carlyon
info,player,Jersey,C Brennan
info,player,Jersey,ZM Tribe
info,player,Jersey,JW Jenner
info,player,Jersey,AM Tribe
info,player,Jersey,B Ward
info,player,Jersey,DG Blampied
info,player,Jersey,JE Dunford
info,player,Jersey,CW Perchard
info,player,Jersey,D Birrell
info,player,Jersey,RJG Palmer
info,registry,people,AM Tribe,86f84b37
info,registry,people,Absar Khan,91cf746e
info,registry,people,Anique Uddin,1f41b702
info,registry,people,B Ward,9e0bd203
info,registry,people,Bashir Shah,3b282e51
info,registry,people,Bilal Aftab,9f4aeb13
info,registry,people,C Brennan,80f9fd4f
info,registry,people,CW Perchard,9f998ed8
info,registry,people,D Birrell,aea11d1d
info,registry,people,DA Haggo,e6789a88
info,registry,people,DG Blampied,d8976cb7
info,registry,people,Delawar Khan,28b99edd
info,registry,people,G McCrea,46f4a901
info,registry,people,H Carlyon,42bf1b7d
info,registry,people,HE Kearns,fd4959c8
info,registry,people,JE Dunford,89a7dd4a
info,registry,people,JW Jenner,32a8161e
info,registry,people,Lucky Ali,28b032ac
info,registry,people,N Bathi,96a0edf9
info,registry,people,RJG Palmer,bc6f8328
info,registry,people,S Thanikaithasan,498aacac
info,registry,people,SA Ahmad,8de618ab
info,registry,people,Shakerullah Safi,05cf8905
info,registry,people,Surya Anand,ef141f36
info,registry,people,ZM Tribe,96fe3e9f
info,registry,people,Zameer Khan,fb0d3749
