,name,team,runs_scored,balls_played,fours,sixes,strike_rate,overs_deliverd,runs_given,wickets,no_balls,wides,economy
AB de Villiers,AB de Villiers,Africa XI,24,23,3,1,104.34782608695652,0,0.0,0,0,0,0
HH Dippenaar,HH Dippenaar,Africa XI,14,23,2,0,60.86956521739131,0,0.0,0,0,0,0
JH Kallis,JH Kallis,Africa XI,4,14,0,0,28.57142857142857,10,42.0,3,0,2,4.2
JL Ontong,JL Ontong,Africa XI,0,2,0,0,0.0,0,0.0,0,0,0,0
AG Prince,AG Prince,Africa XI,78,113,5,0,69.02654867256636,0,0.0,0,0,0,0
SO Tikolo,SO Tikolo,Africa XI,0,2,0,0,0.0,0,0.0,0,0,0,0
MV Boucher,MV Boucher,Africa XI,42,59,3,0,71.1864406779661,0,0.0,0,0,0,0
SM Pollock,SM Pollock,Africa XI,2,9,0,0,22.22222222222222,10,32.0,3,3,1,3.2
N Boje,N Boje,Africa XI,3,13,0,0,23.076923076923077,10,40.0,1,0,1,4.0
JM Kemp,JM Kemp,Africa XI,4,5,1,0,80.0,9,40.0,2,1,5,4.444444444444445
DW Steyn,DW Steyn,Africa XI,3,11,0,0,27.27272727272727,10,40.0,1,0,5,4.0
TM Odoyo,TM Odoyo,Africa XI,0,0,0,0,0,0,0.0,0,0,0,0
KC Sangakkara,KC Sangakkara,Asia XI,35,80,6,0,43.75,0,0.0,0,0,0,0
V Sehwag,V Sehwag,Asia XI,21,26,5,0,80.76923076923077,0,0.0,0,0,0,0
Mohammad Yousuf,Mohammad Yousuf,Asia XI,1,3,0,0,33.33333333333333,0,0.0,0,0,0,0
Mohammad Ashraful,Mohammad Ashraful,Asia XI,0,1,0,0,0.0,0,0.0,0,0,0,0
Inzamam-ul-Haq,Inzamam-ul-Haq,Asia XI,6,12,0,0,50.0,0,0.0,0,0,0,0
Shahid Afridi,Shahid Afridi,Asia XI,13,11,3,0,118.18181818181819,2,13.0,1,0,1,6.5
Abdul Razzaq,Abdul Razzaq,Asia XI,38,77,3,0,49.35064935064935,3,17.0,0,0,1,5.666666666666667
A Kumble,A Kumble,Asia XI,24,48,3,0,50.0,10,39.0,1,0,2,3.9
Z Khan,Z Khan,Asia XI,20,21,1,0,95.23809523809523,8,37.0,3,0,2,4.625
Shoaib Akhtar,Shoaib Akhtar,Asia XI,15,13,0,1,115.38461538461537,8,40.0,3,6,0,5.0
A Nehra,A Nehra,Asia XI,1,2,0,0,50.0,5,19.0,1,0,0,3.8
M Muralitharan,M Muralitharan,Asia XI,0,0,0,0,0,9,26.0,1,0,1,2.888888888888889
