,name,team,runs_scored,balls_played,fours,sixes,strike_rate,overs_deliverd,runs_given,wickets,no_balls,wides,economy
T Parker,T Parker,Leeward Islands,0,2,0,0,0.0,0,0.0,0,0,0,0
S Hector,S Hector,Leeward Islands,1,2,0,0,50.0,1,5.0,0,0,1,5.0
R Dolabaille,R Dolabaille,Leeward Islands,14,45,0,0,31.11111111111111,0,0.0,0,0,0,0
S Willett,S Willett,Leeward Islands,0,2,0,0,0.0,0,0.0,0,0,0,0
R Liburd,R Liburd,Leeward Islands,0,4,0,0,0.0,2,24.0,0,0,2,12.0
A Edwards,A Edwards,Leeward Islands,9,23,2,0,39.130434782608695,0,0.0,0,0,0,0
Jenison Richards,Jenison Richards,Leeward Islands,0,2,0,0,0.0,1,6.0,0,0,1,6.0
T McCoy,T McCoy,Leeward Islands,0,4,0,0,0.0,0,0.0,0,0,0,0
T Thorpe,T Thorpe,Leeward Islands,10,12,0,0,83.33333333333334,2,16.0,1,0,0,8.0
D Claxton,D Claxton,Leeward Islands,0,1,0,0,0.0,0,0.0,0,0,0,0
T Martin,T Martin,Leeward Islands,8,17,1,0,47.05882352941176,1,10.0,0,0,3,10.0
HK Matthews,HK Matthews,Barbados,23,18,3,0,127.77777777777777,4,9.0,4,0,0,2.25
Kycia A Knight,Kycia A Knight,Barbados,12,10,3,0,120.0,0,0.0,0,0,0,0
AA Alleyne,AA Alleyne,Barbados,0,0,0,0,0,4,12.0,1,1,1,3.0
SC Selman,SC Selman,Barbados,0,0,0,0,0,2,6.0,1,1,1,3.0
SJ Bruce,SJ Bruce,Barbados,0,0,0,0,0,4,15.0,4,0,5,3.75
S Carrington,S Carrington,Barbados,0,0,0,0,0,0,0.0,0,0,0,0
SS Connell,SS Connell,Barbados,0,0,0,0,0,4,12.0,0,0,1,3.0
N Cumberbatch,N Cumberbatch,Barbados,0,0,0,0,0,1,5.0,0,0,2,5.0
Kyshona A Knight,Kyshona A Knight,Barbados,15,13,2,0,115.38461538461537,0,0.0,0,0,0,0
CO Taitt,CO Taitt,Barbados,0,0,0,0,0,0,0.0,0,0,0,0
A Williams,A Williams,Barbados,0,0,0,0,0,0,0.0,0,0,0,0
