,name,team,runs_scored,balls_played,fours,sixes,strike_rate,overs_deliverd,runs_given,wickets,no_balls,wides,economy
Miles Hammond,Miles Hammond,Gloucestershire,35,30,4,1,116.66666666666667,0,0.0,0,0,0,0
CDJ Dent,CDJ Dent,Gloucestershire,29,16,1,3,181.25,0,0.0,0,0,0,0
BAC Howell,BAC Howell,Gloucestershire,53,33,6,1,160.6060606060606,3,31.0,2,0,0,10.333333333333334
GD Phillips,GD Phillips,Gloucestershire,94,41,9,6,229.2682926829268,0,0.0,0,0,0,0
James Bracey,James Bracey,Gloucestershire,0,0,0,0,0,0,0.0,0,0,0,0
JMR Taylor,JMR Taylor,Gloucestershire,0,0,0,0,0,0,0.0,0,0,0,0
RF Higgins,RF Higgins,Gloucestershire,0,0,0,0,0,3,27.0,2,0,0,9.0
TMJ Smith,TMJ Smith,Gloucestershire,0,0,0,0,0,4,24.0,1,0,0,6.0
DJ Worrall,DJ Worrall,Gloucestershire,0,0,0,0,0,4,43.0,0,0,0,10.75
J Shaw,J Shaw,Gloucestershire,0,0,0,0,0,2,16.0,1,0,1,8.0
DA Payne,DA Payne,Gloucestershire,0,0,0,0,0,4,38.0,2,0,1,9.5
NJ Selman,NJ Selman,Glamorgan,5,5,1,0,100.0,0,0.0,0,0,0,0
CA Ingram,CA Ingram,Glamorgan,14,12,2,0,116.66666666666667,0,0.0,0,0,0,0
DL Lloyd,DL Lloyd,Glamorgan,44,22,3,4,200.0,0,0.0,0,0,0,0
M Labuschagne,M Labuschagne,Glamorgan,33,21,3,1,157.14285714285714,2,21.0,1,0,1,10.5
WJ Weighell,WJ Weighell,Glamorgan,13,5,0,2,260.0,4,42.0,0,0,1,10.5
KS Carlson,KS Carlson,Glamorgan,17,17,0,0,100.0,0,0.0,0,0,0,0
CB Cooke,CB Cooke,Glamorgan,5,4,1,0,125.0,0,0.0,0,0,0,0
Callum Taylor,Callum Taylor,Glamorgan,11,17,1,0,64.70588235294117,2,21.0,1,0,1,10.5
DA Douthwaite,DA Douthwaite,Glamorgan,35,17,1,4,205.88235294117646,4,48.0,0,0,1,12.0
T van der Gugten,T van der Gugten,Glamorgan,0,0,0,0,0,4,50.0,0,0,0,12.5
P Sisodiya,P Sisodiya,Glamorgan,0,0,0,0,0,4,33.0,0,0,0,8.25
